Albania	Αλβανία
coolest	o_πιο_γαμάτος
cow	αγελάδα
cows	αγελάδες
dad	μπαμπάς
dance	να_χορεύω
danced	χόρεψα
dancing	χορεύοντας
dark	σκοτεινός
darkest	o_σκοτεινότερος
daughter	κόρη
daughters	κόρες
debug	κανω_debugging
debugging	debugging
decided	αποφάσισα
decrease	μειώνω
decreased	μείωσα
decreases	μειώνει
decreasing	μειώνοντας
deep	βαθύς
deeper	βαθύτερος
describe	περιγράφω
described	περιέγραψα
describes	περιγράφει
describing	περιγράφοντας
discover	ανακαλύπτω
discovering	ανακαλύπτοντας
dishonest	ανέντιμος
distasteful	κακόγουστος
dog	σκύλος
dogs	σκύλοι
dollar	δολάριο
dollars	δολάρια
donkey	γαϊδούρι
donkeys	γαϊδούρια
dream	όνειρο
dreams	όνειρα
eagle	αετός
eagles	αετοί
easier	ευκολότερος
easiest	o_ευκολότερος
easy	εύκολος
eat	τρώω
eats	τρώει
efficient	αποτελεσματικός
efficiently	αποτελεσματικά
elephant	ελέφαντας
elephants	ελέφαντες
enhance	βελτιώνω
enhanced	βελτίωσα
enhances	βελτιώνει
enhancing	βελτιώνοντας
estimate	εκτίμηση
estimates	εκτιμήσεις
ethical	ηθικός
eye	μάτι
eyes	μάτια
falling	πέφτοντας
fast	γρήγορος
faster	γρηγορότερος
fastest	o_γρηγορότερος
father	πατέρας
fed	τάισα
feeding	ταΐζοντας
fell	έπεσα
find	βρίσκω
finds	βρίσκει
finger	δάχτυλο
fingers	δάχτυλα
flew	πέταξα
fly	πετάω
flying	πετώντας
fortunate	τυχερός
fortunately	ευτυχώς
free	ελεύθερος
freely	ελεύθερα
furious	εξοργισμένος
furiously	εξοργισμένα
generate	παράγω
generated	παρήχθα
generates	παράγει
generating	παράγοντας
girl	κορίτσι
go	πάω
goat	κατσίκα
goats	κατσίκες
goes	πάει
going	πηγαίνοντας
good	καλός
granddaughter	εγγονή
grandfather	παππούς
grandma	γιαγιά
grandmother	γιαγιά
grandpa	παππούς
grandson	εγγονός
great	μεγάλος
greater	μεγαλύτερος
greatest	o_μεγαλύτερος
groom	γαμπρός
hand	χέρι
hands	χέρια
happily	χαρούμενα
happy	χαρούμενος
hard	δύσκολος
harder	δυσκολότερος
he	αυτός
heavier	βαρύτερος
heavy	βαρύς
her	αυτή
hid	έκρυψα
hiding	κρύβοντας
high	ψηλός
higher	ψηλότερος
highest	o_ψηλότερος
his	δικός
hit	χτύπησα
hitting	χτυπώντας
honest	ειλικρινής
horse	άλογο
horses	άλογα
hot	καυτός
hotter	πιο_καυτός
hottest	o_πιο_καυτός
husband	σύζυγος
illogical	παράλογος
immediate	άμεσος
immediately	αμέσως
implement	εφαρμόζω
implemented	εφήρμοσα
implementing	εφαρμόζοντας
implements	εφαρμόζει
impossible	αδύνατος
impossibly	παράλογα
impressive	εντυπωσιακός
inconsistent	αντιφατικός
inconvenient	δεν_βολεύει
increase	αυξάνω
increased	άυξησε
increases	αυξάνει
increasing	αυξάνοντας
inefficient	ανεπαρκής
informative	κατατοπιστικός
informed	ενημερωμένος
infrequent	σποραδικός
infrequently	σποραδικά
invent	εφευρίσκω
inventing	εφευρίσκοντας
irrational	παράλογος
irresponsible	ανεύθυνος
jump	πηδώ
jumped	πήδηξα
jumping	πηδώντας
king	βασιλιάς
knew	ήξερα
knowing	ξέροντας
known	γνωστός
large	μεγάλος
larger	μεγαλύτερος
largest	o_μεγαλύτερος
likely	πιθανόν
lion	λιοντάρι
lions	λιοντάρια
listen	ακούω
listened	άκουσα
listening	ακούγοντας
listens	ακούει
logical	λογικός
long	μακρύς
longer	μακρύτερος
longest	o_μακρύτερος
look	κοιτάω
looked	κοίταξα
looking	κοιτάζονας
loud	δυνατός
louder	πιο_δυντατός
low	χαμηλός
lower	χαμηλότερος
lowest	o_χαμηλότερος
luckiest	o_πιο_τυχερός
luckily	ευτυχώς
lucky	τυχερός
machine	μηχανή
machines	μηχανές
man	άντρας
mango	μάνγκο
mangoes	μάνγκο
melon	πεπόνι
melons	πεπόνια
men	άντρες
mice	ποντίκια
mom	μαμά
monkey	μαϊμού
monkeys	μαϊμούδες
most	o_περισσότερος
mostly	κυρίως
mother	μητέρα
mouse	ποντίκι
move	κουνιέμαι
moved	κουνήθηκα
moving	κινούμενος
nephew	ανηψιός
new	καινούριος
newer	πιο_καινούριος
niece	ανηψιά
obvious	προφανής
obviously	προφανώς
occasional	περιστασιακός
occasionally	περιστασιακά
old	παλιός
older	πιο_παλιός
oldest	o_πιο_παλιός
onion	κρεμμύδι
onions	κρεμμύδια
paid	πλήρωσα
paying	πληρώνονυας
pear	αχλάδι
pears	αχλάδια
pig	γουρούνι
pigs	γουρούνια
pineapple	ανανάς
pineapples	ανανάδες
play	παίζω
played	έπαιξα
playing	παίζοντας
plays	παίζει
pleasant	ευχάριστος
policeman	αστυνόμος
policewoman	αστυνόμος
possible	πιθανός
possibly	πιθανώς
precise	ακριβής
precisely	ακριβώς
predict	προβλέπω
predicted	προέβλεψα
predicting	προβέποντας
predicts	προβλέπει
prince	πρίγκηπας
princess	πριγκήπισσα
productive	παραγωγικός
professional	επαγγελματίας
professionally	επαγγελματικά
provide	παρέχω
provides	παρέχει
queen	βασίλισσα
quick	γρήγορος
quicker	γρηγορότερος
quickest	o_γρηγορότερος
quickly	γρήγορα
quiet	ήσυχος
quietly	ήσυχα
ran	έτρεξα
rapid	ραγδαίος
rapidly	ραγδαία
rare	σπάνιος
rarely	σπάνια
rat	αρουραίος
rational	λογικός
rats	αρουραίοι
read	διαβάζω
reading	διαβάζοντας
reasonable	εύλογος
reluctant	διστακτικός
reluctantly	διστακτικά
responsible	υπεύθυνος
road	δρόμος
roads	δρόμοι
run	τρέχω
running	τρέχοντας
safe	ασφαλής
safely	με_ασφάλεια
safer	πιο_ασφαλής
said	είπα
sang	τραγούδησα
sat	κάθησα
saw	είδα
say	λέω
saying	λέγοντας
says	λέει
scream	τσιρίζω
screamed	τσίριξα
screaming	τριρίζοντας
screams	τσιρίζει
search	ψάχνω
searches	ψάχνει
see	βλέπω
seeing	βλέποντας
sees	βλέπει
selling	πουλώντας
serious	σοβαρός
seriously	σοβαρά
sharp	κοφτερός
sharper	πιο_κοφτερός
sharpest	o_πιο_κοφτερός
she	αυτή
short	κοντός
shorter	πιο_κοντός
shortest	ο_πιο_κοντός
shrank	συρρικνώθηκα
shrinking	συρρικνώνοντας
shuffle	ανακατεύω
shuffles	ανακατεύει
shuffling	ανακατεύοντας
simple	απλός
simpler	απλούστερος
simplest	o_απλούστερος
sing	τραγουδάω
singing	τραγουδώντας
sings	τραγουδάει
sister	αδερφή
sisters	αδερφές
sit	κάθομαι
sits	κάθεται
sitting	ενώ_κάθομαι
sleeping	ενώ_κοιμάμαι
slept	κοιμήθηκα
slow	αργός
slowed	επιβράδυνα
slower	πιο_αργός
slowest	o_πιο_αργός
slowing	επιβραδύνοντας
slowly	αργά
slows	αργεί
small	μικρός
smaller	μικρότερος
smallest	o_μικρότερος
smart	έξυπνος
smarter	εξυπνότερος
smartest	o_εξυπνότερος
snake	φίδι
snakes	φίδια
sold	πούλησα
son	γιος
sons	γιοι
speak	μιλάω
speaks	μιλάει
spending	ξοδεύοντας
spent	ξόδεψα
stepbrother	ετεροθαλής_αδερφός
stepdaughter	θετή_κόρη
stepfather	πατριός
stepmother	μητριά
stepsister	ετεροθαλής_αδερφή
stepson	θετός_γιος
strange	περίεργος
strangest	πιο_περίεργος
striking	χτυπώντας
strong	δυνατός
stronger	πιο_δυνατός
strongest	o_πιο_δυνατός
struck	χτύπησα
sudden	ξαφνικός
suddenly	ξαφνικά
sure	σίγουρος
swam	κολύμπησα
sweet	γλυκός
sweetest	o_πιο_γλυκός
swift	σβέλτος
swiftly	σβέλτα
swim	κολυμπάω
swimming	κολυμπώντας
swims	κολυμπά
taking	παίρνοντας
talk	μιλάω
talks	μιλά
tall	ψηλός
taller	ψηλότερος
tallest	o_ψηλότερος
tasteful	καλόγουστος
tastiest	o_νοστιμότερος
tasty	νόστιμος
think	νομίζω
thinking	νομίζοντας
thinks	νομίζει
thought	νόμισα
tight	στενός
tighter	πιο_στενός
took	πήρα
tough	σκληρός
tougher	πιο_σκληρός
typical	χαρακτηριστικός
typically	χαρακτηριστικά
unacceptable	απαράδεκτος
unaware	που_δεν_ξέρει
uncertain	αβέβαιος
uncle	θείος
unclear	ασαφής
uncomfortable	άβολος
uncompetitive	μη_ανταγωνιστικός
unconvincing	μη_πειστικός
undecided	αναποφάσιστος
unethical	ανήθικος
unfortunate	ατυχής
unfortunately	δυστυχώς
unimpressive	περνάει_απαρατήρητος
uninformative	μη_ενημερωτικός
uninformed	απληροφόρητος
unknown	άγνωστος
unlikely	απίθανος
unpleasant	δυσάρεστος
unproductive	μη_παραγωγικός
unreasonable	παράλογος
unsure	αβέβαιος
usual	συνήθης
usually	συνήθως
vanish	εξαφανίζομαι
vanished	εξαφανίστηκα
vanishes	εξαφανίζεται
vanishing	που_εξαφανίζεται
walk	περπατάω
walked	περπάτησα
walking	περπατώντας
walks	περπατάει
warm	ζεστός
warmer	πιο_ζεστός
warmest	o_πιο_ζεστός
weak	αδύναμος
weaker	πιο_αδύναμος
weakest	o_πιο_αδύναμος
weird	παραάξενος
weirdest	πιο_παράξενος
went	πήγα
wide	φαρδύς
wider	φαρδύτερος
widest	o_φαρδύτερος
wife	σύζυγος
woman	γυναίκα
women	γυναίκες
work	δουλέυω
works	δουλέυει
worse	χειρότερος
worst	o_χειρότερος
write	γράφω
writes	γράφει
writing	γράφοντας
wrote	έγραψα
young	νέος
younger	νεότερος
youngest	o_νεότερος
