acceptable	acceptabel
great	groot
greater	groter
greatest	grootst
Greece	Griekenland
Greek	Grieks
groom	bruidegom
hand	hand
hands	handen
happily	gelukkig
happy	gelukkig
hard	hard
harder	harder
he	hij
heavier	zwaarder
heavy	zwaar
her	haar
hid	verborg
hiding	verbergen
high	hoog
higher	hoger
highest	hoogst
his	zijn
hit	sla
hitting	slaan
honest	eerlijk
horse	paard
horses	paarden
hot	heet
hotter	heter
hottest	heetst
husband	man
Iceland	Ijsland
Icelandic	Ijslands
illogical	onlogisch
immediate	onmiddelijk
immediately	onmiddelijk
implement	implementeer
implemented	implementeerde
implementing	implementeren
implements	implementeert
impossible	onmogelijk
impossibly	onmogelijk
impressive	indrukwekkend
inconsistent	inconsistent
inconvenient	onhandig
increase	verhoog
increased	verhoogde
increases	verhoogt
increasing	verhogen
India	India
Indian	Indiaas
inefficient	inefficiënt
informative	informatief
informed	geïnformeerd
infrequent	infrequent
infrequently	infrequent
invent	uitvind
inventing	uitvinden
Ireland	Ierland
Irish	Iers
irrational	irrationeel
irresponsible	onverantwoordelijk
Israel	Israël
Israeli	Israëlisch
Italian	Italiaans
Italy	Italië
Japan	Japan
Japanese	Japans
jump	spring
jumped	sprong
jumping	springen
king	koning
knew	wist
knowing	weten
known	bekend
Korea	Korea
Korean	Koreaans
large	groot
larger	groter
largest	grootst
likely	waarschijnlijk
lion	leeuw
lions	leeuwen
listen	luister
listened	luisterde
listening	luisteren
listens	luistert
logical	logisch
long	lang
longer	langer
longest	langst
look	kijk
looked	keek
looking	kijken
loud	luid
louder	luider
low	laag
lower	lager
lowest	laagst
luckiest	gelukkigst
luckily	gelukkig
lucky	gelukkig
Macedonia	Macedonië
Macedonian	Macedonisch
machine	machine
machines	machines
Malta	Malta
Maltese	Maltees
man	man
mango	mango
mangoes	mangos
melon	meloen
melons	meloenen
men	mannen
Mexican	Mexicaans
Mexico	Mexico
mice	muizen
Moldova	Moldavië
Moldovan	Moldavisch
mom	mama
monkey	aap
monkeys	apen
most	meest
mostly	meest
mother	moeder
mouse	muis
move	beweeg
moved	bewoog
moving	bewegen
nephew	neef
Netherlands	Nederland
new	nieuw
newer	nieuwer
niece	nicht
Norway	Noorwegen
Norwegian	Noors
obvious	vanzelfsprekend
obviously	vanzelfsprekend
occasional	af_en_toe
occasionally	af_en_toe
old	oud
older	ouder
oldest	oudst
onion	ui
onions	uien
paid	betaald
paying	betalen
pear	peer
pears	peren
Peru	Peru
Peruvian	Peruaans
pig	varken
pigs	varkens
pineapple	ananas
pineapples	ananassen
play	speel
played	speelde
playing	spelen
plays	speelt
pleasant	plezierig
Poland	Polen
policeman	agent
policewoman	agente
Polish	Pools
Portugal	Portugal
Portuguese	Portugees
possible	mogelijk
possibly	mogelijk
precise	precies
precisely	precies
predict	voorspel
predicted	voorspelde
predicting	voorspellen
predicts	voorspelt
prince	prins
princess	prinses
productive	productief
professional	professioneel
professionally	professioneel
provide	voorzie
provides	voorziet
queen	koningin
quick	vlug
quicker	vlugger
quickest	vlugst
quickly	vlug
quiet	stil
quietly	stil
ran	rende
rapid	snel
rapidly	snel
rare	zeldzaam
rarely	zelden
rat	rat
rational	rationeel
rats	ratten
read	lees
reading	lezen
reasonable	redelijk
reluctant	terughoudend
reluctantly	terughoudend
responsible	verantwoordelijk
road	weg
roads	wegen
run	ren
running	rennen
Russia	Rusland
Russian	Russisch
safe	veilig
safely	veilig
safer	veiliger
said	zei
sang	zong
sat	zat
saw	zag
say	zeg
saying	zeggen
says	zegt
scream	schreeuw
screamed	schreeuwde
screaming	schreeuwen
screams	schreeuwt
search	zoek
searches	zoekt
see	zie
seeing	zien
sees	ziet
selling	verkopen
serious	serieus
seriously	serieus
sharp	scherp
sharper	scherper
sharpest	scherpst
she	zij
short	kort
shorter	korter
shortest	kortst
shrank	kromp
shrinking	krimpen
shuffle	schuifel
shuffles	schuifelt
shuffling	schuifelen
simple	simpel
simpler	simpeler
simplest	simpelst
sing	zing
singing	zingen
sings	zingt
sister	zus
sisters	zussen
sit	zit
sits	zit
sitting	zitten
sleeping	slapen
slept	sliep
Slovakia	Slowakije
Slovakian	Slowaaks
slow	langzaam
slowed	vertraagde
slower	langzamer
slowest	langzaamst
slowing	vertragen
slowly	langzaam
slows	vertraagt
small	klein
smaller	kleiner
smallest	kleinst
smart	slim
smarter	slimmer
smartest	slimst
snake	slang
snakes	slangen
sold	verkocht
son	zoon
sons	zoons
Spain	Spanje
Spanish	Spaans
speak	spreek
speaks	spreekt
spending	uitgeven
spent	gaf_uit
stepbrother	stiefbroer
stepdaughter	stiefdochter
stepfather	stiefvader
stepmother	stiefmoeder
stepsister	stiefzus
stepson	stiefzoon
strange	vreemd
strangest	vreemdst
striking	raken
strong	sterk
stronger	sterker
strongest	sterkst
struck	raakte
sudden	plotseling
suddenly	plotseling
sure	zeker
swam	zwom
Sweden	Zweden
Swedish	Zweeds
sweet	zoet
sweetest	zoetste
swift	snel
swiftly	snel
swim	zwem
swimming	zwemmen
swims	zwemt
Swiss	Zwitsers
Switzerland	Zwitserland
taking	nemen
talk	praat
talks	praat
tall	hoog
taller	hoger
tallest	hoogst
tasteful	smaakvol
tastiest	smakelijkst
tasty	smakelijk
Thai	Thais
Thailand	Thailand
think	denk
thinking	denken
thinks	denkt
thought	dacht
tight	strak
tighter	strakker
took	nam
tough	taai
tougher	taaier
typical	typisch
typically	typisch
Ukraine	Oekraïne
Ukrainian	Oekraïens
unacceptable	onacceptabel
unaware	onbewust
uncertain	onzeker
uncle	oom
unclear	onduidelijk
uncomfortable	oncomfortabel
uncompetitive	oncompetitief
unconvincing	onovertuigend
undecided	onbeslist
unethical	onethisch
unfortunate	ongelukkig
unfortunately	helaas
unimpressive	teleurstellend
uninformative	oninformatief
uninformed	ongeïnformeerd
unknown	onbekend
unlikely	onwaarschijnlijk
unpleasant	onplezierig
unproductive	onproductief
unreasonable	onredelijk
unsure	onzeker
usual	gebruikelijk
usually	gebruikelijk
vanish	verdwijn
vanished	verdween
vanishes	verdwijnt
vanishing	verdwijnen
walk	loop
walked	liep
walking	lopen
walks	loopt
warm	warm
warmer	warmer
warmest	warmst
weak	zwak
weaker	zwakker
weakest	zwakst
weird	raar
weirdest	raarst
went	ging
wide	breed
wider	breder
widest	breedst
wife	vrouw
woman	vrouw
women	vrouwen
work	werk
works	werkt
worse	slechter
worst	slechtst
write	schrijf
writes	schrijft
writing	schrijven
wrote	schreef
young	jong
younger	jonger
youngest	jongst
