acceptable	aceitável
shortest	o_mais_baixo
shrank	encolheu
shrinking	encolhendo
shuffle	baralhar
shuffles	baralha
shuffling	baralhando
simple	simples
simpler	mais_simples
simplest	o_mais_simples
sing	cantar
singing	cantando
sings	canta
sister	irmã
sisters	irmãs
sit	sentar
sits	senta
sitting	sentando
sleeping	dormindo
slept	dormiu
Slovakia	Eslováquia
Slovakian	Esloveno
slow	lento
slowed	abrandado
slower	mais_lento
slowest	o_mais_lento
slowing	abrandando
slowly	lentamente
slows	abranda
small	pequeno
smaller	mais_pequeno
smallest	o_mais_pequeno
smart	esperto
smarter	mais_espero
smartest	o_mais_esperto
snake	serpentear
snakes	serpentea
sold	vendido
son	filho
sons	filhos
Spain	Espanha
Spanish	Espanhol
speak	falar
speaks	fala
spending	gastando
spent	gasto
stepbrother	meio-irmão
stepdaughter	enteada
stepfather	padrasto
stepmother	madrasta
stepsister	meia-irmã
stepson	enteado
strange	estranho
strangest	o_mais_estranho
striking	impressionante
strong	forte
stronger	mais_forte
strongest	o_mais_forte
struck	atingindo
sudden	de_repente
suddenly	de_repente
sure	certo
swam	nadou
Sweden	Suécia
Swedish	Sueco
sweet	doce
sweetest	o_mais_doce
swift	rápido
swiftly	rapidamente
swim	nadar
swimming	nadando
swims	nada
Swiss	Suíço
Switzerland	Suíça
taking	levando
talk	falar
talks	fala
tall	alto
taller	mais_alto
tallest	o_mais_alto
tasteful	de_bom_gosto
tastiest	mais_saboroso
tasty	saboroso
Thai	Tailandês
Thailand	Tailândia
think	pensar
thinking	pensando
thinks	pensa
thought	pensou
tight	apertado
tighter	mais_apertado
took	levou
tough	resistente
tougher	mais_resistente
typical	típico
typically	tipicamente
Ukraine	Ucrânia
Ukrainian	Ucraniano
unacceptable	inaceitável
unaware	inconsiente
uncertain	incerto
uncle	tio
unclear	pouco_claro
uncomfortable	desconfortável
uncompetitive	não-competitivo
unconvincing	não-convincente
undecided	indeciso
unethical	antiético
unfortunate	desafortunado
unfortunately	desafortunadamente
unimpressive	não-impressionante
uninformative	pouco_informativo
uninformed	desinformado
unknown	desconhecido
unlikely	improvável
unpleasant	desagradável
unproductive	pouco_produtivo
unreasonable	irracional
unsure	inseguro
usual	habitual
usually	habitualmente
vanish	desaparecer
vanished	desapareceu
vanishes	desaparece
vanishing	desaparecendo
walk	caminhar
walked	caminhou
walking	caminhando
walks	caminha
warm	morno
warmer	mais_morno
warmest	o_mais_morno
weak	fraco
weaker	mais_fraco
weakest	o_mais_fraco
weird	estranho
weirdest	o_mais_estranho
went	foi
wide	largo
wider	mais_largo
widest	o_mais_largo
wife	esposa
woman	mulher
women	mulheres
work	trabalho
works	trabalha
worse	pior
worst	o_pior
write	escrever
writes	escreve
writing	escrevendo
wrote	escreveu
young	novo
younger	mais_novo
youngest	o_mais_novo
