acceptable	accettabile
safely	in_modo_sicuro
safer	piú_sicuro
said	disse
sang	cantó
sat	sedette
saw	vide
say	dire
saying	dicendo
says	dice
scream	urlare
screamed	urlato
screaming	urlando
screams	urla
search	cercare
searches	cerca
see	vedere
seeing	vedendo
sees	vede
selling	vendendo
serious	serio
seriously	seriamente
sharp	affilato
sharper	piú_affilato
sharpest	il_piú_affilato
she	lei
short	corto
shorter	piú_corto
shortest	il_piú_corto
shrank	riducette
shrinking	riducendo
shuffle	mischiare
shuffles	mischia
shuffling	mischiando
simple	semplice
simpler	piú_semplice
simplest	il_piú_semplice
sing	cantare
singing	cantando
sings	canta
sister	sorella
sisters	sorelle
sit	sedere
sits	siede
sitting	sedendo
sleeping	dormendo
slept	dormi
Slovakia	slovacchia
Slovakian	slovacco
slow	rallentare
slowed	rallentato
slower	piú_lento
slowest	il_piú_lento
slowing	rallentando
slowly	lentamente
slows	rallenta
small	piccolo
smaller	piú_piccolo
smallest	il_piú_piccolo
smart	intelligente
smarter	piú_intelligente
smartest	il_piú_intelligente
snake	serpente
snakes	serpenti
sold	venduto
son	figlio
sons	figli
Spain	spagna
Spanish	spagnolo
speak	parlare
speaks	parla
spending	spendendo
spent	spese
stepbrother	fratellastro
stepdaughter	figliastra
stepfather	padrastro
stepmother	madrastra
stepsister	sorellastra
stepson	figliastro
strange	strano
strangest	il_piú_strano
striking	colpire
strong	forte
stronger	piú_forte
strongest	il_piú_forte
struck	colpí
sudden	improvviso
suddenly	improvvisamente
sure	sicuro
swam	nuotó
Sweden	svezia
Swedish	svedese
sweet	dolce
sweetest	il_piú_dolce
swift	rapido
swiftly	rapidamente
swim	nuotare
swimming	nuotando
swims	nuota
Swiss	svizzero
Switzerland	svizzera
taking	prendendo
talk	parlare
talks	parla
tall	alto
taller	piú_alto
tallest	il_piú_alto
tasteful	raffinato
tastiest	il_piú_gustoso
tasty	gustoso
Thai	tai
Thailand	tailandia
think	pensare
thinking	pensando
thinks	pensa
thought	pensó
tight	stretto
tighter	piú_stretto
took	prese
tough	difficile
tougher	piú_difficile
typical	tipico
typically	tipicamente
Ukraine	ucraina
Ukrainian	ucraino
unacceptable	inaccettabile
unaware	inconsapevole
uncertain	insicuro
uncle	zio
unclear	non_chiaro
uncomfortable	scomodo
uncompetitive	non_competitivo
unconvincing	inconvincente
undecided	indeciso
unethical	non_etico
unfortunate	sfortunato
unfortunately	sfortunatamente
unimpressive	insignificante
uninformative	non_informativo
uninformed	non_informato
unknown	sconosciuto
unlikely	improbabile
unpleasant	spiacevole
unproductive	non_produttivo
unreasonable	non_ragionevole
unsure	insicuro
usual	solito
usually	solitamente
vanish	svanire
vanished	svanito
vanishes	svanisce
vanishing	svanendo
walk	camminare
walked	camminato
walking	camminando
walks	cammina
warm	caldo
warmer	piú_caldo
warmest	il_piú_caldo
weak	debole
weaker	piú_debole
weakest	il_piú_debole
weird	strano
weirdest	il_piú_strano
went	andó
wide	ampio
wider	piú_ampio
widest	il_piú_ampio
wife	moglie
woman	donna
women	donne
work	lavorare
works	lavora
worse	peggio
worst	il_peggiore
write	scrivere
writes	scrive
writing	scrivendo
wrote	scrisse
young	giovane
younger	piú_giovane
youngest	il_piú_giovane
