word,Arousal,Familiarity,Tabooness,personal_use,Offensiveness,Valence
carcass,4.83,3.44,1.87,2.53,1.44,3.34
corrupt,4.67,5.47,2.04,4.54,1.57,3.32
crime,5.41,6.21,1.83,4.57,1.47,2.89
cut,5.0,5.55,1.16,5.49,1.11,3.64
defeated,5.09,5.34,1.53,4.16,1.7,2.34
depressed,4.72,6.53,2.21,5.67,1.32,1.83
dirt,3.76,5.39,1.38,5.0,1.45,4.17
failure,4.95,5.74,1.75,5.09,1.86,1.7
false.,3.43,6.18,1.35,5.38,1.34,3.27
fat,4.81,7.19,3.91,6.39,3.43,2.28
fault,4.07,5.61,1.51,4.97,1.53,3.43
fever,4.29,5.0,1.13,4.29,1.05,2.76
foul,4.93,4.87,1.63,3.8,1.61,2.81
germs,4.49,5.54,1.37,4.46,1.37,2.86
gloom,3.83,3.9,1.26,3.35,1.17,1.88
headache,5.07,6.42,1.06,5.49,1.05,2.02
hungry,5.13,7.54,1.03,7.61,1.03,3.58
illness,4.71,5.84,1.55,4.58,1.22,2.48
lonely,4.51,6.23,1.38,5.43,1.52,2.17
massacre,5.33,4.38,2.09,3.21,1.64,2.28
measles,5.06,3.34,1.35,2.25,1.01,2.74
meek,3.8,3.12,1.22,2.27,1.32,3.87
mildew,4.08,3.94,1.23,3.27,1.1,3.17
mold,4.07,4.64,1.39,3.79,1.26,3.55
moody,4.18,5.67,1.47,5.09,1.6,3.2
morbid,5.06,4.01,1.78,3.23,1.51,2.87
nuisance,4.49,4.35,1.49,3.27,1.51,3.27
obesity,3.87,6.13,2.73,3.96,1.81,2.73
penalty,5.1,4.86,1.21,3.79,1.17,2.83
poverty,4.87,5.74,1.68,4.5,1.3,1.67
resent,4.47,4.66,1.46,3.91,1.38,3.76
rigid,4.66,4.31,1.39,3.29,1.23,3.66
rusty,3.77,4.18,1.14,3.61,1.08,3.86
sad,4.13,6.64,1.36,6.27,1.29,1.61
severe,5.26,5.29,1.14,4.73,1.1,3.2
sick,4.29,6.56,1.52,6.06,1.23,1.9
stench,4.36,3.89,1.55,3.09,1.45,2.19
tomb,4.73,3.78,1.52,3.0,1.1,2.94
trash,4.16,6.42,1.32,6.37,1.45,2.67
ugly,5.38,6.49,3.09,5.79,3.06,2.43
unhappy,4.18,5.81,1.56,4.92,1.31,1.57
urine,4.2,4.47,2.31,3.31,1.4,3.25
waste,4.14,5.94,1.42,5.47,1.6,2.93
alcoholic,5.69,6.16,3.45,5.01,2.27,2.84
anger,7.63,6.48,1.75,5.99,1.48,2.34
assassin,6.28,4.03,2.24,3.14,1.51,3.09
assault,7.51,5.25,2.29,3.69,1.86,2.03
bankrupt,6.21,4.69,1.92,3.16,1.18,2.0
bees,6.51,4.56,1.04,3.9,1.04,3.2
betray,7.24,4.71,2.1,3.91,1.81,1.68
brutal,6.6,4.94,1.9,4.51,1.45,2.8
chaos,6.67,4.99,1.62,4.09,1.3,4.17
cockroach,6.11,4.18,1.56,3.3,1.26,2.81
crash,6.95,5.88,1.38,4.71,1.16,2.31
debt,5.68,5.88,1.81,4.58,1.3,2.22
divorce,6.33,6.21,2.25,4.26,1.4,2.22
evil,6.39,5.58,2.37,4.93,1.71,3.23
fight,7.15,6.36,1.59,5.54,1.32,3.76
fire,7.17,5.75,1.18,4.86,1.06,3.22
flood,6.0,5.01,1.13,3.71,1.04,3.19
fraud,5.75,4.95,1.94,3.16,2.01,2.67
gossip,5.74,6.22,1.95,5.04,1.49,3.48
guilty,6.04,6.01,1.79,5.04,1.44,2.63
gun,7.02,6.08,2.58,4.21,1.55,3.47
horror,7.21,5.37,1.21,4.34,1.26,2.76
hurricane,6.83,4.99,1.42,3.32,1.19,3.34
insane,5.83,5.49,2.41,5.17,1.72,2.85
lie,5.96,6.23,2.18,5.74,1.92,2.79
murderer,7.47,5.72,3.2,3.79,2.45,1.53
nervous,6.59,6.57,1.21,6.05,1.12,3.29
outrage,6.83,4.83,1.58,3.95,1.24,3.52
panic,7.02,5.35,1.32,4.61,1.08,3.12
pest,5.62,4.3,1.61,3.44,1.61,3.13
pollute,6.08,6.01,1.58,4.74,1.65,1.85
quarrel,6.29,4.04,1.39,3.1,1.25,2.93
rage,8.17,4.82,1.83,3.9,1.6,2.41
riot,6.39,4.27,2.03,3.21,1.3,2.96
roach,6.64,3.81,1.77,3.21,1.31,2.35
scared,6.82,6.16,1.43,5.75,1.22,2.78
scream,7.04,5.66,1.46,4.97,1.18,3.88
sinful,6.29,4.58,2.82,3.53,1.73,2.93
slap,6.46,5.44,1.93,4.56,1.63,2.95
snake,6.82,4.86,1.32,3.99,1.17,3.31
snob,5.65,4.99,2.51,3.75,2.45,3.36
stress,7.45,7.22,1.42,6.94,1.14,2.09
tense,6.53,5.22,1.11,4.89,1.18,3.56
torture,6.1,4.6,2.51,3.61,2.0,1.56
toxic,6.4,4.62,1.58,3.56,1.37,2.1
trauma,6.33,5.54,1.53,4.09,1.26,2.1
aloof,4.28,3.56,1.25,3.0,1.42,4.9
ankle,4.16,4.94,1.01,4.87,1.01,5.27
arm,3.59,6.1,1.01,6.0,1.01,5.34
bandage,3.9,4.92,1.0,4.26,1.01,4.54
banner,3.83,4.18,1.04,3.6,1.01,5.4
barrel,3.36,3.58,1.09,2.88,1.06,5.05
basket,3.63,4.36,1.13,4.04,1.09,5.45
blase,3.94,2.2,1.35,1.68,1.07,4.89
butter,3.17,5.58,1.01,5.17,1.03,5.33
cannon,4.71,3.52,1.1,2.95,1.17,4.9
chin,3.31,4.55,1.05,4.22,1.01,5.29
circle,3.86,5.3,1.0,5.13,1.0,5.67
consoled,4.53,4.13,1.08,3.24,1.04,5.78
contents,4.32,4.75,1.04,4.12,1.01,4.89
context,4.22,5.42,1.03,4.82,1.01,5.2
cord,3.54,4.42,1.0,3.97,1.01,5.1
cork,3.8,3.92,1.05,3.13,1.03,5.22
corridor,3.63,3.65,1.03,2.78,1.0,4.88
cow,3.49,4.81,1.25,4.27,1.06,5.57
egg,3.76,5.79,1.04,5.45,1.01,5.29
elbow,3.81,5.0,1.01,4.75,1.01,5.12
engine,3.98,4.92,1.03,4.23,1.03,5.2
errand,3.85,5.65,1.03,5.15,1.05,4.58
fabric,4.14,4.81,1.0,4.29,1.0,5.3
farm,3.9,4.35,1.03,3.3,1.03,5.53
finger,3.78,5.78,1.38,5.53,1.2,5.29
foot,3.27,5.97,1.05,5.71,1.01,5.02
fork,3.96,6.27,1.05,6.27,1.0,5.29
fur,4.18,4.75,1.57,3.99,1.3,4.51
gender,4.38,5.96,1.35,4.68,1.05,5.73
glacier,4.24,3.74,1.03,2.74,1.03,5.5
golfer,3.73,4.37,1.01,3.46,1.03,5.61
hairpin,3.27,4.1,1.03,3.3,1.01,5.26
hay,3.95,3.39,1.04,2.78,1.01,5.24
icebox,4.17,3.51,1.0,2.73,1.01,4.95
indifferent,3.18,5.09,1.18,4.5,1.2,4.61
industry,4.47,5.26,1.06,4.29,1.01,5.3
ink,3.84,4.83,1.01,4.55,1.0,5.05
item,3.24,5.5,1.03,4.94,1.01,5.26
jelly,3.7,4.92,1.03,4.26,1.01,5.66
journal,4.05,5.03,1.04,4.58,1.09,5.14
jug,3.88,3.91,1.32,3.18,1.16,5.24
kerchief,3.43,2.59,1.03,2.37,1.03,5.11
kerosene,4.34,2.97,1.05,2.17,1.01,4.8
ketchup,4.09,5.77,1.01,5.19,1.01,5.6
knot,4.07,4.7,1.01,4.22,1.01,4.64
lantern,4.05,3.51,1.04,2.88,1.01,5.57
limber,4.57,3.6,1.06,2.77,1.04,5.68
locker,3.38,4.88,1.04,3.97,1.01,5.19
manner,4.56,4.49,1.04,4.26,1.03,5.64
medicine,4.4,6.74,1.13,6.12,1.01,5.67
metal,3.79,5.29,1.01,4.88,1.03,4.95
modest,3.98,5.12,1.12,4.48,1.08,5.76
museum,3.6,4.84,1.0,4.34,1.0,5.54
mushroom,4.72,5.19,1.24,4.73,1.06,5.78
noisy,6.38,6.09,1.31,5.52,1.4,5.02
nun,2.93,3.71,1.15,2.68,1.08,4.93
obey,4.23,5.08,1.34,4.18,1.31,4.52
pamphlet,3.62,4.21,1.03,3.34,1.05,4.79
paper,2.5,6.94,1.03,6.78,1.04,5.2
passage,4.36,4.59,1.03,4.2,1.04,5.28
patent,3.5,4.37,1.03,3.22,1.0,5.29
pencil,3.14,6.42,1.03,6.24,1.0,5.22
phase,3.98,4.65,1.05,4.09,1.01,5.17
pig,4.2,4.92,1.74,4.21,1.56,5.07
prairie,3.41,3.05,1.01,2.61,1.0,5.75
privacy,4.12,5.79,1.12,5.41,1.04,5.88
quart,3.59,4.19,1.01,3.26,1.01,5.39
quiet,2.82,6.43,1.1,5.91,1.03,5.58
rain,3.65,5.95,1.13,5.56,1.09,5.08
rattle,4.36,3.63,1.04,3.2,1.07,5.03
reverent,4.0,2.87,1.13,2.37,1.1,5.35
salad,3.81,6.44,1.01,6.04,1.01,5.74
sheltered,4.28,4.81,1.28,3.83,1.36,5.75
ship,4.38,4.74,1.0,3.92,1.01,5.55
spray,4.14,5.0,1.03,4.54,1.01,5.45
statue,3.46,4.49,1.04,3.77,1.04,5.17
stiff,4.02,4.42,1.4,4.04,1.31,4.68
subdued,2.9,4.01,1.18,3.22,1.22,4.67
taxi,3.41,5.19,1.03,4.21,1.01,5.0
teacher,4.05,6.86,1.01,6.12,1.0,5.68
theory,4.62,6.03,1.03,5.24,1.01,5.3
tool,4.33,5.25,1.51,4.35,1.32,5.19
tower,3.95,4.55,1.01,3.79,1.03,5.46
truck,4.84,6.08,1.01,5.13,1.01,5.47
trunk,4.18,5.03,1.04,4.64,1.01,5.09
vest,3.95,4.35,1.03,3.45,1.03,5.25
violin,3.49,4.33,1.06,3.38,1.01,5.43
wagon,3.98,3.73,1.01,2.88,1.01,5.37
windmill,3.74,3.42,1.13,2.88,1.03,5.6
writer,4.33,5.75,1.1,4.99,1.03,5.52
yellow,4.43,5.47,1.08,5.26,1.13,5.61
antique,,4.31,1.05,3.51,1.01,
appliance,4.05,5.16,1.0,4.03,1.0,5.1
armchair,,4.22,1.01,3.31,1.01,
backyard,,5.39,1.04,5.05,1.05,
bake,5.1,5.83,1.01,5.26,1.01,6.17
balcony,,4.6,1.03,4.43,1.01,
banister,,2.9,1.05,2.29,1.04,
basement,,4.16,1.03,3.46,1.03,
basin,,2.83,1.07,2.25,1.01,
bathroom,3.88,7.0,1.19,6.91,1.01,5.55
bedspread,,4.03,1.12,3.43,1.04,
bench,3.59,5.0,1.08,4.55,1.05,4.61
blinds,,4.87,1.03,4.49,1.01,
book,4.17,6.96,1.01,6.52,1.0,5.72
bowl,3.47,6.26,1.01,5.97,1.01,5.33
broom,,4.81,1.03,4.29,1.03,
cabinet,3.43,5.08,1.01,4.66,1.03,5.05
carpet,,5.19,1.01,5.0,1.01,
ceiling,,4.99,1.01,4.59,1.01,
cellar,4.39,3.68,1.03,2.52,1.04,4.32
chair,3.15,6.26,1.0,6.25,1.0,5.08
chimney,,3.97,1.01,3.26,1.01,
clock,4.02,6.21,1.01,5.99,1.03,5.14
closet,,5.74,1.14,5.86,1.01,
cloth,,4.68,1.08,4.13,1.01,
cook,4.44,6.65,1.01,6.16,1.06,6.16
couch,,6.27,1.01,5.94,1.0,
cupboard,,4.94,1.03,4.34,1.04,
curtains,3.67,4.91,1.01,4.56,1.01,4.83
den,,4.25,1.03,3.39,1.01,
desk,,6.03,1.0,5.71,1.01,
dish,,6.04,1.01,5.75,1.01,
dresser,,4.77,1.01,4.68,1.01,
dryer,,5.75,1.01,5.55,1.01,
fireplace,,4.64,1.04,4.14,1.01,
freezer,,5.71,1.01,5.62,1.01,
furnace,,3.29,1.03,2.47,1.01,
furniture,,5.82,1.0,5.28,1.01,
glass,4.27,6.04,1.0,5.71,1.0,4.75
hammer,4.58,4.73,1.05,3.97,1.03,4.88
iron,3.76,4.74,1.03,4.2,1.01,4.9
jar,,4.73,1.01,4.16,1.01,
kettle,3.22,3.83,1.01,3.25,1.01,5.22
ladder,,4.45,1.01,3.83,1.01,
lamp,3.8,5.42,1.0,5.07,1.01,5.41
lawn,4.0,5.0,1.01,4.1,1.01,5.24
mantel,3.27,3.5,1.16,2.76,1.01,4.93
microwave,,6.34,1.01,5.95,1.04,
mirror,,6.14,1.01,5.81,1.0,
mixer,,4.61,1.06,3.88,1.01,
mop,,4.6,1.04,3.9,1.01,
paint,4.1,5.34,1.01,4.51,1.03,5.62
pan,,5.04,1.01,4.97,1.01,
pantry,,4.29,1.08,3.58,1.01,
patio,,4.75,1.01,4.12,1.01,
photo,,6.29,1.03,5.51,1.01,
picture,,6.82,1.0,6.34,1.05,
plant,3.62,5.58,1.0,4.92,1.0,5.98
plaster,,3.66,1.25,3.3,1.04,
polish,,4.36,1.04,3.64,1.04,
poster,3.93,4.92,1.09,4.53,1.01,5.34
pot,,5.69,2.21,5.29,1.13,
radiator,4.02,3.6,1.01,2.65,1.03,4.67
rag,,4.71,1.4,4.04,1.28,
rake,,3.69,1.08,3.01,1.05,
range,,4.56,1.01,4.38,1.01,
refrigerator,,6.3,1.03,6.13,1.0,
repair,,5.05,1.05,4.38,1.03,
rinse,,5.69,1.01,5.42,1.01,
roof,,5.01,1.0,4.62,1.0,
rug,,4.83,1.04,4.67,1.03,
scissors,4.47,5.43,1.03,4.78,1.01,5.05
screen,,5.06,1.01,4.47,1.01,
scrub,,4.58,1.23,4.22,1.25,
seat,2.95,5.82,1.01,5.73,1.01,4.95
shine,,5.12,1.03,4.58,1.01,
shovel,,4.18,1.01,3.54,1.01,
shower,,7.08,1.0,7.01,1.01,
sink,,5.65,1.01,5.37,1.0,
soap,,5.89,1.01,5.84,1.01,
sofa,,5.58,1.01,4.63,1.01,
sponge,,4.79,1.0,4.47,1.0,
stairs,,5.94,1.0,5.91,1.01,
steps,,5.88,1.01,5.49,1.01,
stereo,,5.37,1.03,4.88,1.01,
stove,4.51,5.19,1.03,5.1,1.01,4.98
table,2.92,6.44,1.01,6.01,1.01,5.22
terrace,,3.66,1.01,3.05,1.01,
towel,,5.92,1.03,6.0,1.01,
vase,,4.18,1.01,3.61,1.01,
wash,,6.34,1.0,6.3,1.0,
window,3.97,6.04,1.01,5.71,1.0,5.91
