word	emotional_charge	valence	offensiveness	concreteness	familiarity
nauru	5.78	7.7	0.43	2.62	5.89
nurmikko	1.51	5.59	0.26	0.46	3.91
johtaja	1.79	4.37	0.38	1.21	3.49
pituus	1.35	4.81	0.63	1.72	4.38
taso	1.03	4.24	0.35	2.92	2.5
elŠmŠ	5.42	7.33	0.28	4.93	5.77
yksinŠisyys	5.44	1.47	1.19	5.59	3.38
hŠviŠjŠ	3.67	2.14	2.13	2.72	2.84
menetys	5.61	1.28	0.85	4.94	2.57
uskollisuus	5.86	7.47	0.35	6.11	3.53
kone	0.98	4.48	0.3	0.48	4.96
ilkeys	4.47	1.22	1.82	5.36	2.93
lŠŠke	2.37	5.16	0.47	0.64	4.52
maito	1.5	5.82	0.28	0.39	6.63
ihme	4.5	6.37	0.36	5.72	3.98
kurjuus	4.3	1.1	1.01	5.08	2.23
hetki	2.4	5.21	0.24	5.53	4.41
raha	3.18	5.84	0.61	0.66	7.11
sŠŠski	1.98	2.2	0.68	0.39	2.68
Šiti	6.94	8.06	0.18	0.8	7.7
murhaaja	5.01	0.7	2.88	1.37	2.61
sieni	0.96	4.05	0.64	0.41	2.52
musiikki	5.57	7.39	0.25	2.58	7.19
luonto	3.88	6.52	0.28	1.81	4.19
painajainen	4.75	1.43	0.97	4.29	3.51
kulli	2.39	2.13	5.2	0.89	2.73
toimisto	0.89	4.17	0.26	0.71	2.76
mielipide	4.07	5.62	0.43	5.13	4.87
kipu	4.77	1.36	0.73	3.16	4.37
osa	0.78	4.23	0.35	2.76	3.72
rauha	4.7	7.43	0.3	5.32	3.63
tŠydellisyys	3.95	5.08	0.67	6.43	3.6
vaihe	1.06	4.25	0.39	4.73	3.0
tyyny	2.03	6.4	0.27	0.35	5.07
kusi	1.75	2.09	3.94	0.68	4.29
myrkky	2.38	1.32	1.0	1.1	2.22
saaste	2.22	1.39	1.2	2.01	2.84
kšyhyys	4.5	1.18	1.74	4.13	3.45
kusipŠŠ	3.71	1.27	6.84	3.82	4.67
yksityisyys	3.79	5.44	0.47	5.08	3.37
tuotto	1.38	5.26	0.43	2.76	2.19
rangaistus	3.9	2.16	1.05	3.03	3.03
visva	1.17	1.78	2.7	1.77	0.63
pimppi	2.33	2.66	4.73	0.9	1.88
riita	5.3	1.28	1.24	3.21	4.46
raivo	5.54	1.6	1.29	5.27	2.69
raiskaus	6.15	0.42	3.82	1.99	2.51
todellisuus	3.38	5.15	0.38	6.01	3.38
kunnioitus	5.01	6.96	0.32	5.77	3.14
palkkio	2.51	6.33	0.47	1.73	2.74
pilkka	3.82	1.32	1.81	4.35	2.02
reitti	0.82	4.46	0.27	1.86	3.21
kivekset	2.07	3.8	3.05	0.5	2.45
turvallisuus	4.55	7.11	0.25	5.42	3.89
itsekkyys	4.37	1.57	2.04	5.81	3.05
pano	3.77	3.74	5.0	1.97	3.85
paska	2.39	1.96	4.74	1.06	6.0
sisko	5.42	7.41	0.24	0.78	5.6
koko	1.55	4.45	0.84	2.8	4.66
hutsu	3.14	1.03	6.65	2.39	1.96
teurastus	4.34	1.04	2.35	1.79	1.56
lima	1.53	2.02	1.7	0.82	2.22
lutka	3.84	0.99	7.16	2.77	2.46
kŠŠrme	2.52	2.25	0.83	0.44	2.64
lumi	2.25	5.01	0.28	0.61	5.03
hŠmŠhŠkki	2.81	2.7	0.61	0.39	3.15
urheilu	3.23	6.33	0.28	2.13	5.84
suihke	0.92	4.14	0.33	1.01	2.39
aukio	0.98	4.31	0.3	1.16	1.74
patsas	0.89	4.5	0.42	0.41	2.24
lšyhkŠ	2.43	1.49	3.26	2.29	1.68
katu	0.96	4.5	0.25	0.45	4.56
itsemurha	6.27	0.61	2.32	2.33	2.64
suo	0.99	3.82	0.39	0.77	2.03
pšytŠ	0.75	4.87	0.23	0.29	5.7
elŠmys	5.22	7.05	0.27	5.08	2.74
aika	2.01	4.5	0.3	5.88	6.48
tissi	2.74	4.23	3.53	0.54	4.01
kidutus	5.51	0.69	2.36	2.79	2.02
roska	1.47	2.38	1.11	0.5	4.97
totuus	4.92	6.83	0.55	5.78	4.27
kasvain	4.02	0.95	1.05	1.31	2.11
kšntsŠ	0.94	2.17	3.12	2.24	1.04
ŠŠliš	3.22	1.7	5.23	3.83	4.36
yksikkš	0.85	4.06	0.28	2.82	2.23
virtsa	1.24	2.56	2.27	0.61	1.41
kulkuneuvo	1.43	5.24	0.23	0.41	2.83
oksennus	2.64	1.26	2.19	0.72	2.88
runkku	2.54	1.16	6.62	3.37	2.29
sota	5.52	1.05	1.23	1.84	3.75
lŠmpš	4.14	7.1	0.22	2.8	4.8
vesi	1.74	6.62	0.22	0.66	6.85
varallisuus	2.65	4.62	0.83	4.31	2.75
huora	4.1	0.88	7.5	2.64	3.68
viini	2.47	5.13	0.38	0.43	3.58
haava	2.42	2.24	0.55	0.66	3.74
