word	taboo_personal	taboo_general	insulting
gebak	1.0	1.0	1.0
geboorte	1.09	1.22	1.0
geduldig	1.0	1.01	1.0
geil	2.76	3.92	1.59
geitenneuker	4.06	4.85	5.06
gejuich	1.01	1.05	1.0
gevaar	1.34	1.44	1.21
gier	1.47	1.61	2.07
giraf	1.01	1.0	1.11
glas	1.0	1.0	1.0
gleuf	1.6	1.79	1.17
godver	2.51	3.38	2.51
godverdomme	2.64	3.69	2.91
golf	1.0	1.01	1.01
gordijn	1.0	1.0	1.03
graf	1.66	1.86	1.38
grafhoer	4.55	5.14	5.76
grafzooi	2.43	2.86	2.61
grapefruit	1.0	1.0	1.0
grasmaaier	1.01	1.01	1.08
grauw	1.18	1.3	1.57
greppelslet	4.1	4.86	5.49
griezel	1.74	2.02	2.95
gruwel	1.56	1.69	1.95
haan	1.0	1.01	1.05
haat	1.99	2.26	1.99
halvezool	1.7	2.07	2.89
hamer	1.0	1.03	1.0
hamster	1.0	1.0	1.13
handbal	1.0	1.01	1.0
handdoek	1.0	1.0	1.0
hardlopen	1.07	1.06	1.01
hartstocht	1.2	1.32	1.01
hartstochtelijk	1.28	1.37	1.08
heilzaam	1.03	1.09	1.0
hel	1.74	2.71	1.77
held	1.01	1.03	1.0
helikopter	1.0	1.0	1.0
helpen	1.01	1.14	1.0
hemd	1.03	1.03	1.0
heroïnehoer	4.59	5.3	5.71
herpes	3.47	4.46	2.61
hert	1.0	1.0	1.01
hielenlikker	2.34	2.77	3.8
hitsig	2.34	3.03	1.62
hoed	1.0	1.0	1.0
hoer	3.69	4.78	5.23
homo	1.62	3.53	3.07
homofiel	2.29	3.84	3.09
hond	1.01	1.06	1.41
hondelul	2.99	3.66	4.22
houtklem	1.0	1.06	1.0
houweel	1.0	1.01	1.0
hovercraft	1.14	1.16	1.09
hufter	2.37	2.8	3.87
humor	1.0	1.02	1.0
huppelkut	2.75	3.53	4.02
huwelijk	1.15	1.17	1.03
idioot	2.02	2.37	3.24
ijshockey	1.03	1.06	1.0
imbiciel	2.54	3.01	4.16
inbraak	1.72	2.01	1.28
incest	4.63	5.51	3.09
incompetent	2.17	2.68	2.97
intiem	1.51	2.17	1.1
invalide	1.41	1.91	2.17
jaloers	2.12	2.45	2.09
jaloezie	2.01	2.53	1.79
jas	1.0	1.0	1.0
jasmijn	1.08	1.09	1.0
jeans	1.0	1.01	1.0
jeep	1.0	1.03	1.0
jezus	1.54	2.17	1.72
jogging	1.0	1.01	1.0
judo	1.0	1.06	1.05
juichen	1.01	1.07	1.0
jurk	1.0	1.03	1.02
kabinet	1.02	1.11	1.0
kalkoen	1.01	1.07	1.15
kalm	1.02	1.09	1.02
kampioen	1.02	1.0	1.0
kanarie	1.0	1.0	1.02
kangoeroe	1.03	1.02	1.06
kanker	4.29	4.67	4.59
kankerhoer	5.66	5.87	6.48
kankerkind	5.66	5.99	6.55
kankerlijer	5.6	5.93	6.3
kapstok	1.0	1.0	1.0
kar	1.0	1.02	1.01
karkas	1.38	1.57	1.31
kast	1.07	1.05	1.0
kat	1.07	1.08	1.07
kerkhof	1.6	1.8	1.21
kernbom	2.3	2.75	1.43
kers	1.0	1.0	1.0
kinky	2.68	3.78	1.47
kip	1.03	1.08	1.1
kist	1.25	1.3	1.06
kiwi	1.0	1.0	1.02
klaarkomen	2.86	3.99	1.22
kleed	1.0	1.03	1.0
klerelijer	3.2	3.82	4.7
kleurloos	1.14	1.2	1.56
klote	1.84	2.57	2.13
knoflook	1.05	1.17	1.0
knus	1.02	1.03	1.03
koe	1.02	1.02	1.72
koekoek	1.06	1.14	1.34
koelkast	1.08	1.0	1.0
koets	1.03	1.06	1.0
koevoet	1.06	1.16	1.03
koffiezetapparaat	1.0	1.02	1.0
kogelstoten	1.09	1.14	1.05
kokosnoot	1.0	1.0	1.03
kom	1.0	1.0	1.0
komkommer	1.02	1.0	1.01
konijn	1.0	1.0	1.05
kontenlikker	3.62	4.13	4.66
kontlikker	3.63	4.32	4.57
kontneuker	4.52	5.45	5.18
kostuum	1.07	1.15	1.01
kots	1.82	2.22	1.6
kraai	1.03	1.08	1.14
kristal	1.0	1.01	1.0
kruiwagen	1.0	1.0	1.0
kruk	1.0	1.01	1.03
kunst	1.09	1.11	1.0
kus	1.18	1.36	1.02
kussen	1.11	1.39	1.01
kut	2.17	3.18	2.63
kuthoer	3.89	4.75	5.45
kutwijf	3.16	4.01	4.78
kwellen	1.77	1.91	1.62
kwetsen	2.01	2.16	1.9
laarzen	1.0	1.0	1.0
lach	1.02	1.05	1.01
lachen	1.01	1.05	1.07
lade	1.01	1.0	1.0
laf	1.74	1.95	2.69
lafbek	2.32	2.57	3.56
lama	1.09	1.09	1.29
lamp	1.0	1.03	1.06
leeuw	1.1	1.07	1.03
lelie	1.0	1.0	1.0
lepel	1.05	1.02	1.03
lesbisch	1.51	3.17	1.92
lesbo	2.3	3.82	3.44
leuter	2.06	2.52	1.72
leven	1.01	1.07	1.0
levendig	1.06	1.02	1.05
levenslustig	1.06	1.07	1.0
liefde	1.23	1.25	1.01
liegen	2.34	2.45	2.06
lijk	1.86	2.33	1.97
likken	1.6	2.11	1.09
limoen	1.0	1.01	1.0
linzen	1.03	1.05	1.01
lol	1.06	1.11	1.01
lounge	1.0	1.01	1.0
luchtballon	1.0	1.01	1.0
lui	1.56	1.77	2.29
lul	2.24	3.25	3.61
luldebehanger	2.33	2.92	3.11
lust	1.56	2.32	1.13
lychee	1.1	1.17	1.11
maagd	1.95	2.98	1.79
machteloos	1.75	1.74	1.68
magnetron	1.0	1.0	1.01
maïs	1.0	1.0	1.0
malloot	1.71	2.14	2.86
mals	1.01	1.05	1.02
mango	1.03	1.03	1.0
manwijf	3.02	3.89	4.43
masturberen	3.29	4.57	1.37
matennaaier	3.0	3.55	4.47
mees	1.0	1.0	1.0
meeuw	1.02	1.01	1.0
meloen	1.0	1.02	1.11
merel	1.0	1.0	1.02
mes	1.08	1.18	1.01
metro	1.0	1.06	1.0
mierenneuker	2.52	3.24	3.53
mietje	1.9	2.32	3.18
miezerig	1.47	1.55	2.24
misbruik	3.32	4.01	2.2
misdrijf	2.14	2.4	1.36
mixer	1.0	1.01	1.01
modekut	2.62	3.33	3.77
moe	1.18	1.21	1.21
moedig	1.01	1.05	1.01
moersleutel	1.01	1.02	1.05
mof	3.05	4.0	4.17
mongool	2.77	3.63	4.32
moord	2.92	3.43	1.91
motherfucker	2.9	3.72	4.08
motor	1.03	1.01	1.02
muf	1.37	1.46	1.85
muis	1.13	1.11	1.13
mus	1.0	1.01	1.06
muts	1.36	1.49	1.85
naaien	2.0	2.41	1.72
naakt	1.94	3.06	1.21
nageboorte	1.57	2.05	1.51
nalatig	1.54	1.63	2.06
necrofiel	4.77	5.4	4.41
nectarine	1.0	1.01	1.0
neerslachtig	1.44	1.67	1.83
neger	3.09	4.2	3.62
negerlul	4.55	5.15	4.78
neuken	3.03	4.25	1.91
neukfout	3.77	4.6	4.93
neushoorn	1.03	1.07	1.18
nicht	1.52	1.8	2.83
nietig	1.39	1.62	1.94
nijlpaard	1.06	1.17	2.08
nikker	3.82	4.6	4.38
oelewapper	1.61	2.01	2.49
oetlul	2.47	3.31	3.69
oliespuit	1.02	1.03	1.05
olifant	1.14	1.15	1.9
onderbroek	1.18	1.49	1.0
onderdanig	1.67	1.97	1.95
ondergeschikt	1.77	2.06	2.4
onderlegger	1.01	1.01	1.08
onemotioneel	1.57	1.75	2.16
ongeluk	1.41	1.53	1.49
oninteressant	1.52	1.62	2.3
onproductief	1.63	1.77	2.14
onschuld	1.03	1.15	1.0
onschuldig	1.07	1.13	1.05
ontmoedigd	1.38	1.39	1.48
ontspannen	1.02	1.03	1.0
onverschillig	1.44	1.48	1.91
ooievaar	1.0	1.01	1.02
oorlog	2.03	2.53	1.39
opa	1.03	1.07	1.28
opgetogen	1.03	1.11	1.02
opgewekt	1.01	1.02	1.0
opgewonden	1.76	2.37	1.11
oppervlakkig	1.39	1.47	2.2
optimistisch	1.01	1.05	1.0
opwekkend	1.1	1.09	1.01
oraal	2.43	3.38	1.39
orgasme	2.64	3.9	1.3
orgie	3.75	4.74	1.79
oven	1.01	1.01	1.01
paard	1.0	1.03	1.23
paardrijden	1.01	1.05	1.01
paleis	1.01	1.07	1.0
pan	1.0	1.0	1.0
paniek	1.41	1.6	1.22
papaya	1.0	1.03	1.01
papegaai	1.05	1.0	1.25
paprika	1.0	1.0	1.01
parel	1.0	1.01	1.0
parfum	1.01	1.02	1.05
park	1.01	1.02	1.0
parkiet	1.0	1.0	1.01
passie	1.2	1.38	1.0
passief	1.25	1.38	1.56
passievrucht	1.0	1.03	1.0
pauw	1.05	1.06	1.07
pedofiel	4.34	5.14	4.56
peer	1.02	1.02	1.07
pelikaan	1.0	1.02	1.03
penetreren	2.9	3.95	1.69
penis	2.25	3.33	1.77
penislikker	4.23	5.06	5.03
perzik	1.01	1.02	1.0
pesten	2.83	3.31	2.55
pet	1.03	1.05	1.07
peterselie	1.0	1.01	1.0
pijn	1.56	1.63	1.18
pijnloos	1.08	1.09	1.01
pijpen	3.22	4.52	1.69
pijphoer	4.67	5.4	5.75
pijpslet	4.55	5.1	5.8
pinguïn	1.01	1.07	1.01
pis	1.89	2.37	1.6
pisnicht	3.84	4.45	5.17
plamuurmes	1.01	1.03	1.07
plasser	1.79	2.37	1.46
plezier	1.07	1.05	1.03
ploeg	1.01	1.07	1.03
pluim	1.0	1.06	1.0
poef	1.01	1.01	1.03
poepslet	4.38	4.94	5.47
pokkewijf	3.13	3.77	4.47
polio	2.16	2.74	2.74
pompoen	1.02	1.0	1.07
pooier	2.89	3.6	3.01
porno	3.37	4.82	1.54
pot	1.66	2.07	2.4
pothoer	4.24	4.83	5.45
prei	1.0	1.01	1.01
pret	1.01	1.03	1.01
priem	1.07	1.05	1.06
productief	1.01	1.02	1.0
prostituee	3.08	4.0	3.57
pruim	1.06	1.1	1.14
pukkelkop	2.67	2.95	4.14
pyjama	1.02	1.05	1.0
radijs	1.0	1.0	1.0
raket	1.1	1.13	1.0
ramp	2.41	3.2	3.9
randdebiel	1.53	1.82	1.6
rasp	1.13	1.02	1.01
razernij	1.4	1.63	1.25
redder	1.01	1.05	1.01
redding	1.0	1.02	1.0
reet	1.77	2.34	1.78
reetkever	2.67	3.22	3.34
regenboog	1.0	1.01	1.0
reiger	1.02	1.02	1.05
riem	1.02	1.03	1.0
rode kool	1.05	1.0	1.06
rok	1.01	1.16	1.0
roman	1.01	1.11	1.01
roodborstje	1.0	1.0	1.01
roomijs	1.06	1.05	1.02
roos	1.01	1.03	1.0
rubbertje	1.83	2.46	1.17
rugby	1.03	1.08	1.0
rukken	3.15	4.3	1.72
rust	1.05	1.06	1.03
rustig	1.11	1.08	1.08
ruzie	1.52	1.69	1.39
saai	1.4	1.55	2.4
sadist	2.69	3.28	3.56
satan	2.4	3.32	3.17
satijn	1.0	1.01	1.0
sauna	1.06	1.15	1.0
schaaf	1.0	1.08	1.05
schaamhaar	2.85	3.68	1.83
schaap	1.07	1.07	1.24
schaar	1.01	1.01	1.0
schaken	1.0	1.06	1.02
schandaal	1.72	2.31	1.72
scheet	1.99	2.67	1.33
scheiden	2.14	2.68	1.52
scheiding	2.01	2.47	1.37
schelden	1.86	2.3	1.86
schermen	1.07	1.06	1.03
schijt	1.94	2.74	1.8
schijterd	1.86	2.36	3.55
schijtwijf	3.31	4.21	4.78
schijtzak	2.45	3.08	3.45
schilderij	1.01	1.05	1.01
schip	1.05	1.01	1.03
schoenen	1.0	1.01	1.02
schop	1.16	1.21	1.11
schort	1.01	1.06	1.0
schroevendraaier	1.0	1.0	1.0
schurk	1.41	1.64	2.1
scooter	1.02	1.09	1.08
seks	2.44	3.61	1.29
selderij	1.03	1.01	1.02
sereen	1.15	1.2	1.06
shit	1.56	2.33	1.69
sinaasappel	1.05	1.06	1.01
sip	1.32	1.37	1.45
sjaal	1.05	1.08	1.03
skateboard	1.0	1.03	1.0
skiën	1.06	1.06	1.02
sla	1.0	1.02	1.0
slaaf	2.83	3.6	3.74
slaap	1.03	1.05	1.07
slachten	2.2	2.7	1.62
slachting	2.38	2.79	1.6
slap	1.33	1.6	1.87
slede	1.0	1.11	1.0
slet	3.46	4.11	5.02
sleur	1.45	1.71	1.39
sleutel	1.07	1.02	1.01
slijpschijf	1.09	1.15	1.06
sloerie	3.22	3.79	4.61
sloom	1.26	1.37	2.03
snijboon	1.03	1.03	1.13
snijplank	1.02	1.06	1.07
SOA	3.18	4.45	2.41
sokken	1.0	1.02	1.06
solide	1.09	1.13	1.06
somber	1.55	1.79	1.66
spaargeld	1.15	1.28	1.05
spatel	1.0	1.08	1.02
specht	1.01	1.01	1.01
sperma	2.45	3.47	1.38
spermaslikker	4.45	5.18	4.85
spiegel	1.05	1.07	1.01
spijker	1.0	1.01	1.0
spinazie	1.01	1.01	1.0
spruiten	1.03	1.06	1.0
squash	1.06	1.01	1.07
staalborstel	1.03	1.08	1.03
stabiel	1.03	1.02	1.0
stelen	2.45	2.72	1.76
step	1.08	1.08	1.01
sterfbed	2.06	2.52	1.39
stijve	2.93	4.15	1.63
stikken	1.54	1.67	1.2
stoel	1.0	1.0	1.0
stoephoer	4.36	5.01	5.74
stofzuiger	1.05	1.01	1.07
stom	1.51	1.62	2.32
strand	1.01	1.01	1.05
strelen	1.64	2.11	1.03
stront	2.14	2.57	2.01
stropdas	1.11	1.0	1.07
struikneger	4.48	5.03	5.21
struisvogel	1.0	1.0	1.1
succes	1.06	1.11	1.0
suf	1.38	1.49	2.14
sufkut	2.84	3.49	4.13
suflul	2.66	3.2	3.68
suite	1.0	1.03	1.0
super	1.03	1.03	1.06
surfen	1.07	1.0	1.0
sweater	1.0	1.0	1.0
syfilis	3.32	4.44	2.61
tafel	1.01	1.01	1.01
tafeltennis	1.02	1.01	1.0
takkehoer	4.15	4.68	5.57
talentvol	1.02	1.09	1.02
tang	1.09	1.13	1.34
taxi	1.03	1.02	1.03
teef	2.83	3.28	4.33
tennis	1.01	1.01	1.03
tepel	1.84	2.91	1.23
tering	2.47	3.49	2.92
teringlijer	3.89	4.48	5.33
teringlul	3.83	4.66	5.09
teringtyfushoer	4.75	5.44	6.05
terras	1.05	1.02	1.02
theelepel	1.0	1.0	1.0
thuis	1.02	1.06	1.0
tieten	2.18	3.2	1.64
tijger	1.0	1.05	1.02
tiran	2.25	2.63	3.2
tomaat	1.02	1.03	1.1
tongzoen	1.59	2.21	1.07
topje	1.05	1.18	1.0
touw	1.05	1.05	1.02
tractor	1.07	1.05	1.01
tram	1.03	1.02	1.0
tranny	2.53	3.38	2.86
trauma	1.66	2.37	1.26
travestiet	2.76	3.93	3.41
travo	2.43	3.65	3.31
trein	1.08	1.15	1.02
trekslet	4.34	4.97	5.57
trouwen	1.08	1.18	1.0
trui	1.0	1.0	1.0
t-shirt	1.0	1.01	1.0
tuin	1.0	1.0	1.0
tuinbroek	1.01	1.02	1.03
tumor	2.43	3.1	2.11
turnen	1.07	1.02	1.08
tyfus	2.68	3.48	3.01
tyfushoer	4.44	4.91	5.75
tyfuslijer	4.08	4.78	5.36
tyfuslul	3.95	4.63	5.23
tyfusslet	4.25	5.05	5.56
ui	1.02	1.05	1.05
uil	1.0	1.01	1.06
uitgedoofd	1.07	1.28	1.31
uitgeput	1.23	1.37	1.15
urine	1.74	2.18	1.22
vaas	1.0	1.01	1.0
vagina	2.21	3.33	1.64
valk	1.03	1.09	1.0
varken	1.26	1.34	2.17
vatzig	2.26	2.63	3.93
veilig	1.0	1.05	1.0
verdraagzaam	1.08	1.25	1.09
verfborstel	1.0	1.07	1.0
vergiet	1.06	1.05	1.16
verheugd	1.03	1.03	1.0
verjaardag	1.01	1.03	1.07
verkrachten	4.44	5.17	3.22
verlept	1.41	1.67	2.26
verliefd	1.21	1.36	1.07
vermoeid	1.33	1.47	1.3
vernielen	1.63	1.82	1.21
vernietigen	1.61	1.87	1.43
verrassing	1.05	1.07	1.0
verslapt	1.46	1.57	1.55
verspringen	1.0	1.02	1.0
verveling	1.26	1.29	1.22
verwekfout	2.87	3.31	3.67
vetzak	2.95	3.31	4.71
vibrator	3.11	4.17	1.47
vieren	1.01	1.05	1.03
vijand	1.71	1.89	2.12
vijandig	1.56	1.7	1.91
vijg	1.02	1.11	1.08
vijl	1.0	1.01	1.0
villa	1.05	1.1	1.01
vingeren	3.17	4.47	1.43
vissen	1.06	1.08	1.07
vitrine	1.0	1.03	1.0
vleermuis	1.03	1.1	1.02
vliegtuig	1.0	1.1	1.05
vloer	1.0	1.0	1.06
voetbal	1.06	1.1	1.0
volhouder	1.06	1.14	1.05
volleybal	1.0	1.01	1.0
voorspel	2.21	3.06	1.18
vork	1.01	1.0	1.03
vos	1.0	1.01	1.03
vrachtwagen	1.0	1.02	1.02
vrede	1.01	1.07	1.0
vreugde	1.0	1.01	1.0
vrijen	2.32	3.23	1.24
vrolijk	1.0	1.03	1.0
vuisten	1.26	1.33	1.08
vuurtoren	1.08	1.17	1.3
wagen	1.0	1.0	1.0
wandelen	1.09	1.06	1.0
wanten	1.03	1.02	1.05
waterkoker	1.0	1.0	1.0
waterpas	1.01	1.03	1.05
weegschaal	1.17	1.29	1.08
werkloos	1.87	2.51	1.56
wielrennen	1.02	1.02	1.05
wilskracht	1.11	1.29	1.03
winnaar	1.0	1.03	1.0
winnen	1.06	1.08	1.03
wippen	2.57	3.52	1.44
witlof	1.07	1.07	1.0
witte kool	1.01	1.01	1.0
woede	1.46	1.62	1.2
woest	1.47	1.56	1.32
wok	1.0	1.01	1.0
wolf	1.0	1.06	1.09
wonder	1.06	1.16	1.0
wortel	1.02	1.0	1.06
wraak	1.98	2.08	1.43
wrak	1.4	1.55	2.02
wrat	2.23	2.56	1.93
wrattenkop	2.82	3.33	4.48
wreed	1.7	1.89	2.0
wurgen	2.45	2.99	1.9
zaad	1.76	2.53	1.39
zaadbak	2.24	2.77	2.18
zaag	1.02	1.09	1.09
zacht	1.01	1.06	1.08
zachtaardig	1.08	1.26	1.22
zebra	1.0	1.01	1.0
zeef	1.06	1.02	1.23
zegen	1.06	1.14	1.0
zeilen	1.0	1.03	1.0
zelfmoord	3.37	4.61	2.51
zeppelin	1.0	1.01	1.0
ziek	1.32	1.61	1.63
zitzak	1.08	1.08	1.33
zoen	1.18	1.43	1.0
zonnen	1.05	1.09	1.0
zuigen	1.94	2.48	1.49
zuurkool	1.02	1.01	1.06
zwaan	1.01	1.06	1.05
zwak	1.64	1.79	2.83
zwakkeling	1.94	2.3	3.62
zwaluw	1.03	1.03	1.0
zwemmen	1.0	1.0	1.0
zwempak	1.01	1.05	1.0
