word1_fi;word2_fi;SimLex999;word1_en;word2_en;POS;SimLex999;conc(w1);conc(w2);concQ;Assoc(USF);SimAssoc333;SD(SimLex)
älykkyys;logiikka;SimLex999;intelligence;logic;N;6,5;2,24;1,72;1;0,68;1;1,2
uusi;tuore;SimLex999;new;fresh;A;6,83;2,81;1,97;1;1,98;1;1,2
vatsa;suoni;SimLex999;stomach;vein;N;2,35;4,89;4,63;4;0;0;1,2
lainata;myydä;SimLex999;borrow;sell;V;1,73;3,1;3,35;2;0,17;0;1,21
tyttö;lapsi;SimLex999;girl;child;N;5,38;4,85;4,78;4;0,2;0;1,21
juoru;uutinen;SimLex999;gossip;news;N;5,22;3;3,41;2;0,14;0;1,21
kirja;aihe;SimLex999;book;topic;N;2,07;4,9;2,59;3;0,2;0;1,22
lainata;haluta;SimLex999;borrow;want;V;1,77;3,1;1,93;1;0;0;1,22
tuoli;penkki;SimLex999;chair;bench;N;6,67;4,58;4,87;3;1,09;1;1,22
helppo;iso;SimLex999;easy;big;A;1,12;2,07;3,66;2;0,2;0;1,22
kärsimätön;ahdistunut;SimLex999;impatient;anxious;A;6,03;2,38;1,68;1;0,47;1;1,22
paperi;pahvi;SimLex999;paper;cardboard;N;5,38;4,93;4,9;4;2,2;1;1,22
ajatella;tiedustella;SimLex999;think;inquire;V;4,77;2,41;2,38;1;0,14;0;1,23
aloittaa;mennä;SimLex999;begin;go;V;7,42;2,56;3,15;2;0,11;0;1,24
käyttäytyä;totella;SimLex999;behave;obey;V;7,3;1,78;2,67;1;0,21;0;1,24
usko;mielipide;SimLex999;belief;opinion;N;7,7;1,19;1,93;1;0,41;0;1,24
kantaa;tuoda;SimLex999;carry;bring;V;5,8;4,04;2,55;2;1,37;1;1,24
aisti;intuitio;SimLex999;sense;intuition;N;7,68;2,61;1,67;1;0,62;1;1,24
leipä;jauho;SimLex999;bread;flour;N;3,33;4,92;4,97;4;1,42;1;1,25
näyttelijä;laulaja;SimLex999;actor;singer;N;4,52;4,57;4,62;3;0,15;0;1,26
sänky;tuoli;SimLex999;bed;chair;N;3,5;5;4,58;4;0,13;0;1,26
päättää;valita;SimLex999;decide;choose;V;8,87;1,92;2,62;1;0,67;1;1,26
ymmärtää;tietää;SimLex999;understand;know;V;7,47;2,28;1,68;1;0,71;1;1,26
nauttia;viihdyttää;SimLex999;enjoy;entertain;V;5,92;2,29;2,55;1;0,79;1;1,27
kukka;nuppu;SimLex999;flower;bulb;N;4,48;5;4,93;4;0,27;0;1,27
ruoho;sammal;SimLex999;grass;moss;N;5;4,93;4,9;4;0,53;1;1,27
rytmi;melodia;SimLex999;rhythm;melody;N;6,12;3,07;3,71;2;0,36;0;1,27
riisi;papu;SimLex999;rice;bean;N;2,72;4,86;5;4;0,34;0;1,27
laulu;tarina;SimLex999;song;story;N;3,97;4,46;3,3;3;0,27;0;1,27
hyväksyä;hylätä;SimLex999;accept;reject;V;0,83;3,03;2,4;2;1,69;1;1,28
laatikko;hissi;SimLex999;box;elevator;N;1,32;4,9;4,79;4;0,27;0;1,28
levitä;kasvaa;SimLex999;expand;grow;V;8,27;3,36;3,03;2;0,17;0;1,28
isä;veli;SimLex999;father;brother;N;4,2;4,52;4,43;3;0,24;0;1,28
oppilas;presidentti;SimLex999;pupil;president;N;0,78;4,55;4,4;3;0;0;1,28
surullinen;hauska;SimLex999;sad;funny;A;0,95;3,07;2,5;2;0,74;1;1,28
saavuttaa;onnistua;SimLex999;achieve;succeed;V;7,5;2,29;2,33;1;0,17;0;1,29
vauva;tytär;SimLex999;baby;daughter;N;5;5;4,79;4;0,14;0;1,29
tyhmä;nokkela;SimLex999;dumb;clever;A;8,65;2,38;1,82;1;0,14;0;1,29
selittää;todistaa;SimLex999;explain;prove;V;4,1;1,97;1,83;1;0,14;0;1,29
ystävä;opettaja;SimLex999;friend;teacher;N;2,62;3,07;4,52;3;0,41;0;1,29
älykkyys;taito;SimLex999;intelligence;skill;N;5,35;2,24;2,17;1;0,27;0;1,29
mielipide;idea;SimLex999;opinion;idea;N;5,7;1,93;1,61;1;0,31;0;1,29
kirja;essee;SimLex999;book;essay;N;4,72;4,9;3,97;3;0,14;0;1,3
koira;kissa;SimLex999;dog;cat;N;1,75;4,85;4,86;4;5,13;1;1,3
tina;alumiini;SimLex999;tin;aluminum;N;6,42;4,87;4,88;4;0,82;1;1,3
isä;jumala;SimLex999;father;god;N;3,57;4,52;2,07;2;0,14;0;1,31
virallinen;kunnollinen;SimLex999;formal;proper;A;8,02;2,7;1,78;1;0,14;0;1,31
huone;sänky;SimLex999;room;bed;N;2,35;4,79;5;4;0,24;0;1,31
näkö;havainto;SimLex999;vision;perception;N;6,88;3,39;2;2;0,14;0;1,31
rikos;varkaus;SimLex999;crime;theft;N;7,53;3,03;2,93;2;0,61;1;1,32
työ;hallinto;SimLex999;job;management;N;3,97;3,19;2,72;2;0,15;0;1,33
sohva;tuoli;SimLex999;sofa;chair;N;6,67;4,9;4,58;4;0,77;1;1,56
haluta;valita;SimLex999;want;choose;V;4,78;1,93;2,62;1;0,11;0;1,56
tuoda;valittaa;SimLex999;bring;complain;V;0,98;2,55;2,6;1;0;0;1,57
syöpä;sairaus;SimLex999;cancer;sickness;N;7,93;3,86;3,45;2;0,15;0;1,57
laiton;moraaliton;SimLex999;illegal;immoral;A;4,28;2,37;1,59;1;0,2;0;1,57
hävitä;säilyttää;SimLex999;lose;keep;V;1,05;2,25;2,37;1;0,28;0;1,57
kuu;planeetta;SimLex999;moon;planet;N;5,87;4,9;4,58;4;0,24;0;1,57
omena;sitruuna;SimLex999;apple;lemon;N;4,05;5;5;4;0,13;0;1,58
anella;kysyä;SimLex999;beg;ask;V;6;2,96;2,52;2;0,14;0;1,58
flunssa;kuume;SimLex999;flu;fever;N;6,08;3,65;3,27;2;0,11;0;1,58
ateria;vyötärö;SimLex999;meal;waist;N;0,98;4,62;4,72;3;0;0;1,58
lyhyt;pitkä;SimLex999;short;long;A;1,23;3,61;3,18;2;5,36;1;1,58
ilma;helium;SimLex999;air;helium;N;3,63;4,11;3,96;3;0,49;1;1,59
suuri;joustava;SimLex999;large;flexible;A;0,48;3,37;2,64;2;0;0;1,59
hiiri;hallinto;SimLex999;mouse;management;N;0,48;4,83;2,72;3;0;0;1,59
sopimus;ehto;SimLex999;pact;condition;N;2,45;2,52;2,15;1;0;0;1,59
lintu;kalkkuna;SimLex999;bird;turkey;N;6,58;5;4,89;4;0,67;1;1,6
unohtaa;tietää;SimLex999;forget;know;V;0,92;2,04;1,68;1;0,27;0;1,6
kana;kalkkuna;SimLex999;hen;turkey;N;6,13;4,9;4,89;4;0,13;0;1,6
talo;lato;SimLex999;house;barn;N;4,33;5;4,79;4;0,16;0;1,6
järvi;suo;SimLex999;lake;swamp;N;4,92;4,88;4,96;4;0,27;0;1,6
ikkuna;ovi;SimLex999;window;door;N;3,33;4,86;4,81;4;1,56;1;1,6
nainen;sihteeri;SimLex999;woman;secretary;N;1,98;4,46;4,54;3;0,48;1;1,6
hyväksyä;uskoa;SimLex999;accept;believe;V;6,75;3,03;1,55;1;0,67;1;1,61
muistuttaa;myydä;SimLex999;remind;sell;V;0,4;2,19;3,35;2;0;0;1,61
pitkä;kapea;SimLex999;long;narrow;A;3,57;3,18;3,04;2;0,21;0;1,62
mies;isä;SimLex999;man;father;N;4,83;4,79;4,52;3;0,48;1;1,62
äiti;vaimo;SimLex999;mother;wife;N;3,02;4,6;4,13;3;0,31;0;1,62
katu;kuja;SimLex999;street;alley;N;5,48;4,75;4,82;4;2,07;1;1,62
vahinko;katastrofi;SimLex999;accident;catastrophe;N;5,9;3,26;2,96;2;0,14;0;1,63
kysyä;rukoilla;SimLex999;ask;pray;V;3,72;2,52;3,21;2;0,33;0;1,63
jumala;henki;SimLex999;god;spirit;N;7,3;2,07;1,6;1;0,77;1;1,63
tukki;kylpy;SimLex999;log;bath;N;0,4;4,96;4,85;4;0;0;1,63
esittää;vaikuttaa;SimLex999;pretend;seem;V;4,68;2,11;1,75;1;0,11;0;1,63
esittää;kuvitella;SimLex999;pretend;imagine;V;8,47;2,11;1,53;1;0,21;0;1,63
setä;täti;SimLex999;uncle;aunt;N;5,5;4,24;4,17;3;7,46;1;1,63
luu;polvi;SimLex999;bone;knee;N;4,17;4,9;5;4;0,24;0;1,64
kaveri;kumppani;SimLex999;buddy;companion;N;8,65;3,48;3,75;2;0,28;0;1,64
viisaus;älykkyys;SimLex999;wisdom;intelligence;N;7,47;1,53;2,24;1;0,14;0;1,33
vanha;tuore;SimLex999;old;fresh;A;0,87;2,72;1,97;1;0,91;1;1,64
omena;mehu;SimLex999;apple;juice;N;2,88;5;4,89;4;0,7;1;1,65
unohtaa;oppia;SimLex999;forget;learn;V;1,18;2,04;2,2;1;0,33;0;1,65
oppia;kuunnella;SimLex999;learn;listen;V;3,88;2,2;3,47;2;0,28;0;1,65
sana;vihje;SimLex999;word;clue;N;2,53;3,56;2,93;2;0,13;0;1,65
kukka;pensas;SimLex999;flower;bush;N;4,25;5;4,9;4;0,24;0;1,66
ankara;julma;SimLex999;harsh;cruel;A;8,18;2,23;2,11;1;0,21;0;1,66
ymmärtää;kuunnella;SimLex999;understand;listen;V;4,68;2,28;3,47;2;0,17;0;1,66
vesi;jää;SimLex999;water;ice;N;6,47;5;4,89;4;1,03;1;1,66
kissa;jänis;SimLex999;cat;rabbit;N;2,37;4,86;4,93;4;0,22;0;1,67
koodi;symboli;SimLex999;code;symbol;N;6,03;3;3,11;2;0,14;0;1,67
mies;voittaja;SimLex999;man;victor;N;1,9;4,79;2,88;3;0,27;0;1,67
aurinko;taivas;SimLex999;sun;sky;N;2,27;4,83;4,45;3;0,39;0;1,67
voittaja;maali;SimLex999;winner;goal;N;3,23;3,21;3,06;2;0;0;1,67
iso;laaja;SimLex999;big;broad;A;6,73;3,66;2,45;2;0,47;1;1,68
auto;pyörä;SimLex999;car;bicycle;N;3,47;4,89;4,89;4;0,41;0;1,68
pilvi;usva;SimLex999;cloud;haze;N;7,32;4,54;4,04;3;0,63;1;1,68
rehellinen;syyllinen;SimLex999;honest;guilty;A;1,18;1,66;2,36;1;0,27;0;1,68
lihas;luu;SimLex999;muscle;bone;N;3,65;4,5;4,9;3;0,13;0;1,68
isä;tytär;SimLex999;father;daughter;N;2,62;4,52;4,79;3;0,42;0;1,69
huomattava;selvä;SimLex999;noticeable;obvious;A;8,48;2,29;2,07;1;0,14;0;1,69
ottaa;varastaa;SimLex999;take;steal;V;6,18;3,06;3,84;2;3,28;1;1,69
luoda;kuvitella;SimLex999;create;imagine;V;5,13;2,62;1,53;1;0,27;0;1,7
kukka;kestävyys;SimLex999;flower;endurance;N;0,4;5;2;2;0;0;1,7
kuningas;prinsessa;SimLex999;king;princess;N;3,27;4,1;4,72;3;0,29;0;1,7
todiste;fakta;SimLex999;proof;fact;N;7,3;2,67;2,72;2;0,13;0;1,7
tarina;aihe;SimLex999;story;topic;N;5;3,3;2,59;2;0,47;1;1,7
järjestää;vaatia;SimLex999;arrange;require;V;0,98;2,79;2,07;1;0;0;1,72
illallinen;aamiainen;SimLex999;dinner;breakfast;N;3,33;4,5;4,43;3;1,49;1;1,72
kitara;rumpu;SimLex999;guitar;drum;N;3,78;4,9;4,96;4;0,32;0;1,72
kuunnella;kuulla;SimLex999;listen;hear;V;8,17;3,47;3,66;2;3,22;1;1,72
tervehtiä;tavata;SimLex999;greet;meet;V;6,17;2,96;3;2;0,83;1;1,73
selventää;selittää;SimLex999;clarify;explain;V;8,33;2,07;1,97;1;0,14;0;1,74
tyydyttää;miellyttää;SimLex999;satisfy;please;V;7,67;2,04;1,64;1;0,21;0;1,74
erilainen;normaali;SimLex999;different;normal;A;1,08;1,97;1,4;1;0,21;0;1,75
lukea;ymmärtää;SimLex999;read;comprehend;V;4,7;3,56;1,86;2;0,21;0;1,75
tylsä;hauska;SimLex999;dull;funny;A;0,55;2,37;2,5;1;0,2;0;1,76
hattu;takki;SimLex999;hat;coat;N;2,67;4,88;4,97;4;1,62;1;1,76
metalli;alumiini;SimLex999;metal;aluminum;N;7,25;4,87;4,88;4;1,1;1;1,76
tuhota;rakentaa;SimLex999;destroy;construct;V;0,92;3,08;2,6;2;0,28;0;1,78
nilkka;ikkuna;SimLex999;ankle;window;N;0,3;4,81;4,86;4;0;0;1,8
logiikka;aritmetiikka;SimLex999;logic;arithmetic;N;3,97;1,72;2,74;1;0,14;0;1,81
pallo;tykki;SimLex999;ball;cannon;N;2,58;5;4,79;4;1,96;1;1,82
sade;sumu;SimLex999;rain;mist;N;5,97;4,97;4,51;4;0,71;1;1,83
voittaa;onnistua;SimLex999;win;succeed;V;7,9;2,67;2,33;1;0,89;1;1,83
serkku;setä;SimLex999;cousin;uncle;N;4,63;3,7;4,24;3;0,14;0;1,84
molekyyli;ilma;SimLex999;molecule;air;N;3,05;3,27;4,11;2;0,14;0;1,84
sänky;sohva;SimLex999;bed;couch;N;3,42;5;4,71;4;0,14;0;1,85
viha;raivo;SimLex999;anger;fury;N;8,73;2,41;2,89;2;3,06;1;1,89
lainata;anella;SimLex999;borrow;beg;V;2,62;3,1;2,96;2;1;1;1,89
illallinen;keitto;SimLex999;dinner;soup;N;3,72;4,5;4,72;3;0,12;0;1,89
linssi;kamera;SimLex999;lens;camera;N;4,28;4,64;5;4;0,9;1;1,89
vaatimaton;joustava;SimLex999;modest;flexible;A;0,98;2,21;2,64;1;0;0;1,89
tiede;psykologia;SimLex999;science;psychology;N;4,92;2,79;2,31;1;0,3;0;1,91
tappaa;tuhota;SimLex999;kill;destroy;V;5,9;3,9;3,08;2;2;1;1,93
kärsimys;suru;SimLex999;agony;grief;N;7,63;2,38;2,7;1;0,12;0;1,94
raha;helmi;SimLex999;money;pearl;N;2,1;4,54;4,87;3;0,16;0;1,94
