: TOEFL QUESTIONS
Bijou Schmuckstück Spitzbube Spielkarte Gaststätte
Kismet Schicksal Zufall Illusion Prophezeiung
Minarett Turm Speiseplatte Spitzsäule Musikinstrument
Mudschaheddin Freischärler Nomaden Söldner Leibwächter
Ramadan Fastenmonat Freitagspredigt Sittenwächter Festmahl
Aktrice Schauspielerin Aktmodell Archivarin Börsenmaklerin
Blessur Verletzung Stirnfleck Blutarmut Abgestumpftheit
Bredouille Bedrängnis Blindenschrift Kontrollgang Rettungsaktion
Entourage Gefolge Reisegruppe Drehzahl Umhüllung
Odeur Wohlgeruch Ausstrahlung Atemschutzgerät Zerstäuber
Skribifax Schreiberling Fernkopierer Geheimfach Drehbuchautor
hypen hochjubeln heruntermachen beschreiben analysieren
Inliner Rollschuhläufer Linienrichter Internetnutzer Jasager
SMS Kurzmitteilung Manuskript Motorschiff Rinderseuche
Affinität Wesenverwandtschaft Getue Gegensätzlichkeit Gleichheit
Authentizität Echtheit Ansehen Herrschsucht Fragwürdigkeit
dekuvrieren entlarven entschlüsseln enttäuschen entstellen
eruieren herausfinden aussieben auswerten austüfteln
Inkarnation Verkörperung Idee Beeinflussung Wiedereingliederung
Präferenz Vorliebe Vorbesprechung Vordringlichkeit Vorsprung
transitorisch vorübergehend durchsichtig fortgesetzt unvergänglich
Xenophobie Fremdenfeindlichkeit Platzangst Frauenhass Verfolgungswahn
Bordcase Gepäckstück Schiffsgeländer Pilotenkabine Serviertisch
Gangway Fluggasttreppe Führungslinie Promenade Landebahn
Kinetose Reisekrankheit Muskelkrampf Lockerungsübung Fiebermittel
Maut Straßengebühr Beförderungssteuer Zollgrenze Geldbuße
Pier Landungsbrücke Ankerplatz Wellenbrecher Seezeichen
Rezeption Empfangsbüro Hotelhalle Postablage Gesellschaftssaal
Siesta Mittagsruhe Volksfest Sommerregen Zwischenmahlzeit
Inversion Temperaturumkehr Wettersturz Mondwechsel Treibhauseffekt
Isobaren Gleichdrucklinien Eiskristalle Höhenwinde Wärmekurven
Kumulonimbus Gewitterwolke Regenmesser Hochdrucklage Lichterscheinung
Meteorologie Wetterkunde Raumforschung Erdgeschichte Strömungslehre
Mure Schlammstrom Schneeschmelze Gletscherschutt Versumpfung
Schirokko Mittelmeerwind Wüstenklima Meeresströmung Schneesturm
Siebenschläfer Kalendertag Hitzeperiode Wetterfühliger Mondphase
thermisch Wärme Bewölkung Luftfeuchte Verdunstung
Tornado Wirbelsturm Luftelektrizität Kondensstreifen Erdstoß
Zirrus Federwolke Tau Luftfeuchte Wolkenwand
Herbarium Pflanzensammlung Komposthaufen Wintergarten Vogelbauer
obligat unerlässlich widerspenstig verbindlich pflichtgemäß
Portiere Türvorhang Eingangshalle Empfangsdame Brieftasche
hektisch aufgeregt gelassen geistesgegenwärtig leidenschaftlich
Junkie Drogenabhängiger Müllschlucker Schleckermaul Dickwanst
Desaster Katastrophe Enttäuschung Missverständnis Durcheinander
altruistisch uneigennützig selbstsüchtig weltfremd aufrichtig
Benefiz Wohltätigkeitsveranstaltung Beihilfe Lobgesang Segen
ekstatisch rauschhaft sprunghaft aufgebracht zurückgezogen
Elan Schwung Zurückhaltung Anpassungsfähigkeit Ehrgeiz
Faszination Bezauberung Verblüffung Verwirrung Eingebung
Generosität Großzügigkeit Erbeigenschaft Vorurteilslosigkeit Allgemeingültigkeit
kredenzen darreichen ausleihen gutschreiben umfüllen
moderat maßvoll unnachgiebig unterhaltsam zeitgemäß
Petition Bittschrift Wiederholung Erklärung Forderung
philanthropisch menschenfreundlich kleinbürgerlich wissensdurstig mitteilsam
sanguinisch leichtblütig leichtsinnig lebenstüchtig geistreich
Schalom Frieden Wohlergehen Dankbarkeit Sicherheit
spirituell geistig gespenstisch berauschend erfrischend
Bonvivant Lebemann Charakterspieler Bösewicht Naturbursche
Choreografie Ballettregie Tanztheorie Chorpartitur Sprechchortext
Figurine Kostümentwurf Anfängerin Maskenbildnerin Bühnenmodell
Inspizient Spielwart Verwaltungschef Beleuchtungsmeister Regisseur
Komparse Statist Hilfsregisseur Bühnetechniker Vorhangzieher
Soubrette Sängerin Drehbühne Orchestergraben Tänzerin
Ambiente Umgebung Wasservogel Krankenstation Doppelsinn
exklusiv vornehm hochwirksam ausschweifend überspannt
Indolenz Stumpfheit Dreistigkeit Eigensinn Unredlichkeit
Kalkül Überlegung Chemikalie Arbeitsplan Vorbehalt
kaschieren verbergen nachbessern ausschmücken ableugnen
Larmoyanz Weinerlichkeit Schmähsucht Lärmempfindlichkeit Schamgefühl
Potentat Machthaber Geldmann Großgrundbesitzer Sexprotz
provokant herausfordernd vorsorglich fortschrittlich anklagend
Sensorium Empfindungsvermögen Sinnlichkeit Sensation Sehschule
Tristesse Traurigkeit Dreimaster Rangabzeichen Langeweile
Alzheimer Gedächtnisschwund Militärmarsch Magenbitter Schmelzkäse
Clivia Zimmerpflanze Tasteninstrument Hirtenflöte Schmuckstein
Dobermann Hunderasse Schnapsflasche Arbeitsanzug Vertrauensperson
Eulenspiegelei Schelmenstreich Delikatesse Selbstbespiegelung Täuschungsmanöver
Kalaschnikow Schusswaffe Gulaschkanone Düsenjäger Rakete
Kir Mischgetränk Jahrmarkt Obstbranntwein Modetanz
Récamiere Liegesofa Tafelsatz Damenzimmer Abstellraum
Couchpotato Dauergucker Langschläfer Nackenkissen Knabbergebäck
Denglisch Sprachgemisch Tropenfieber Zubereitungsweise Mundart
DVD Datenträger Erbsubstanz Dienstvorschrift Laufwerk
Flipflops Sandalen Hausschuhe Ringelstrümpfe Knieschützer
Hype Reklamerummel Vermutung Behauptung Verleumdung
Mediator Vermittler Jogalehrer Meinungsbildner Werbefachmann
optional wahlweise wünschenswert unentgeltlich bestmöglich
Pumpgun Schusswaffe Damenschuh Saugglocke Injektionsspitze
Sharon Dattelpflaume Zitrusfrucht Kürbisart Quittensorte
top hervorragend durchschnittlich ansprechend übertrieben
Belami Frauenliebling Abenteurer Kämpfernatur Schöngeist
bezirzen betören bändigen belästigen betrügen
Dulzinea Geliebte Dienerin Anstandswauwau Schindmähre
Figaro Haarkünstler Opernsänger Liebhaber Page
Kassandraruf Warnung Wecksignal Freudenschrei Totenklage
Nestor Ältester Anfänger Gehilfe Lehrmeister
Odyssee Irrfahrt Kreuzfahrt Forschungsreise Lügengeschichte
Paparazzo Pressefotograf Genießer Dolmetscher Schnorrer
Schmock Schwätzer Feinschmecker Bücherwurm Pedant
Tartüff Heuchler Fehlersucher Ehrenmann Gernegross
Arroganz Dünkel Vornehmlichkeit Halsstarrigkeit Neugier
Ballistik Flugbahnen Tanzfiguren Ballspielen Zählmaßen
Bastion Bollwerk Hobbykeller Truppeneinheit Aussichtsturm
Dementi Richtigstellung Zeitungsente Widerspruch Ablehnung
favorisieren bevorzugen auszeichnen umschmeicheln übervorteilen
hedonistisch genusssüchtig selbstlos heldenhaft sittenstreng
insolvent zahlungsunfähig dreist frech beharrlich
lethargisch antriebslos vergesslich starrköpfig reizbar
Ritual Handlungsmuster Gottesdienst Chorgesang Tagesordnung
Sakrileg Frevel Grabkammer Zwangsmaßnahme Fehlurteil
blauäugig unkritisch vorurteilslos zuverlässig gefühlvoll
verballhornen verschlimmbessern veralbern verreißen widerlegen
Diktion Ausdrucksweise Wortschwall Niederschrift Satzbau
Distichon Zweizeiler Sprichwort Doppellaut Schmähschrift
Elegie Klagelied Sprachgewalt Beschönigung Wohlklang
Epigone Nachahmer Neutöner Satiriker Sprachgenie
episch erzählend treffend einförmig gefühlsbetont
Hermeneutik Auslegekunst Rätselhaftigkeit Gleichnishaftigkeit Weltgeschichte
Klappentext Kurzinformation Werbeprospekt Einleitung Anhang
Monolog Selbstgespräch Icherzählung Einpersonenstück Vorrede
Sonett Gedichtsform Sprachmelodie Versmaß Schlummerlied
Anstecker Mikrofon Beleuchter Moderator Manuskriptverfasser
Bumper Musikteppich Schlagzeuger Tonmeister Basslautsprecher
Fake Fälschung Tondokument Vulgärsprache Richtigstellung
Insert Einblendung Unterbrechung Rückblende Bildausschnitt
Jingle Erkennungsmelodie Schallplatte Solistenkonzert Ansage
Melodram Rührstück Musikdrama Tanzfilm Burleske
Primetime Hauptsendezeit Erstsendung Sendebeginn Sendedatum
Realityshow Unterhaltungssendung Presseschau Diskussion Reportage
Sitcom Serie Fernsehsatellit Schlagersendung Programmkonferenz
Spot Werbefilm Testbild Standfoto Großaufnahme
Teleprompter Souffliergerät Uhrzeiger Zeitraffer Bildspeicher
Thriller Reißer Koloraturarie Pausenzeichen Geräuschkulisse
Zoom Gummilinse Scheinwerfer Farbfilter Kamerafahrt
Balneario Strandabschnitt Bademeister Schwimmbecken Rettungsschwimmer
Coperto Tischgedeck Speisekarte Bedienung Mehrwertsteuer
Corrida Stierkampf Reitturnier Grillparty Autokorso
Gabinetto Toilette Empfangsbüro Garderobe Zeitungskiosk
Kren Meerrettich Wacholderbeere Kräuterpaste Ziegenkäse
Obatzter Brotaufstrich Moorbad Gebirgssteig Alpenblume
Obers Schlagsahne Dachgeschoss Weinkeller Spielkarte
Paradeiser Tomate Platzhirsch Sonnenschirm Aprikose
Velo Fahrrad Geschwindigkeit Windrose Wasserfahrzeug
Antipasti Vorspeisen Nudelgerichte Insektenschutzmittel Sonnensegel
Caffelatte Milchkaffe Espressobar Erfrischungsstand Cappuccino
Croissant Hörnchen Stangenbrot Straßenkreuzung Drehtür
Datschi Blechkuchen Wochenendhaus Eierspeise Obstsalat
Ferragosto Feiertag Küchengewürz Eisenbahnlinie Ausflug
Jus Fruchtsaft Jugendherberge Kleidungsstück Trinkspruch
Paella Reisgericht Kopfbedeckung Sonnenschirm Strandgewand
Patisserie Konditorei Spitzendecke Mehlspeise Konfekt
Pickerl Autobahnvignette Proviantkorb Taschendieb Giftpilz
Suk Markt Hammelbraten Frauenmantel Kopfputz
Aversion Abneigung Abwandlung Abweichung Vorurteil
Button Ansteckplakette Fischgericht Kragenform Ohrschmuck
devot unterwürfig anhänglich zuverlässig ehrgeizig
Dornfelder Rebsorte Landmaschine Heckenrose Branntwein
Eunuch Kastrat Schönfärber Wohltäter Kammerdiener
Goatee Ziegenbart Wuschelkopf Pferdeschwanz Schlabberhose
Ignoranz Unwissenheit Vergesslichkeit Wurstigkeit Dünkel
prüde zimperlich zartfühlend heuchlerisch denkfaul
Trampolin Sprunggerät Kamelart Nervensäge Schrittzähler
variabel veränderlich vorübergehend verschieden anpassungsfähig
Bizeps Oberarmmuskel Flaschenzug Drohgebärde Kraftprotz
Dezennium Jahrzehnt Gedenktag Studienbeihilfe Taktgefühl
dubios zweifelhaft fabelhaft vorteilhaft glaubhaft
Hemisphäre Erdhälfte Lufthülle Wolkenschicht Längengrad
Millefleurs Blumenmuster Blütenteppich Sommersprossen Mosaikglas
Priorität Vorrang Klostergut Verhaltensmaßregel Überlegenheit
Quarantäne Isolierung Freihafen Beschlagnahme Gewahrsam
sekundär zweitrangig augenblicklich entscheidend überflüssig
Tetra Lösungsmittel Getränkepackung Erdzeitalter Versform
Trigeminus Gesichtsnerv Sternbild Landmesser Kleeblatt
Albatros Sturmvogel Segelschiff Raubfisch Kobold
Erythem Hautrötung Eiterherd Platzwunde Blutpfropf
Falbe Pferd Faltensaum Schmuckspange Wildkatze
Greenback Dollarnote Hinterwäldler Neuling Arbeitserlaubnis
Leukämie Blutkrankheit Wundverband Harnvergiftung Muskelschwund
Melatonin Hormon Traubenzucker Beruhigungspille Schimmelpilz
Barsoi Windhund Glücksbringer Seidengewebe Zwergbaum
Baude Berggasthof Jahrmarktszelt Imbissstube Kneipe
Borschtsch Kohlsuppe Salatgewürz Rinderbraten Süßspeise
Datsche Wochenendhaus Zwetschgenkuchen Streichinstrument Sommerfrische
Samowar Teemaschine Kohlenpfanne Kacheloffen Taschenlampe
Slibowitz Obstschnaps Schnupftabak Schaffskäse Sauermilch
Trabant Gefolgsmann Gebälkträger Herrenreiter Arbeitstier
Troika Dreigespann Gleichgewicht Geheimvertrag Schlaginstrument
Zander Speisefisch Schiffsflagge Landmaschine Apfelwein
EBIT Jahresgewinn Zahlungssystem Jahresumsatz Rentabilität
Flatrate Pauschaltarif Wohnungsmiete Erdgeschoss Preisnachlass
Hokkaido Kürbissorte Heilmethode Blumensteckkunst Bogenschießen
Rally Kursanstieg Sumpfhuhn Kraftfahrzeugsport Schnitzeljagd
Retrolook Modestil Rückspiegel Erinnerungsbild Kunstausstellung
Stent Kranzgefäßstütze Herzschrittmacher Blutbahnumleitung Hohlnadel
Timer Zeitschaltuhr Kapellmeister Nachrichtensprecher Kontrolleur
trendig topaktuell unauffällig ausgefallen zukunftweisend
Womanizer Schürzenjäger Hausmann Pantoffelheld Frauenfeind
ambitioniert ehrgeizig großzügig überheblich widersprüchlich
Charisma Ausstrahlung Aufrichtigkeit Umgänglichkeit Scharfsinn
flexibel anpassungsfähig temperamentvoll wankelmütig starrsinnig
Inspiration Eingebung Atemspende Sinnestäuschung Enthusiasmus
stoisch unerschütterlich lebensbejahend hitzköpfig wortkarg
Topografie Ortsbeschreibung Altertumskunde Röntgenbild Messtechnik
Adoleszenz Jugendalter Leidenschaft Selbstgefälligkeit Studienzeit
Affekt Erregung Ziererei Einfluss Wirkung
Antipathie Abneigung Schmerzbekämpfung Heilverfahren Misstrauen
Assoziation Gedankenverknüpfung Eingebung Aufmerksamkeit Verwechslung
Fanatismus Verbohrtheit Pflichttreue Entschlusskraft Begeisterung
Halluzination Sinnestäuschung Wunschvorstellung Vorahnung Erleuchtung
Phlegmatisch schwerfällig heißblütig empfindlich gleichmütig
Aktenwolf Papierzerreißmaschine Kleinigkeitskrämer Archivar Ablagebox
Bottleparty Spareinladung Flaschenpost Weinprobe Kinderkrippe
Büchsenspanner Gehilfe Komplize Einpeitscher Drogenhändler
Elchtest Bewährungsprobe Tempokontrolle Alkoholnachweis Genanalyse
Irokesenschnitt Haartracht Operationsmethode Betrugsmanöver Siegestrophäe
Schattenwirtschaft Schwarzarbeit Biergarten Heimindustrie Kleinhandel
Burleske Schwank Bauerntanz Maskerade Betrugsmanöver
Cartoon Bildergeschichte Taschenbuch Getränkepackung Kartoffelchip
Harlekin Bühnefigur Frisurenkünstler Zupfinstrument Schöntuer
Limerick Kurzgedicht Zitrusgewächs Glücksbringer Reklametrick
Pointe Schlusseffekt Richtungspfeil Maltechnik Nadelstrich
ambivalent zwiespältig milieubedingt oberflächlich schwankend
Duplizität Zweimaligkeit Zweierbeziehung Verdoppelung Nachahmung
effizient leistungsfähig offenkundig auffallend einflussreich
Kontext Zusammenhang Wettbewerb Anmerkung Schlussfolgerung
saturiert gesättigt bevorrechtigt wohlhabend bildungshungrig
Alki Alkoholiker Meeresvogel Getränkediscounter Batteriesorte
Azubi Lehrling Anwesenheitsnachweis Deckname Ausbilder
Chauvi Männlichkeitsapostel Pantoffelheld Brausenkopf Spießer
Knacki Gefängnisinsasse Computerpirat Geizkragen Problemlöser
Nicki Plüschpullover Empfangschef Jasager Troddelmütze
Profi Berufssportler Hochschullehrer Profitjäger Nutznießer
Affront Beleidigung Selbstbespiegelung Überraschung Zudringlichkeit
Charmeuse Wirkware Schmeichelkatze Plaudertasche Klosterlikör
Degout Widerwille Wohlbefinden Verbitterung Misstrauen
Marge Handelsspanne Firmenzeichen Lagerraum Preisnachlass
Parvenü Emporkömmling Bildungsprotz Hochstapler Nichtskönner
Trotteur Straßenschuh Tollpatsch Spaziergänger Weltenbummler
Bustier Wäschestück Reiseveranstalter Porträtbildhauer Sittenstrolch
Collage Klebebild Kunstsammlung Säulenreihe Staffelei
Desinformation Täuschungsmanöver Wissenslücke Nachrichtensperre Zeitungsente
fragil zerbrechlich wendig widerstandsfähig fraglich
illusorisch trügerisch anschaulich unverständlich unerklärlich
Kakophonie Missklang Durcheinander Unstimmigkeit Zerwürfnis
Lamento Gejammer Trauermarsch Mahnung Anklage
obligatorisch vorgeschrieben wahlfrei zweckmäßig überflüssig
obsolet veraltet geheimnisvoll undurchsichtig unentbehrlich
Querelen Streitigkeiten Erkundigungen Vorurteile Quertreibereien
Zertifikat Bescheinigung Nachbildung Gutachten Unterschrift
Bond Wertpapier Firmenpartnerschaft Warengutschein Kassenzettel
Bonität Kreditwürdigkeit Gewinnbeteiligung Sondervergütung Gutschrift
Cashflow Überschuss Barzahlung Zinstermin Jahresumsatz
DAX Aktienindex Wertpapierhandel Börsensaal Kursermittlung
Defizit Fehlbetrag Voranschlag Rechenfehler Warenschwund
Discounter Billiganbieter Großhändler Versender Leihhaus
Dividende Gewinnanteil Aktienkauf Zinszahlung Kursgewinn
Dumping Preisunterbietung Massenproduktion Verkaufsförderung Entsorgung
Fusion Zusammenschluss Ausgliederung Kreditspritze Anleihe
Limit Preisgrenze Zahlungsaufschub Schätzwert Patentschutz
Portfolio Wertpapierbestand Geheimkonto Haushaltsplan Bilanz
Rendite Kapitalertrag Sparguthaben Zinsfuß Rückzahlung
Skonto Preisnachlass Spesenkonto Vorauszahlung Rückbuchung
Aureole Strahlenkranz Goldborte Luftspiegelung Morgenröte
Barbarazweig Blütenwunder Tannengrün Nikolausrute Friedenszeichen
Kandelaber Armleuchter Säulenschaft Stövchen Lichterkette
Komet Schweifstern Sternschnuppe Kugelblitz Erdtrabant
Kontemplation Beschaulichkeit Betriebsamkeit Zerstreuung Langeweile
Oratorium Musikwerk Zahlungsaufschub Spendensammlung Bittgebet
Panettone Früchtekuchen Filzpantoffel Hosenrock Hirtenflöte
Printe Pfefferkuchenart Flüssigkeitsmaß Buchstabenspiel Wunschzettel
Quempas Wechselgesang Krippenspiel Rauschgoldengel Orgelmusik
Referendum Volksbefragung Gutachten Ausbildungszeit Rückzugsort
Sondierung Erkundigung Beruhigung Umkehrung Abfallverwertung
Duxelles Würzmischung Fürstin Frauenzeitschrift Faltenrock
indifferent gleichgültig anders fehlerhaft abhängig
prekär schwierig anwesend pünktlich wertvoll
akribisch sorgfältig landwirtschaftlich angepasst spitzfindig
fatal verhängnisvoll tödlich albern überdrüssig
Agility Hundesport Aufwärmgymnastik Sackhüpfen Formationstanz
Animosität Feindseligkeit Empfindlichkeit Seelenwanderung Ermunterung
Feature Dokumentarbericht Schicksal Börsenkurs Füllung
implementieren durchführen eindringen einbeziehen verpflanzen
Amerikaner Feingebäck Cowboyhut Wirtschaftszeitung Hochhausvariante
Budapester Herrenschuh Krawattenmuster Husarenuniform Wurstgulasch
Engländer Werkzeug Kaschmirpulli Klappfahrrad Vanillepudding
Schweizer Melker Bankdirektor Großbauer Reserveoffizier
Inventur Bestandsaufnahme Inneneinrichtung Empfindsamkeit Erfindung
Mensur Zweikampf Maßstab Mondfase Kantine
Nomenklatur Begriffsverzeichnis Nonnenkloster Erinnerung Ordensverleihung
Positur Haltung Sockel Besitz Forderung
Prozedur Vorgang Gerichtsverfahren Vorbild Demonstration
Registratur Aktenlager Kasse Katalog Vormundschaft
Remedur Heilung Käsesorte Zurückweisung Entlassung
Signatur Unterschrift Stromzähler Steckbrief Dokumentenmappe
Agenda Tagesordnung Spionin Maklerbüro Leibwächterin
Ethnie Volksstamm Sittsamkeit Klosterhof Kreisausschnitt
Fluktuation Schwankung Flugfähigkeit Schwimmbewegung Untergang
Konvolut Sammelmappe Vulkanausbruch Zuckung Internat
Pusher Drogenhändler Antreiber Anstoß Spielsüchtiger
Quorum Mindestanzahl Rechenaufgabe Anteil Wahlurne
tough tüchtig raschelnd frech leichtfüßig
Morgenstreich Fastnachtsauftrag Absacker Zahlungsfrist Lausbubenscherz
Daytrader Börsenspekulant Müßiggänger Schichtarbeiter Träumer
Gelbsperre Spielverbot Ampelphase Farbfilter Leberkrankheit
Kita Kindertagesstätte Kopfbedeckung Tragkorb Kirchentag
Migrant Abwanderer Wahrsager Messinstrument Zapfstelle
Ranger Landschaftspfleger Eisenbahner Treckerfahrer Schlägertyp
Sprayer Graffitimaler Kammerjäger Duschkopf Springbrunnen
