word	age of acquisition	concreteness
aanhalingsteken	9.78	3.73
aanhang	10.60	2.07
aanhangen	9.44	2.80
aanhanger	11.39	2.57
aanhangig	10.69	2.23
aanhangsel	9.90	2.67
aanhangwagen	9.00	4.67
aanhankelijk	10.71	2.27
aanhebben	7.06	3.00
aanhef	11.45	2.60
aanheffen	12.44	2.13
aanhikken	11.60	2.11
aanhoren	8.56	2.80
aanhorig	12.81	1.85
aanhouden	9.44	2.53
aanhoudend	10.61	1.87
aanhouder	10.44	2.53
aanhouding	10.74	3.00
aanjagen	9.63	2.14
aankaarten	11.50	2.13
aankijken	7.06	3.33
aanklacht	11.20	2.27
aanklagen	11.33	2.27
aanklager	11.83	2.73
aanklampen	10.22	3.47
aankleden	5.70	3.53
aanklikken	9.44	4.00
aankloppen	8.06	3.73
aanknopen	9.22	2.60
aankoeken	10.25	3.27
aankomen	8.50	2.73
aankomend	9.67	2.00
aankomst	7.94	3.07
aankondigen	8.70	3.00
aankondiging	9.00	2.20
aankoop	8.89	3.00
aankopen	8.83	2.73
aankruisen	7.85	3.93
aankunnen	9.17	2.13
aanleg	9.88	1.80
aanleggen	10.56	2.87
aanleiding	9.60	1.87
aanlengen	10.61	2.73
aanleren	7.82	2.33
aanleunen	9.53	3.33
aanloggen	13.25	2.50
aanlokkelijk	10.28	1.73
aanloop	7.28	2.87
aanlopen	8.17	3.13
aanmaak	9.50	2.62
aanmaken	8.35	3.13
aanmanen	12.00	2.64
aanmaning	12.06	2.43
aanmatigen	11.13	2.17
aanmatigend	13.15	2.00
aanmelden	10.83	2.67
aanmelding	10.71	2.40
aanmeren	10.06	3.50
aanmerkelijk	11.29	1.50
aanmerken	10.22	2.47
aanmerking	11.11	1.43
aanmodderen	10.59	2.27
aanmoedigen	8.45	2.87
aanmoedigend	9.67	2.60
aanmoediging	9.78	2.67
aanmonsteren	12.18	1.67
aannaaien	8.74	3.36
aanname	11.28	1.67
aannemelijk	11.67	1.27
aannemen	8.94	2.13
aannemer	11.80	3.07
aanpak	9.56	2.33
aanpakken	9.33	2.47
aanpalend	11.13	2.69
aanpappen	11.00	2.53
aanpassen	8.50	2.33
aanpassing	10.22	2.33
aanplakbiljet	11.22	3.93
aanplant	10.93	3.25
aanplanten	9.83	3.07
aanporren	10.67	3.53
aanpoten	11.13	2.58
aanpraten	10.20	2.00
aanprijzen	10.50	2.33
aanraden	10.06	2.33
aanrader	9.50	2.27
aanraken	6.60	3.73
aanraking	8.33	4.00
aanranden	11.50	3.27
aanrander	12.00	3.07
aanranding	12.00	2.53
aanrecht	7.89	4.40
aanreiken	9.17	3.47
aanrekenen	9.28	2.33
aanrennen	8.29	2.87
aanrichten	9.56	2.33
aanrijden	9.28	3.43
aanrijding	8.44	4.07
aanroepen	10.05	2.57
aanroeren	10.88	2.64
aanrommelen	11.13	2.21
aanrukken	10.19	2.67
aanschaf	10.15	2.07
aanschaffen	9.78	2.27
aanscherpen	10.76	3.33
aanschieten	10.56	2.43
aanschijn	11.50	1.60
aanschouwen	10.89	2.53
aanschrijven	12.06	2.92
aanschuiven	7.33	3.27
aansjouwen	11.31	3.08
aanslaan	9.39	2.20
aanslepen	10.67	1.93
aanslibben	10.69	3.07
aansluiten	7.95	2.73
aansluiting	10.11	2.73
aansmeren	10.67	2.33
aansnijden	10.06	3.67
aanspannen	8.25	2.93
aanspoelen	8.78	3.13
aansporen	10.06	2.67
aansporing	11.06	2.07
aanspraak	11.16	1.73
aansprakelijk	12.67	1.60
aanspreken	8.06	3.47
aanstaan	8.89	2.20
aanstaand	10.70	1.40
aanstaande	10.33	2.13
aanstaren	8.56	3.87
aanstekelijk	9.89	2.07
aansteken	7.15	3.80
aansteker	8.00	4.73
aanstellen	10.17	2.33
aansteller	9.17	2.13
aanstellerig	9.50	1.67
aanstellerij	9.16	2.00
aanstelling	11.06	1.93
aansterken	10.44	2.13
aanstichten	10.64	2.08
aanstichter	10.89	2.36
aanstippen	8.33	3.47
aanstoken	10.61	2.87
aanstoker	10.12	2.86
aanstonds	12.40	1.54
aanstootgevend	12.11	2.00
aanstormen	9.44	3.20
aanstoten	10.67	3.00
aanstranden	10.71	3.07
aanstrepen	9.33	3.53
aansturen	10.78	2.47
aantal	6.89	1.47
aantasten	9.60	2.47
aantekenen	11.29	2.67
aantekening	11.44	3.53
aantijgen	11.60	1.85
aantijging	13.06	2.27
aantikken	7.28	3.60
aantocht	9.61	2.71
aantonen	9.22	2.40
aantreden	10.84	2.67
aantreffen	10.39	2.13
aantrekken	8.17	2.47
aantrekking	10.44	1.93
aanvaardbaar	9.10	1.93
aanvaarden	8.50	2.20
aanvaarding	10.72	1.87
aanvaller	8.67	3.27
aanvallig	11.07	2.31
aanvalsteam	10.24	2.80
aanvang	9.61	1.93
aanvangen	9.56	1.93
aanvankelijk	10.44	1.47
aanvaring	12.05	2.47
aanvatten	10.00	2.40
aanvechtbaar	12.22	1.73
aanvechten	11.00	2.27
aanvechting	11.89	1.93
aanvegen	10.38	2.62
aanverwant	12.11	2.20
aanvinken	9.78	3.73
aanvliegen	10.05	2.93
aanvoelen	8.61	2.13
aanvoer	10.82	2.60
aanvoerder	9.67	2.80
aanvoeren	9.95	2.40
aanvoerster	11.00	3.33
aanvraag	11.50	2.67
aanvragen	8.44	2.47
aanvrager	10.37	2.67
aanvreten	11.28	2.93
aanvullen	8.67	3.20
aanvullend	10.44	1.93
aanvulling	9.17	2.67
aanvuren	10.35	3.07
aanwaaien	9.61	2.33
aanwakkeren	11.06	2.53
aanwas	10.78	2.50
aanwenden	11.60	1.93
aanwensel	13.00	1.92
aanwerven	12.33	2.80
aanwezig	7.44	2.33
aanwezige	7.75	2.67
aanwezigheid	8.28	2.60
aanwijzen	7.24	3.73
aanwijzing	8.89	2.60
aanwrijven	9.42	2.67
aanzegger	12.00	1.78
aanzet	10.67	2.00
aanzetten	8.11	3.00
aanzicht	9.35	2.60
aanzitten	10.06	3.20
aanzoek	10.39	2.60
aanzuiveren	11.65	2.00
aanzwengelen	11.63	3.14
aapmens	8.53	4.27
aar	11.40	3.63
aardappel	5.83	4.93
aardappelen	5.67	4.93
aardappelpuree	6.60	4.80
aardbeien	6.06	4.93
aardbewoner	9.61	3.60
aardbodem	9.06	3.53
aardbol	7.70	4.33
aarden	12.06	2.27
aardewerk	10.33	4.07
aardgas	11.06	3.80
aardig	7.32	2.47
aardigheid	9.33	2.33
aardigheidje	10.39	1.73
aarding	12.45	2.80
aardkorst	10.94	3.53
aardlaag	11.30	3.79
aardnoot	12.54	4.57
aardolie	10.83	3.93
aardrijk	12.25	2.00
aardrijkskunde	9.85	2.36
aards	9.50	2.07
aardschok	11.11	4.13
aardstralen	12.44	2.00
aardvarken	11.21	4.67
aartsengel	9.47	1.93
aartsrivaal	10.94	2.27
aartsvijand	9.33	2.67
aarzelen	8.50	2.40
aarzelend	9.50	2.60
aarzeling	10.22	2.53
aaseter	10.53	3.33
aasgier	10.85	3.36
abacadabra	5.28	1.33
abattoir	14.67	3.56
abces	13.00	4.00
abdicatie	15.57	1.80
abdij	9.39	4.60
abdis	13.69	2.75
abdomen	15.42	3.56
abdominaal	15.88	1.92
abeel	13.50	3.83
aberrant	15.63	2.00
aberratie	14.63	2.38
abject	13.50	3.00
ablatief	12.80	1.88
abnormaal	10.44	1.93
abolitie	15.80	1.86
abominabel	14.35	1.36
abonnee	10.22	3.00
abonnement	9.78	3.07
abonneren	9.83	1.93
aborteren	12.90	2.87
aborteur	14.18	2.92
abortus	12.11	3.00
abracadabra	5.17	1.40
abri	13.14	4.20
abrikoos	7.39	4.93
abrupt	11.89	2.07
abscis	13.33	3.30
absent	13.05	2.00
absentie	13.18	1.71
absint	13.71	4.50
absolutie	12.83	1.36
absolutisme	14.30	1.36
absoluut	8.28	1.33
absorberen	11.33	3.47
absorptie	11.72	2.93
abstinentie	14.60	2.22
abstract	12.61	1.07
abstractie	12.94	1.13
abstraheren	15.00	1.53
absurdistisch	14.19	1.43
absurditeit	12.78	1.47
abuis	11.86	1.78
abusievelijk	14.83	1.78
acacia	12.25	4.30
academicus	14.00	3.21
academie	9.67	3.20
academisch	13.33	1.93
acajou	12.50	4.27
acceleratie	14.00	2.92
accelereren	14.76	3.20
accentueren	12.78	2.60
acceptabel	10.67	1.67
acceptatie	11.28	1.87
accepteren	10.11	2.33
accessoire	10.72	3.27
accessoires	10.00	3.47
accident	9.40	4.13
accijns	13.28	2.50
acclamatie	15.56	2.29
acclimatisatie	13.19	1.64
acclimatiseren	13.20	2.21
accolade	10.12	4.07
accommodatie	12.50	2.40
accommoderen	12.94	2.00
accordeon	7.85	4.80
accorderen	13.92	1.90
accountant	13.89	3.07
accreditatie	14.36	1.70
accrediteren	14.75	2.00
accu	10.89	4.13
acculturatie	14.92	1.36
accumulatie	14.12	2.50
accumuleren	13.17	2.14
accuraat	12.15	1.60
accuratesse	13.73	2.00
accusatief	12.27	1.36
ace	10.77	3.42
aceton	14.00	3.50
ach	6.72	1.43
achilleshiel	11.76	3.33
achillespees	11.11	4.40
acht	5.00	3.20
achtarmig	9.28	4.00
achtbaan	8.89	4.73
achtbaar	11.60	1.53
achteloos	12.00	1.53
achter	5.78	2.33
achteraan	7.44	3.00
achteraf	7.72	1.60
achterbak	8.58	4.21
achterbaks	9.44	2.00
achterban	11.75	1.87
achterbank	7.61	4.53
achterblijven	7.95	3.47
achterbuurt	10.44	3.20
achterdek	11.00	4.00
achterdeur	6.67	4.33
achterdocht	10.50	1.67
achterdochtig	11.17	1.80
achtereen	8.33	1.93
achtereenvolgens	9.28	1.67
achtereind	10.00	2.60
achteren	7.56	2.42
achtergrond	9.28	3.20
achterhaald	11.17	1.79
achterhalen	10.20	2.27
achterheen	8.94	1.67
achterhoede	11.94	2.53
achterhoofd	8.33	4.47
achterhouden	9.55	2.27
achterhuis	10.56	3.93
achterin	7.39	2.47
achteringang	8.89	3.93
achterkamer	9.25	3.73
achterkant	6.61	3.07
achterklap	11.53	2.29
achterkomen	8.39	2.13
achterland	10.39	2.92
achterlangs	8.88	2.00
achterlaten	7.89	2.87
achterlicht	8.11	4.53
achterligger	8.67	3.79
achterlijf	9.05	4.07
achterlijk	8.72	1.67
achterlopen	8.72	2.47
achterna	7.56	2.20
achternaam	6.58	2.80
achternazitten	8.39	3.47
achterneef	8.94	2.53
achternicht	9.06	2.60
achterom	7.30	1.87
achterop	7.33	2.53
achterover	7.89	2.80
achterpoot	7.22	4.40
achterruit	6.65	3.93
achterschip	11.79	4.00
achterstallig	12.35	1.73
achterstand	9.72	2.20
achterste	7.00	3.20
achterstellen	10.05	2.27
achtersteven	11.69	3.00
achterstevoren	8.11	2.80
achtertuin	6.72	4.40
achteruit	5.95	3.33
achteruitgang	9.33	2.93
achtervoegsel	10.78	1.87
achtervolgen	7.56	3.13
achtervolger	8.05	3.33
achtervolging	8.06	3.27
achterwaarts	8.44	3.27
achterwege	9.50	1.73
achterwerk	7.16	4.47
achterwiel	7.00	4.87
achterzak	8.33	4.47
achterzijde	8.44	3.80
achting	10.95	1.36
achtste	6.28	3.27
achttien	6.06	3.20
achttiende	7.28	2.73
acoliet	13.80	3.00
acquisitie	15.00	1.69
acrobaat	8.11	4.07
acrobate	8.83	3.73
acrobatiek	9.50	3.20
acrobatisch	9.28	3.07
acroniem	14.06	1.93
acrostichon	13.63	1.00
acteerwerk	10.22	3.07
acteren	7.84	3.00
acteur	7.78	3.20
actie	9.11	2.33
actiefilm	9.17	3.80
actiegroep	11.05	2.93
actiepunt	12.00	2.40
actieradius	14.36	2.09
actievoeren	11.00	2.67
activa	13.41	1.82
activatie	10.60	2.00
activeren	10.00	2.40
activering	11.61	2.60
activisme	12.83	1.64
activist	12.20	2.93
activiteit	8.06	2.20
actor	12.82	2.93
actrice	8.39	3.80
actualiseren	11.61	1.93
actualiteit	10.90	1.87
actueel	10.50	2.00
acupunctuur	12.56	4.14
adagio	15.00	2.43
adagium	14.00	2.00
adamsappel	9.83	4.47
adamskostuum	11.56	3.79
adaptatie	13.00	1.71
adapter	12.30	4.47
adaptief	14.33	1.64
addendum	14.36	2.75
additief	12.61	1.67
additioneel	13.15	1.93
adelborst	12.09	2.20
adelbrief	12.50	2.73
adellijk	10.89	1.87
adelstand	11.53	2.00
adembenemend	9.72	1.87
ademen	6.72	3.80
ademhalen	6.83	4.13
ademhaling	8.40	3.60
ademloos	9.17	2.87
ademnood	10.00	3.20
adempauze	9.39	3.07
ademtest	10.35	4.40
ademtocht	11.38	3.18
adept	13.82	1.90
adequaat	13.28	1.60
aderlaten	12.94	3.67
aderlating	13.24	3.08
adhesie	14.44	1.92
adieu	10.06	1.50
adios	10.05	1.83
adjectief	10.83	1.47
adjudant	12.22	2.62
adjunct	12.82	2.40
administrateur	11.37	2.73
administratie	10.95	2.20
administratief	11.78	1.80
admiraal	10.94	3.00
adolescent	12.17	3.33
adolescentie	11.70	1.73
adonis	13.65	3.00
adopteren	9.83	2.40
adoptie	10.17	2.20
adoptief	13.41	2.00
adorabel	12.00	1.67
adoratie	12.72	1.93
adoreren	12.28	2.27
adrenaline	12.58	3.27
adresboek	8.67	4.53
adresseren	11.17	2.87
advent	8.50	3.07
adverbiaal	15.25	1.44
adverbium	13.45	1.67
adverteerder	12.39	3.27
advertentie	10.28	3.60
adverteren	10.65	2.53
adviseren	10.56	1.87
adviseur	11.83	3.00
advocate	10.22	3.53
advocatuur	12.61	1.67
aerobic	10.05	4.27
aerobics	9.61	3.47
aerodynamisch	12.39	2.53
af	5.11	1.47
afasie	17.63	1.13
afatisch	17.17	1.50
afbakenen	10.44	3.27
afbakening	10.67	3.27
afbeelden	9.10	2.93
afbeelding	6.72	4.27
afbellen	9.22	2.73
afbetalen	10.00	2.27
afbetaling	10.80	2.33
afbeulen	10.11	2.93
afbieden	12.06	2.93
afbijten	7.28	3.53
afbladderen	10.20	3.13
afblaffen	9.90	3.13
afblazen	9.44	1.93
afblijven	6.78	2.93
afbollen	9.94	2.80
afbouwen	9.20	2.67
afbraak	8.22	3.80
afbranden	8.78	3.93
afbrengen	9.28	2.07
afbreuk	10.55	1.53
afbrokkelen	8.28	3.67
afdak	7.50	4.53
afdalen	8.44	3.80
afdaling	8.15	3.47
afdammen	11.07	2.69
afdanken	10.50	2.53
afdankertje	9.88	2.20
afdekken	8.44	3.67
afdeling	9.70	2.67
afdingen	11.56	2.67
afdoen	8.78	2.73
afdoend	11.61	1.60
afdokken	10.56	2.40
afdraaien	8.56	3.43
afdracht	12.36	2.45
afdragen	9.44	3.07
afdrijven	9.65	3.27
afdrogen	6.28	3.87
afdruipen	11.50	2.87
afdruiprek	9.47	4.71
afdruk	8.60	4.00
afdrukken	9.11	3.53
afdwalen	10.00	2.47
afdwingen	10.33	2.40
affaire	11.65	1.93
affect	13.63	1.79
affectie	11.94	2.87
affectief	12.71	1.67
affectiviteit	12.72	1.60
affiche	8.85	4.40
afficheren	11.50	3.47
affiliatie	15.56	1.25
affiniteit	13.17	1.71
affirmatief	13.50	2.15
affirmeren	14.74	1.92
affix	15.00	3.00
affluiten	10.94	3.47
affreus	12.17	2.56
affront	11.47	2.31
afgaan	8.53	2.33
afgang	9.39	1.53
afgedragen	9.78	2.67
afgeladen	10.78	2.71
afgelasten	10.67	2.43
afgeleefd	11.06	2.40
afgelegen	8.61	2.60
afgeleide	12.61	1.87
afgelopen	8.00	2.27
afgemat	10.35	2.93
afgemeten	10.11	2.33
afgepeigerd	11.11	2.47
afgerond	9.78	2.40
afgeschreven	11.05	1.73
afgevaardigde	10.11	2.40
afgeven	7.67	3.67
afgewerkt	8.78	2.53
afgezaagd	9.10	2.20
afgezant	12.07	2.77
afgieten	9.33	3.47
afgietsel	10.53	3.86
afgifte	11.17	2.47
afglijden	6.95	3.47
afgod	11.53	2.00
afgoderij	11.88	1.57
afgooien	8.50	3.00
afgrendelen	10.00	2.86
afgrijselijk	9.72	2.00
afgrijzen	10.73	2.00
afgrond	9.50	4.07
afgunstig	11.05	1.47
afhaken	9.78	2.40
afhakken	9.11	4.07
afhalen	8.00	3.00
afhandelen	9.55	2.00
afhandig	12.33	1.73
afhangen	10.50	2.67
afhaspelen	12.15	2.75
afhellen	9.95	3.47
afhelpen	10.22	2.43
afhouden	10.17	2.40
afjakkeren	11.91	2.43
afkalven	12.25	3.29
afkammen	10.44	2.38
afkappen	9.72	3.60
afketsen	9.71	3.00
afkeur	8.70	1.73
afkeuren	9.44	2.27
afkeuring	10.65	2.20
afkicken	11.39	2.60
afkijken	7.20	3.67
afkloppen	9.44	3.33
afknallen	10.28	3.47
afknappen	10.78	2.60
afknapper	10.75	1.80
afknijpen	9.00	3.27
afknippen	7.44	3.93
afkoelen	8.11	3.27
afkolven	12.70	3.40
afkomen	8.00	2.53
afkomst	10.11	1.80
afkomstig	9.83	1.40
afkondigen	10.35	2.67
afkopen	9.83	2.20
afkorten	9.88	3.00
afkorting	9.22	3.20
afkraken	10.05	2.47
afkrijgen	8.56	2.07
afkuisen	6.82	3.73
aflaat	11.82	2.21
afladen	9.74	2.80
aflandig	12.62	2.14
aflassen	9.50	2.80
aflaten	11.06	2.60
afleggen	9.10	2.60
afleggertje	11.00	3.38
afleiden	9.39	2.47
afleiding	10.00	2.07
afleren	7.67	2.27
afleveren	9.55	3.13
aflevering	8.61	3.13
aflezen	8.22	3.47
aflikken	6.61	4.00
afloop	8.75	2.67
aflopen	8.83	2.40
aflossen	9.11	2.67
aflossing	9.94	2.47
afluisteren	7.75	3.60
afluizen	11.00	2.20
afmaaien	8.83	3.80
afmaken	9.06	2.80
afmatten	10.50	2.87
afmelden	10.85	2.73
afmeren	11.79	3.50
afmeting	9.94	2.87
afname	9.83	2.93
afnemen	7.95	2.80
afnemer	11.33	3.00
aforisme	14.00	1.13
afpakken	6.00	3.53
afpassen	11.18	2.87
afpeigeren	11.89	2.67
afpersen	11.28	2.40
afperser	10.61	2.93
afpersing	11.35	2.33
afpikken	9.18	3.08
afpoeieren	11.12	2.77
afprijzen	9.89	2.87
afraden	9.60	2.20
afraffelen	11.14	3.09
aframmelen	9.50	3.13
aframmeling	10.06	3.80
afranselen	10.80	3.40
afranseling	10.22	3.40
afrasteren	11.33	3.00
afrastering	11.13	3.23
afratelen	9.56	3.57
afreageren	8.50	2.73
afreis	9.88	2.58
afreizen	11.06	2.67
afrekenen	8.67	2.60
afrekening	10.55	2.13
afremmen	8.61	3.40
africhten	10.50	2.40
afrijden	9.94	3.33
afrit	9.00	4.20
afrodisiacum	14.33	2.57
afroepen	9.06	3.47
afromen	12.00	2.50
afronden	8.75	2.60
afronselen	10.83	3.00
afrossen	12.20	2.67
afruimen	7.89	3.87
afrukken	11.45	3.67
afschaffen	9.72	2.33
afschaffing	10.11	1.93
afscheiden	10.22	3.20
afscheiding	11.15	3.13
afscheidskus	6.72	3.73
afschepen	11.28	2.47
afscheren	9.39	4.07
afscheuren	6.25	3.53
afschieten	9.06	3.20
afschilderen	10.56	2.00
afschrapen	8.05	3.47
afschrift	11.28	3.53
afschrijven	9.85	2.40
afschrijving	12.82	2.64
afschrikken	8.88	3.13
afschrikwekkend	9.83	2.00
afschudden	9.20	3.40
afschuimen	11.00	2.53
afschuiven	9.39	2.73
afschuren	8.78	3.87
afschuwelijk	8.17	2.07
afslaan	8.90	2.67
afslachten	10.28	3.07
afslachting	10.72	2.64
afslag	9.50	3.00
afslanken	9.30	3.07
afsluiten	7.78	3.27
afsluiter	10.50	2.33
afsluiting	8.72	3.53
afsnauwen	10.25	3.13
afsnijden	7.61	3.60
afsnoepen	10.17	2.07
afspelen	7.83	3.00
afspiegelen	10.60	2.33
afspiegeling	11.67	2.64
afspoelen	8.28	4.13
afspraak	7.22	2.47
afspreken	7.45	2.80
afspringen	7.94	3.40
afstaan	9.35	2.73
afstammeling	10.33	2.60
afstammen	9.30	2.40
afstandelijk	10.50	2.20
afstap	8.83	2.85
afstapje	8.33	4.07
afstappen	7.10	3.73
afsteken	10.33	2.53
afstel	11.12	2.29
afstellen	9.56	3.13
afstemmen	9.70	2.00
afstempelen	9.33	3.67
afsterven	9.44	2.87
afstijgen	10.06	3.64
afstoffen	7.70	3.73
afstompen	11.44	2.60
afstotend	11.06	2.33
afstraffen	9.33	2.53
afstraffing	10.30	2.40
afstrijken	11.44	3.50
afstruinen	11.67	2.91
afstuderen	10.83	2.53
aft	10.72	4.43
aftaaien	11.71	2.60
aftakelen	10.22	2.53
aftakeling	11.06	2.93
aftakken	10.07	3.60
aftakking	11.65	2.67
aftands	12.00	1.86
aftappen	11.17	3.20
aftasten	10.28	2.87
aftekenen	10.40	3.33
aftellen	6.83	3.07
aftelling	9.22	3.13
aftelrijmpje	7.94	3.43
aftelsom	8.93	3.13
aftelversje	8.00	3.20
aftershave	11.00	4.47
aftiteling	10.44	3.80
aftocht	10.20	3.13
aftrap	8.78	3.67
aftrappen	10.11	3.27
aftreden	10.00	2.53
aftrek	9.74	2.50
aftrekbaar	10.50	1.93
aftrekken	9.06	3.67
aftrekker	9.17	4.00
aftreksel	11.10	3.20
aftroeven	10.94	2.23
aftroggelen	11.28	2.47
aftuigen	10.65	3.40
afvaardigen	11.70	1.80
afvaart	10.28	3.43
afvalbak	7.00	4.80
afvallen	8.83	3.27
afvallig	12.37	2.08
afvallige	11.14	2.14
afvalstof	10.28	3.47
afvegen	6.24	4.00
afvinken	9.78	3.71
afvloeien	10.89	2.60
afvoer	8.83	3.67
afvoerbuis	10.17	4.33
afvoeren	9.44	3.20
afvoerpijp	9.70	4.40
afvragen	7.89	2.53
afvuren	9.56	3.73
afwas	6.61	4.07
afwasbaar	8.85	3.33
afwasbak	6.83	4.60
afwasborstel	8.28	4.60
afwasmachine	8.00	4.80
afwassen	6.45	4.20
afwatering	11.83	3.54
afweer	11.50	2.33
afwegen	9.67	3.00
afwenden	10.55	2.20
afwentelen	11.63	2.20
afweren	10.94	3.00
afwerken	8.33	2.80
afwerking	8.90	2.60
afwerpen	9.33	2.93
afweten	10.72	1.73
afwezig	7.28	2.00
afwezigheid	8.65	2.53
afwijken	9.78	2.53
afwijkend	10.71	1.80
afwijking	9.72	2.13
afwijzing	9.55	2.07
afwikkelen	9.67	3.21
afwimpelen	10.94	3.13
afwisselen	8.67	2.67
afwisselend	8.35	2.07
afwisseling	9.11	2.29
afzagen	9.17	3.67
afzakken	8.61	3.20
afzakkertje	12.59	2.33
afzeggen	9.00	2.80
afzeiken	11.82	2.00
afzender	9.56	2.93
afzet	10.95	2.07
afzetgebied	12.28	1.71
afzetten	9.83	2.80
afzetter	10.78	2.33
afzetterij	10.35	1.87
afzetting	10.61	2.87
afzichtelijk	11.67	2.13
afzien	9.06	2.33
afzienbaar	11.65	1.33
afzijdig	10.67	1.67
afzoeken	9.17	2.27
afzonderen	9.61	3.40
afzondering	9.90	2.20
afzonderlijk	9.17	2.40
afzuigen	11.17	3.33
afzuigkap	10.59	4.33
afzwaaien	10.59	2.53
afzwakken	9.89	2.20
afzweren	11.50	1.87
agaat	14.00	3.60
agave	13.22	3.63
agenda	6.44	4.00
agenderen	13.43	2.09
agens	14.45	2.50
agent	6.53	4.27
agente	7.06	4.07
ageren	14.79	2.08
agglomeratie	14.19	2.29
aggregaat	15.06	2.85
aggregatie	14.82	2.43
aggregeren	14.56	2.29
agitatie	13.44	2.46
agitator	15.53	1.80
agiteren	14.44	2.00
agnost	15.29	2.00
agnosticisme	14.87	1.23
agnosticus	15.38	2.00
agnostisch	15.00	1.25
agogiek	16.31	1.73
agogisch	15.23	1.27
agonie	13.55	2.09
agoog	16.69	2.60
agorafobie	14.00	1.67
agrariër	12.94	3.45
agrarisch	12.17	2.17
agressiviteit	9.40	2.80
agressor	13.67	2.07
agricultuur	12.72	3.00
aha	5.47	1.38
ahorn	14.62	4.88
ai	3.19	1.50
aikido	12.75	3.56
aimabel	13.36	1.67
air	11.33	2.29
airbag	10.45	4.40
ajuin	6.11	4.87
akela	12.63	2.83
akelei	15.50	4.00
akelig	7.60	2.00
akkefietje	10.89	1.93
akkerbouw	10.33	3.33
akkevietje	10.71	1.86
akoestiek	11.44	2.40
akoestisch	11.95	3.47
aktetas	9.83	4.27
al	6.06	1.27
alaam	11.00	4.50
alarmbel	8.05	4.53
alarmeren	9.28	2.93
alarmerend	10.61	1.93
alarmfase	10.00	2.13
alarmnummer	8.55	3.47
alarmsysteem	8.50	3.80
albast	15.08	3.17
albatros	11.40	4.00
albinisme	11.80	3.00
albino	10.78	4.13
alchemie	13.53	1.92
alchemist	12.33	2.67
alchimist	14.35	3.08
alcohol	8.56	4.33
alcoholicus	11.50	3.33
alcoholisch	9.50	2.67
alcoholisme	11.05	2.47
alcoholist	10.44	3.20
alcoholvrij	10.67	3.33
aldaar	9.60	1.43
aldoor	9.60	1.14
aldus	9.78	1.57
aleer	10.12	1.31
alfa	12.11	2.86
alfabet	6.25	3.27
alfabetisch	6.94	2.47
alfanumeriek	14.07	2.21
alg	9.87	4.69
algauw	9.05	1.53
alge	10.82	4.80
algebra	11.61	2.40
algebraïsch	12.33	2.33
algeheel	10.28	1.47
algemeen	9.16	1.60
algen	10.67	4.53
algoritme	14.00	2.07
alhier	8.93	1.31
alhoewel	9.35	1.13
alias	12.17	1.60
alibi	11.06	1.93
aliënatie	13.43	1.22
aligneren	12.85	2.55
alikruik	10.00	4.67
alimentatie	13.06	2.43
alinea	10.06	3.87
