word	arousal	valence	dominance	concreteness	imageability	familiarity	age of acquisition	semantic size	gender association
acorn	4.364	5.742	5.5	6.724	6.517	4.484	3.061	1.879	3.714
acquire	4.419	6.257	5.939	3.059	2.657	5.121	5.829	4.086	4.161
acrobat	5.182	6.031	5.129	5.875	6.032	4.455	4.177	3.618	3.531
activate	5.242	6.471	6.343	3.677	3.294	5.515	4.576	4.212	4.156
active	6.531	7	6.581	3.75	4.75	6.484	3.581	4.774	4.156
activity	6.086	6.629	6.286	3.97	4.677	5.75	3.4	4.429	4.03
actor	5.515	6.281	5.618	5.7	5.97	6.065	3.371	4.455	5.588
actress	5.719	5.939	5.121	6.031	6.576	5.846	3.412	4.147	1.303
actual	4.121	5.559	5.235	3.118	2.636	6.242	3.941	4.206	4.118
actually	4.294	5.543	5.177	2.677	2.2	6.235	3.824	4.029	3.088
acute	4.235	4.941	4.912	3.235	2.824	4.182	5.765	2.677	3.618
adage	3.118	5.222	5.222	3.588	2.235	2.088	6.136	3.647	4.053
adapt	4.188	6.086	5.8	3.114	3.029	5.324	4.743	4.2	3.824
add	4	5.647	5.618	4.286	3.943	6.265	2.353	3.714	4.114
addict	4.857	2.171	3.086	4.4	5	5.273	5.4	4.771	4.886
addicted	6.094	2.424	2.364	3.515	3.121	5.727	4.969	5.484	4.969
addition	3.4	5.457	5.629	3.677	3.382	5.412	3.371	4.314	3.8
address	3.206	5.382	5.364	5.059	4.343	5.839	3.371	3.912	4
address (postal)	3.546	5	5.114	5.581	4.559	6.094	3.059	3.471	4
address (speak to)	4	5.559	6.182	4.114	4.2	4.857	4.8	4.171	3.824
adequate	3.778	5.333	4.765	2.5	2.912	5.281	5.571	3.794	4.056
adjective	3.636	5.394	4.844	3.594	2.844	5.613	4.182	3.455	3.727
adjust	4.364	5.727	5.667	3.094	3	5.897	4.294	3.758	3.882
admiral	5.029	5.882	6.613	5.706	5.606	3.969	4.906	4.909	5.97
admire	6.294	7.625	5.875	2.71	3.75	6.1	4.667	4.625	3.088
admired	6.6	7.882	6.714	2.882	2.853	5.571	4.657	4.971	3.324
adopt	4.387	6.094	5.469	3.645	3.125	4.867	4.25	4.452	2.786
adorable	6.936	7.781	5.375	2.258	3.469	5.63	4.281	4.31	2.3
adore	6.516	8.226	5.516	2.344	3.344	5.179	4.219	4.936	2.69
adult	5.059	5.882	6.091	4.933	5.433	6.552	2.706	4.452	4.156
adultery	5.912	1.882	4.412	4.029	4.235	5	6.147	5.324	4.324
adults	4.559	5.543	5.629	5.457	6.257	6.546	2.314	4.571	4.343
advanced	5.382	6.606	6.118	2.765	3.088	6.094	4.882	5.088	4.031
advantage	6.531	7.303	7.194	2.879	2.719	5.893	4.727	5.258	4.69
adventure	7.853	7.971	7.313	2.912	4.743	5.576	2.941	6.118	4.794
adverb	2.938	5.094	5.235	3.314	2.529	5	4.647	3.147	4.03
adverse	4.371	3.091	3.636	2.455	2.529	4.743	5.765	4.765	4.353
adversity	4.8	3.774	4.3	2.484	2.567	4.161	6.226	5.167	4.5
advice	4.088	6.229	5.229	2.353	2.882	6.094	4.657	4.212	3
advise	4.182	6.441	5.813	3.697	2.788	5.677	4.571	4.323	3.25
advisor	3.364	6.029	5.147	5.353	4.235	5.281	5.441	4.061	4.171
advisors	3.606	6	4.774	4.71	4.625	5.781	5.677	4.71	4.032
aeroplane	4.914	5.941	4.529	6.706	6.824	6.25	2.343	5.882	5.114
afar	3.781	4.294	4.457	3	3.788	4.125	5.118	4.471	3.75
affair	5.969	2.438	4.441	3.394	4.424	5.688	5.618	4.758	4.235
affect	4.5	4.941	5.177	2.412	2.177	5.559	4.485	4.242	3.618
affection	6.824	8.177	5.588	3.118	4.6	5.882	4.706	5.441	1.771
affectionate	7.206	8	6.273	3.471	4.706	6.121	4.97	5.471	2.147
afford	4.853	5.879	5.2	3.576	3.364	5.706	4.314	4.273	4.457
affordable	4.774	6.8	4.857	3.2	3.171	5.971	4.771	3.588	3.941
afraid	5.514	2.206	2.706	2.686	4.588	6.094	2.6	5.265	3.353
after	4.382	5.143	4.576	3.314	2.743	5.781	2.257	3.971	4.059
afterlife	5	5.212	3.455	2.303	2.939	4.939	4.697	5.849	3.879
age	3.514	4.939	4.714	3.971	3.286	6.4	1.971	4.471	3.914
aged	2.857	3.879	3.849	3.441	4.371	5.485	4.371	4.424	4.429
agent	4.54	5.109	5.213	4.672	4.349	4.95	4.788	4.017	4.836
aggression	6.182	2.281	5.242	3.548	4.515	4.815	5.152	5.484	5.969
aggressive	6.455	2.094	5.909	3.03	4.094	5.533	4.636	5.226	6.033
agile	6.333	6.941	5.788	3.606	4.5	4.273	5.382	3.771	3.303
agility	5.939	6.778	6.543	3.515	3.657	4.781	5.333	4.206	4.086
agony	5.515	1.546	3.091	3.152	4.323	5.29	4.242	5.515	4.063
agree	5.382	7.382	6.794	3.118	3.333	6.781	3.118	4.727	3.647
agreement	5.531	7.714	5.485	3.171	3.727	5.906	4.647	4.879	3.5
aid	5.219	6.909	5.031	4.364	4.097	5.6	4.424	4.455	3.71
aim	4.794	6.606	6.829	2.677	2.941	5.909	3.857	4.206	4.265
aim (objective)	4.909	6.382	5.909	3.294	2.909	6.03	4.529	4.5	4.235
aim (target)	5.2	5.6	6.714	4.677	5.286	5.97	3.618	3.686	4.743
air	4.813	6.719	4.933	4.25	2.969	6.182	2.5	4.75	3.621
airplane	5.265	5.794	5.455	6.706	6.849	6.294	2.177	5.735	5.091
airport	5.767	5.387	5.531	6.5	6.581	5.63	3.094	5.719	4.407
aisle	3.613	5.226	4.71	5.719	5.438	4.867	4.531	3.781	3.345
albatross	4.148	5.127	5.29	6.453	5.576	2.879	5.554	4.206	4.678
album	4.031	5.767	5.323	5.936	5.633	5.692	3.936	2.875	4.148
alcohol	5.758	5.219	4.882	6.412	6.294	6.242	4.829	4.171	4.576
alcoholic	4.686	2	2.886	4.5	5.469	6	5.686	4.571	5.229
alert	6.625	5.719	6.194	3.182	3.387	5.231	4.406	4.966	4.308
algebra	2.323	3.839	3.871	4.394	5.182	5.4	5.636	4	4.625
alien	5.091	4.686	4.2	4.324	5.824	5.03	3.314	4.529	4.857
alimony	3.542	3.75	4.5	4.391	2.577	2.788	6.345	4.667	4.154
alive	6.758	8	7.121	4.333	4.788	5.906	2.667	5.714	3.455
all	3.625	5.469	5.419	3.313	2.969	6.645	1.807	5.839	4
allergy	3.629	2.912	2.765	4.882	4.343	5.333	3.971	4.059	4
alley	4.125	4.088	4.324	6.125	6.182	5	3.794	3.429	4.424
alligator	5.656	4.364	3.719	6.546	6.677	5.267	2.824	4.765	4.971
allow	4.088	6.206	5.727	2.971	2.412	6.129	2.824	4.059	3.882
allowed	4.706	6.571	4.914	2.971	2.6	6.2	3.059	4.727	3.914
allure	5.833	6	4.97	2.581	2.594	3.5	6.382	4.594	2.879
aloft	4.069	5.267	5.065	3.379	3.138	3.03	5.774	4	3.897
alone	3.824	2.714	4.265	3.371	4.4	6.03	2.743	4.029	3.886
aloof	4.4	4.2	5.097	2.138	3.172	3.382	5.767	3.467	4.063
aloud	5.457	5.314	5.857	3.8	3.486	5.484	3.429	4.886	3.941
altar	3.758	4.719	4.968	5.875	6	3.828	4.364	4.194	4.107
alter	4.727	5.242	4.719	3.906	4.219	4.571	4.333	4	3.5
altitude	5.061	5.152	5.606	4.03	3.818	4.813	5.364	5.697	4.871
amateur	3.824	4.147	3.657	3.229	3.086	5.029	5.6	3.029	4.286
amaze	6.529	7.5	6.364	2.353	2.771	5.882	4.257	5.353	3.206
amazing	7.147	8.406	6.824	2.781	2.781	6.344	3.143	5.765	3.324
ambassador	4.781	6.125	5.871	5.267	4.656	4.345	5.719	4.839	5.258
amber	4.933	5.733	4.645	5.188	5.129	4.724	4.438	3.387	2.857
ambition	6.879	7.686	7.559	2.294	3.429	5.849	5.029	6.114	4.485
ambulance	5.412	4.722	3.429	6.771	6.886	6.515	2.889	4.677	4.556
ammunition	5.818	2.849	6.188	5.97	5.871	5.03	5.485	4.909	5.781
amount	3.647	5.618	5.484	3.912	3.182	6.485	3.265	4.485	4.125
amphibian	4.086	5.412	5.235	6.364	6.03	4.032	4.727	3.353	4
amplifier	5.9	5.871	5.903	5.563	5.226	4.214	5.875	4.645	4.552
amplify	5.97	5.758	6.455	3.879	3.531	4.871	5.636	5.484	4.485
amputate	4.714	2.294	3.743	5.177	5.629	4.206	5.2	5.059	4.818
amuse	6.059	7.412	6	2.879	3.688	5.879	4.088	4.424	3.853
amusement	6.486	7.629	6.543	3.771	4.571	5.794	4.088	4.8	3.629
amusing	6.088	7.818	6.206	2.677	3.765	6.125	4.5	4.177	4.088
analogue	3.394	4.971	5.031	3.914	3.382	3.588	5.824	3.514	4.382
analyst	3.5	5.121	5.364	4.714	3.824	4.344	6.206	3.677	4.484
anchor	3.629	5.171	5.143	6.471	6.618	5.242	3.571	4.382	5.343
ancient	3.788	5.613	4.516	3.788	4.355	5.071	4.03	5.344	4.303
anecdote	5.206	6.088	5.546	3.265	3.257	4.343	6.457	3.441	4.088
angel	5.97	8.118	5.063	3.382	5.546	5.781	2.677	4.818	1.758
anger	5.636	2.529	4.618	3.647	4.758	6.235	2.794	5.515	4.914
angle	3.824	5.063	4.818	4.212	4.912	5.207	4.147	3.258	4.3
angry	5.906	2.394	5.419	3.613	5.394	6.516	2.267	4.774	5.344
anguish	4.771	2.457	3.788	2.559	3.629	3.735	5.943	4.857	3.857
animal	5.323	6.206	5.485	6.424	6.647	6.333	1.857	4.257	3.97
animals	5.807	6.939	5.576	6.406	6.706	6.613	1.794	4.588	3.824
animosity	6.484	2.613	4.484	2.219	2.677	3.613	6.406	4.833	4.036
ankle	3.807	5.152	5	6.733	6.724	6.346	2.774	2.484	3.621
annoy	4.618	2.647	5.382	2.5	3.353	5.909	3.059	4.029	4.485
annoyance	4.457	2.471	5	2.971	3.4	5.794	4.882	4.903	4.4
annoying	4.235	2.697	4.088	3.324	3.677	6.424	3.029	4.529	4.242
answer	4.4	6.057	5.8	3.941	4.031	6.344	2.829	4.382	3.909
ant	3.029	4.647	4.514	6.629	6.743	5.546	2	1.5	4.206
anteater	4.032	5.219	5.333	6.742	6.433	3.471	4	3.8	4.594
antelope	4.086	5.714	5.229	6.4	6.529	4.059	3.886	4.257	3.743
anthem	5.303	6.364	5.455	4.576	3.364	5.129	4.849	5.061	4.455
anthropology	4.063	5.419	5.344	2.968	2.438	3.143	6.594	5.094	4.375
anticipation	7.303	6.382	5	2.229	2.8	5.182	5.686	5.455	3.257
anus	4.03	4.156	5	5.906	5.484	4.636	5.8	2.853	4.656
anxiety	5.265	2.257	2.313	2.618	4.057	5.588	5.471	5.059	3.147
anxious	5.686	2.657	3.265	2.657	3.806	6	5.306	4.618	3.056
apathy	4.793	4.759	4.429	2	2.5	3.656	6.355	4.069	3.308
ape	4.677	5.121	5.03	6.576	6.647	5.546	2.794	4.849	5.618
apex	4.276	5.846	5.44	4.25	4.069	3.121	6.267	4.333	4.103
apologize	5	5.97	5.03	3.531	4.063	6.29	3.333	4.563	3.333
apology	4.5	6.088	5.371	3.059	3	5.939	3.242	4.706	3.265
appalling	5.364	2.059	4.235	2.412	2.939	5.091	5.294	5.242	4.177
appear	4.406	5.656	5.172	2.75	3.094	5.667	3.75	3.807	3.759
appearance	5.406	5.406	4.688	2.546	3.156	5.552	4.438	4.394	2.938
appeared	5.065	5.677	5.323	2.7	2.625	5.643	3.875	4.035	3.75
applause	6.686	7.8	6.686	5.6	5.914	6.03	3.629	5	3.914
apple	4.677	6.147	5.485	6.824	6.909	6.719	1.529	2.441	3.424
Apple (brand)	4.849	5.971	4.6	5.943	6.677	6.529	6	5.353	4.647
apple (fruit)	4.636	6.121	5.286	6.765	6.8	6.613	1.576	2.314	3.212
appliance	3.364	5.257	5.242	5.353	5.057	5.618	4.909	3.912	4.4
applied	3.758	5.839	5.742	2.727	2.188	5.069	5.469	4.194	4.156
apply	3.971	5.771	5.697	3.177	2.636	5.824	4.829	3.824	4.029
appoint	3.818	5.618	5.727	3.636	3.03	4.636	5.412	3.882	4.265
appointment	3.515	4.97	4.706	4.886	4	5.697	4	3.606	3.625
appreciate	5.75	7.813	6.161	3.344	3.939	6.281	4.531	5	2.938
approval	5.714	7.441	4.794	3.314	3.441	5.941	4.886	4.912	3.343
approve	5.061	6.939	6.546	3.097	3.206	5.719	4.4	4.294	3.606
apricot	4.188	5.939	5.121	6.5	6.697	5.677	3.206	2.441	3.206
apron	3.724	5.226	4.344	6.452	6.613	4.615	3.226	2.719	2
aptitude	4.5	5.939	6.118	2.818	2.03	4.03	6.382	4.688	4.455
arch	4.25	5.5	4.903	5.375	5.677	4.296	4.452	4.233	4.143
archaeology	3.529	5.353	5.412	4.829	4.114	4.485	6.029	5.235	4.943
archer	4.273	4.97	6.088	6.25	6.303	4.125	4.576	3.824	5.177
archery	4.677	5.758	6.206	5.706	6.03	4.344	4.857	3.824	4.6
architect	4.242	5.771	5.314	6	5.2	5.343	5.286	4.314	5.143
archive	3.571	5.4	5	5.429	4.371	4.4	5.657	4.912	4.057
argue	5.257	2.771	5.2	4.086	4.914	6.161	3.057	4.743	4.206
argument	6.313	2.394	5.25	3.788	3.909	6.419	3.939	5.182	4.727
arise	5.286	6	6.171	3.143	3.257	4.257	5.029	4.571	3.8
aristocracy	4.719	4.212	4.588	4.088	4.059	3.941	6.441	5.344	4.061
aristocratic	4.133	4.3	4.742	4.3	4.065	3.909	5.912	4.774	4.688
arm	3.735	5.471	5.774	6.727	6.571	6.546	1.457	3.171	4.265
arm (limb)	3.5	5.583	5.941	6.694	6.882	6.849	1.861	3.389	4.306
arm (weapon)	5.727	2.758	6.636	5.758	5.563	4.5	5.242	4.939	5.909
armadillo	4.029	5.424	4.939	6.559	6.061	4.647	4.706	3.364	4.529
armed	6.254	3.029	5.923	4.746	5.108	4.754	4.536	5.092	5.892
armour	4.5	5.546	6.031	6.273	6.613	4.719	4.147	4.364	5.941
armoury	4.719	4.375	5.636	5.788	5.031	3.324	5.576	4.906	5.879
arms	4.364	5.546	5.636	6.647	6.485	6.469	2.206	3.758	4.912
arms (limbs)	3.857	6.086	6.5	6.743	6.6	6.818	1.8	3.6	4.257
arms (weapons)	5.706	2.059	4.147	6.235	6.294	4.788	5.5	5.441	5.912
army	5.712	3.91	4.424	6.103	6.266	5.417	3.597	6.149	6.328
aroma	5.531	6.576	5.235	3.514	3.588	4.706	5.029	3.412	2.75
arouse	7.688	7.156	6.5	2.879	3.333	5.037	6	4.625	4
aroused	7.943	7.265	5.667	2.677	4.147	5.758	6.171	4.941	4.229
array	4	5.75	5.161	2.97	2.938	4.179	6.125	4.581	3.636
arrest	4.206	2.457	4.057	4.765	5.4	5.576	4.235	4.886	5.364
arrested	5.344	2.143	3.063	4.807	4.677	5.781	4.143	4.794	5.455
arrive	4.971	6.182	5.647	4.177	3.909	6.063	3.03	4	3.514
arrogant	4.5	2.156	5.452	3.25	3.969	6	5.438	4.807	5.844
arrow	4.4	4.514	5.455	6.412	6.719	5.229	3.057	3.029	5.086
arrows	4.382	4.788	5.353	6.033	6.324	4.938	3.029	3.273	4.824
arse	5.094	3.971	5.667	6	6.294	6.161	5	3.313	5.235
arsehole	4.5	2.147	4.971	4.794	5.677	5.971	5.5	3.765	5.824
arson	5.206	2.059	5.088	4.714	4.706	4.286	5.971	5.394	5.706
art	6.394	7.03	5.938	4.382	5.794	6.364	2.441	5.375	2.971
artist	5.235	6.912	6	5.546	6.212	5.879	3.265	4.515	3.265
arts	5.206	6.429	5.743	3.543	4.171	6.088	3.829	4.697	3
ascend	5.677	6.529	6.818	3.8	4.647	5.029	5.171	4.882	4.029
ascent	5.343	5.686	5.818	4.029	4.257	4.371	5.629	4.743	4.088
ashamed	4.182	1.844	2.818	2.727	3.303	5.531	4.727	4.576	4.061
ashes	3.912	3.657	4.677	5.686	5.657	4.943	4.114	2.714	4.257
aspect	3.857	5.531	5.469	2.6	1.943	4.906	5.971	3.471	3.735
aspirin	3.849	5.029	4.656	5.903	5.818	6	5.088	2.188	3.677
ass	5.333	4.571	5.242	6.382	6.177	5.4	4.206	3.857	4.353
ass (donkey)	3.912	4.743	5.559	6.813	6.743	5	4.167	3.486	5.457
ass (insult)	4.697	2.063	4.188	2.807	2.807	4.656	5.333	3.781	5.455
assassin	6.588	2.206	3.529	5.697	5.688	4.879	5.324	4.879	5.882
assassinate	6.088	2	6.273	4.971	5.333	4.546	5.543	5.788	5.882
assault	5.188	2.03	3.75	4.118	5	5.344	5.121	5.219	5.364
asshole	4.941	2.486	5.629	4.647	4.771	5.735	5.743	3.771	5.943
assist	4.758	6.647	6.182	3.441	3.344	5.455	4.647	3.853	3.441
assistant	3.853	5.727	4.771	5.4	5.371	5.971	4.677	3.657	3.257
assuring	4.645	7.469	6.032	2.29	2.719	4.667	5.125	4.531	3
asteroid	6	4.559	4.353	6.029	5.677	4.618	4.529	5.546	5.212
asthma	3.667	2.471	3.031	5.457	4.829	5.182	4.029	4.059	4.177
astonish	6.394	5.909	5.206	2.6	3.088	5.091	4.657	4.455	3.758
astonished	6.429	5.8	4.857	2.5	3.4	5.758	5.114	5.457	3.471
astronaut	5.515	6.667	5.063	6.424	6.788	5	3.273	4.419	5.531
astronomer	5.156	6.303	5.438	5.333	4.807	3.862	5.121	4.394	5.188
astronomy	5.118	5.857	5.086	4.394	5.059	4.588	5.657	6.257	4.543
athletic	5.656	7.029	6.219	4.546	5.25	5.613	4.088	4.559	4.879
athletics	4.118	5.912	5.677	5.412	5.735	5.548	4.212	4.364	4.939
atmosphere	5.938	6.25	4.839	3.645	3.594	6.3	5.065	6.161	3.758
atom	4.171	5.6	4.324	5.485	3.765	4.588	5.914	1.943	4.829
atomic	5.844	3.618	4.394	4.576	5.303	4.594	5.529	5.294	5
atoms	4.818	5.677	4.152	5.364	4.636	5.467	5.677	2.667	4.706
atrocious	5.594	1.849	4.5	2.212	1.941	4.182	5.818	5.188	4.212
atrocity	4.971	1.515	3.903	3.194	3.441	3.788	6.273	5.903	4.546
attack	5.353	1.941	4.147	4.441	5.061	5.667	3.529	5.147	5.5
attacker	5.114	2.114	4.057	5.697	5.273	5.03	4.382	5.265	5.559
attempt	3.727	5.829	5.743	3.629	3	5.765	3.914	4.059	3.886
attendant	3.771	5.029	4.8	5.829	5.086	5.059	5.059	3.829	3.857
attention	5.882	6.114	5.529	3.229	3.457	6.152	3.412	4.853	3.412
attic	3.969	4.75	4.793	6.4	5.967	4.889	3.563	4.125	4.259
attitude	5.303	4.333	5.636	2.788	3	5.807	3.97	5.182	3.576
attract	7.057	7.265	6.771	3.029	3.629	6.057	4.514	4.914	2.857
attraction	7.206	7.677	6	2.629	3.824	6.382	5.4	5.147	2.667
attractive	7.471	7.875	6.147	2.875	4.774	6.156	4.576	5.177	2.485
attribute	4.5	5.886	5.788	2.735	2.771	4.514	5.829	4.618	3.686
auction	3.559	5.306	4.588	5.314	6.029	5.424	4.8	4.206	4.75
auctioneer	3.516	4.839	5.226	5.7	5.194	3.484	5.452	3.903	5.226
audience	4.727	5.781	5.121	5.697	6.065	6.125	3.667	5.563	4.121
auditorium	4.382	5.313	5.061	6.455	6.061	5.242	5.971	5.667	4.5
aunt	4.286	6.206	4.727	5.677	5.765	5.727	2.029	4.061	1.273
authentic	5.061	7.156	6.281	3.182	3.212	5.406	5.515	4.344	3.667
author	4.735	6	5.546	5.576	4.714	5.941	3.743	3.677	3.912
autopsy	5.235	3.529	4.206	5.353	5.152	4.364	6.118	4.424	4.5
autumn	4.971	6.057	4.829	4.686	6.171	6.313	2.353	4.486	3.324
avalanche	6.625	2.781	4.129	6.033	5.964	4.172	4.813	6.344	4.69
avenge	6.656	3.758	6.594	2.455	2.588	3.31	5.647	5.233	5.613
avenue	3.774	5.323	5	5.375	5.063	4.923	4.091	4.406	3.71
award	6.294	7.941	6.588	5.618	5.647	5.909	3.5	4.794	4
awarded	5.967	7.29	6.29	3.156	3.065	5.407	4.061	4.969	4.035
aware	5.529	6.143	7.156	2.629	2.588	5.697	3.765	5	3.353
away	3.594	4.152	4.546	3.086	2.939	6.182	2.257	3.912	3.938
awe	6.657	7.343	4.912	2.529	3.114	5.375	4.857	5.314	3.343
awesome	6.688	8.29	6.656	2.061	2.719	6.31	4.344	5.161	4.152
awful	3	2.118	3.971	2.206	3	5.882	3.657	4.429	4.486
awkward	5	3.118	3.031	2.844	3.333	5.968	4.514	4.114	4.121
axe	5.152	3.515	5.324	6.412	6.364	4.581	3.471	3.677	5.6
axle	3.429	5	5.286	5.929	5.464	3.71	5.69	3.429	5.033
baboon	3.971	5.114	5.029	6.571	6.588	4.394	3.543	4.114	5.486
baby	4.29	6.594	4.313	6.607	6.593	5.929	1.844	2.546	2.688
background	3.625	5.265	4.758	3.485	3.424	5.548	3.714	5.273	3.882
bacon	6.242	6.088	5.781	6.559	6.882	6.273	2.529	2.765	5.091
bacteria	4.059	3.471	3.853	5.618	4.824	5.412	4.941	2.206	4.206
bad	5.059	1.853	4.471	2.771	3.6	6.471	1.588	4.667	4.714
badge	3.03	5.294	5.353	6.529	6.441	5.576	2.794	2.559	4.765
badger	3.849	4.971	5.088	6.667	6.364	5.294	3.324	3.412	4.677
bag	3.727	5.219	5.688	6.607	6.484	6.552	2.344	2.968	2.813
baggage	4.097	3.807	3.548	5.621	6	5.269	4.406	4.125	3.839
bail	3.613	3.657	4.371	3.912	3.229	4.4	5.457	4	4.706
bait	4.867	4.167	3.767	4.807	4.733	3.724	4.25	2.438	4.379
bake	5.559	6.857	6.029	5.171	6.029	5.97	2.714	3.559	2.412
baker	4.543	6.229	5.429	6.286	6.371	5.515	2.457	3.886	4.6
bald	2.697	3.515	4.424	5.879	6.281	5.818	3.061	2.906	6.455
ball	4.433	5.667	5.594	6.6	6.643	6.5	1.813	2.71	5.179
ball (dance)	5.657	6.647	5.235	5.543	5.686	4.857	3.8	4.629	2.029
ball (sphere)	4.152	5.324	5.029	6.029	6.514	6.063	2	3.286	4.882
balloon	4.849	6.212	5.375	6.031	6.581	5.794	2.147	3.265	3.844
ballroom	4.735	6.618	5.516	6.559	6.371	4.906	4.177	5.177	2.571
bamboo	3.424	5.829	5.706	6.514	6.5	5.156	4.111	3.471	4.083
ban	3.818	2.548	3.906	3.576	3.129	5.516	3.667	3.97	4.563
banal	2.818	3.095	4.333	2.632	2.211	2.645	6.609	3.191	4.909
banana	5.03	5.886	5.219	6.6	6.788	6.394	1.943	2.647	4.029
band	5.094	6.031	5.303	5.781	6.032	6.156	3.059	4.121	4.813
band (music)	6.286	6.546	6.143	5.559	5.971	6.516	3.412	4.471	4.941
band (ribbon)	3.353	5.412	5.353	6.364	6.059	5.094	3.412	2.235	2.441
bandage	4.2	4.171	4.441	5.971	6.265	5.5	2.912	2.8	3.97
bandit	5.818	3.121	5.118	5.226	5.033	3.75	4.735	4.182	5.576
bandits	5.182	2.824	3.794	5.353	5.412	4.273	4.471	4.118	5.697
bang	6.364	4.206	4.412	4.353	4.758	5.576	2.382	5.4	5.086
banjo	4.636	5.606	5.2	6.486	6.324	4.594	4.771	3.057	5
bank	3.771	4.943	4.229	5.714	6.086	6.25	3.257	5.147	5
bank (money)	4.677	5.688	4.281	6.152	6.484	6.367	3.212	5.258	4.742
bank (rely)	3.546	4.647	4.094	3.152	2.875	4.088	5.469	3.818	4.333
bank (river)	3.353	5.441	4.531	5.788	6.061	5.031	4.029	4.563	4.061
banker	3.294	3.735	4.471	6.235	5.882	5.394	4.206	3.758	5.853
bankrupt	4.156	1.788	2.548	4.606	3.606	5.5	5.871	4.839	4.818
banks	3	4.206	4.265	5.571	5.971	5.813	3.486	4.914	5.057
banks (money)	4.576	4.206	3.559	5.938	5.735	6.031	3.514	5.765	5.364
banks (river)	3.469	5.636	4.735	5.906	6.394	5.406	3.941	4.781	4.182
banner	4.323	5.406	5.258	5.967	5.969	4.613	4.063	3.774	4.296
bar	5.147	5.618	5.529	6.265	6.529	6.5	3.941	4.091	5.118
bar (legal)	3.818	4.871	4.656	4.571	3.818	4.206	5.906	3.909	4.971
bar (metal)	2.939	4.364	5.382	6.588	6.235	5.029	3.294	3.03	5.118
