word	arousal	valence
kirjoitus	3.84	4.51
kirous	4.71	2.16
kitkeryys	4.11	2.49
kolmio	3.63	4.17
komentaja	4.49	2.99
komeus	4.14	5.09
kosketus	3.7	6.02
kostaja	5.58	1.65
kosteus	3.75	3.66
kosto	5.46	2.02
kotelo	3.36	3.82
kruunu	3.74	4.24
kuivuus	3.63	2.56
kuljetus	3.77	4.0
kulkija	3.57	4.25
kuningas	3.58	4.02
kunnia	3.98	4.72
kuolema	4.44	2.23
kuori	3.66	3.91
kuppi	3.19	4.4
kuulo	3.63	5.13
kuvitelma	3.69	4.99
kylmyys	3.97	2.7
kärkevyys	4.33	2.75
kärsimys	5.03	1.7
käsine	3.23	4.09
kätkö	4.21	4.19
kävely	3.3	4.92
käytäntö	3.61	4.13
käärme	4.87	2.28
köyhyys	4.44	2.05
laatu	3.33	5.06
lahja	3.91	5.82
lahjonta	5.04	2.09
lahko	4.71	2.12
laiskuus	3.92	2.84
laituri	2.81	5.33
lamaannus	3.93	1.8
lanta	3.17	2.28
lapsuus	2.95	5.88
laukaus	5.37	2.28
laukku	3.48	4.28
leikki	3.81	5.58
leipuri	3.0	4.94
leivonta	2.65	5.49
lemmikki	3.09	5.65
lempeys	2.36	6.04
lempi	4.19	6.02
leski	3.42	2.41
lihavuus	4.21	2.35
liikunta	4.34	5.04
liito	3.56	5.01
lohdutus	2.49	5.79
loinen	4.68	1.75
loisto	3.7	4.94
lomailu	3.36	5.89
loppu	3.78	3.21
loukkaus	4.91	1.84
lumous	3.44	5.69
luokka	3.94	3.72
luovuus	3.81	5.8
läheisyys	3.0	6.37
lähetys	3.87	4.43
lämpö	2.98	5.77
länsi	3.51	4.15
lääke	3.48	3.99
maalaus	3.32	4.99
maasto	3.2	5.06
maireus	4.4	2.37
majakka	3.04	4.8
makeinen	3.57	5.38
manteli	3.16	4.52
masennus	4.14	1.58
matelija	4.45	2.78
matelu	3.88	2.66
mellakka	5.34	2.25
menestys	4.31	5.02
merkintä	3.95	3.72
mestari	3.81	4.83
metsästys	4.68	3.2
mieli	3.34	4.91
mieltymys	3.45	5.02
moottori	3.97	3.65
morsian	3.94	5.32
muoto	3.45	4.73
murha	5.77	1.34
murhaaja	5.87	1.29
musiikki	3.76	6.17
myrkky	4.8	1.86
myrkytys	4.99	1.64
myrsky	4.87	4.04
mänty	2.58	5.4
naamari	4.19	3.22
nauru	4.11	6.15
nautinto	4.14	6.32
neuvonta	3.49	4.36
nimike	3.35	3.3
nipistys	4.63	2.87
nukke	3.16	4.45
numero	3.7	4.01
nurmikko	2.97	5.28
nyöri	3.39	3.95
nälkä	4.63	2.56
nälvintä	5.29	1.56
näpistys	4.94	1.77
närkästys	4.38	2.35
näyte	3.64	3.4
näytelmä	3.89	4.83
näytös	4.07	4.65
nöyryytys	4.91	1.55
ohjelma	3.75	4.19
omainen	3.11	5.53
omaisuus	3.62	4.66
opettaja	3.85	4.21
orjuus	5.33	1.52
pahuus	5.17	1.79
paino	4.12	3.06
painostus	5.07	1.78
painotus	3.79	3.53
paletti	3.06	4.46
palkinto	4.11	5.68
palvonta	4.38	3.01
pappi	3.17	3.83
parannus	3.35	5.21
parantola	3.79	2.85
parturi	3.33	4.76
pehmeys	2.42	5.89
peite	2.74	5.06
pelastaja	3.43	5.76
pelastus	3.51	5.53
pelko	5.64	1.9
pelkuri	4.41	2.35
pelokkuus	4.87	2.31
perhe	3.03	6.21
permanto	3.52	3.82
perustelu	3.6	4.01
petos	5.72	1.35
pettymys	4.26	2.06
piikki	4.75	2.26
piiska	5.06	2.01
pilkku	3.68	3.98
pilvi	2.59	5.03
pimeys	3.73	3.26
pirteys	4.11	5.51
porkkana	3.34	4.84
pouta	2.9	5.66
prinsessa	3.53	4.56
prosentti	3.71	3.8
puhtaus	2.72	5.71
pulla	2.75	5.52
pätevyys	3.7	4.66
raato	4.51	1.8
raiskaus	6.12	1.09
raivo	5.86	2.09
rakennus	3.48	4.06
rakkaus	4.49	6.39
rannikko	3.06	5.43
rappio	4.12	2.15
rauha	2.08	6.21
raukeus	1.94	5.55
ravintola	3.85	4.78
rehevyys	3.68	4.1
riemu	4.74	5.97
riita	5.86	1.69
riitely	5.41	1.68
rikkaus	3.85	5.2
rohkeus	4.27	5.38
romanssi	5.15	5.96
ruisku	4.38	2.58
rukous	2.88	4.73
rumilus	3.67	2.63
rumuus	3.92	2.58
runous	3.28	5.01
runsaus	3.58	4.77
ruohikko	2.82	5.4
ruoste	3.76	2.72
rutto	4.53	1.58
ruumis	4.48	2.31
ruuna	3.25	4.32
ryppy	3.82	3.22
rötöstely	5.27	1.74
röyhkeys	5.45	1.58
saarna	4.19	2.8
saasta	4.97	1.4
sairaala	4.34	2.88
sairaus	4.59	1.81
salaatti	2.91	5.15
sapeli	4.41	3.14
satama	3.23	4.78
seikkailu	5.09	5.42
sekaannus	4.95	2.49
seksi	5.29	5.96
siemaus	3.23	4.7
sijainti	3.67	4.14
sikari	3.92	2.88
simputus	5.72	1.54
sirppi	3.74	3.75
soimaus	4.69	2.45
sorto	5.42	1.59
sotilas	4.15	3.36
suihku	2.85	5.6
sujuvuus	2.84	5.48
suklaa	3.52	5.91
sulka	3.16	4.5
suojelu	2.96	5.37
suosio	4.12	4.96
surma	5.47	1.49
suudelma	5.02	6.39
suunta	3.48	4.42
suuttumus	5.64	2.2
sydän	3.72	5.38
syksy	3.39	4.62
sympatia	3.16	5.79
syntymä	4.53	5.47
syrjintä	5.19	1.66
sävytys	3.3	4.37
taakka	4.33	2.27
taide	3.31	5.5
taito	3.53	5.48
takiainen	4.11	2.79
tapaturma	5.28	1.52
tappaja	5.74	1.39
tappio	4.81	2.16
tappo	5.38	1.4
tarina	3.5	5.41
tarjoilu	3.46	4.77
tarmo	4.36	5.28
tarve	4.04	4.07
tehokkuus	4.8	3.91
tekniikka	3.78	4.33
terva	3.25	4.42
tervehdys	3.27	5.6
terveys	3.39	5.88
terävyys	4.21	3.69
teurastus	5.07	1.63
tiede	3.85	4.75
tieto	3.94	5.43
tietäjä	3.49	4.64
timantti	3.88	5.23
toimisto	3.61	3.72
toimivuus	3.42	4.8
toive	3.86	5.79
toivomus	3.71	5.39
tomaatti	3.05	4.63
tottumus	3.28	4.39
tunne	3.95	5.51
tuoksu	3.61	5.57
tuomio	4.75	2.38
tuonti	3.55	3.84
tuotos	3.76	4.38
turkis	4.16	3.13
turva	2.39	6.16
tutkimus	3.91	4.05
tyhjyys	3.38	2.88
tyhmyys	4.76	2.32
typeryys	4.8	2.1
tyrmä	4.34	1.93
tyrmäys	4.9	2.11
tyyneys	2.16	5.63
täyttymys	3.69	5.58
uhkaus	5.6	1.74
ukkonen	4.82	4.01
ulvonta	4.92	2.36
unelma	3.96	5.98
uskomus	3.89	3.94
uutinen	4.33	4.36
uutuus	4.27	4.68
vaate	3.44	4.74
vahinko	4.45	2.51
vaikutus	3.93	4.35
vaino	5.28	1.63
valehtelu	5.06	1.77
valittaja	5.13	1.87
valoisuus	3.44	6.26
valta	4.52	3.79
vanhuus	3.34	3.84
vanki	4.5	2.28
vapaus	3.54	6.3
varmuus	2.85	5.57
vasara	3.68	3.71
vaurio	4.16	2.18
vehreys	2.88	5.67
velka	4.83	1.9
verotus	4.46	2.66
viehkeys	3.8	5.45
viehätys	3.95	5.76
viisari	3.7	3.84
viisaus	3.01	5.95
vireys	4.17	5.12
virhe	4.49	2.36
virike	4.43	4.91
virne	4.12	4.22
vitsi	3.9	5.26
voima	4.22	5.1
voittaja	4.56	5.11
vuode	2.67	5.86
vuoristo	3.71	5.11
yleisö	4.41	4.14
ylistys	4.04	4.22
yllyke	4.8	3.64
ylpeys	4.25	3.39
ympyrä	3.26	4.35
ystävyys	3.01	6.44
ystävä	2.92	6.39
älykkyys	3.9	5.66
