word	imageability (young adults)	imageability (older adults)	emotionality (young adults)	emotionality (older adults)
Armee	71.2	79.61	-47.67	-41.11
Ärmel	77.86	89.14	6.94	18.5
Armut	34.79	60.55	-60.22	-69.47
Arroganz	29.4	34.83	-60.74	-58.53
Art	21.15	38.17	8.89	9.47
Artikel	43.15	52.05	12.22	12.74
Arzt	78.55	87.18	-5.32	23.84
Asche	81.9	79.22	-35.17	-28.68
Assel	76.81	75.86	-16.78	-53.68
Ast	88.6	91.26	22.78	15.37
Astronaut	86.05	80.05	28.67	25.8
Atelier	66.53	83.09	36.67	26.16
Atem	49.67	58.26	44.06	35.79
Atlas	81.95	87.77	29.11	34.74
Aufbau	21.19	48.65	20.16	34.21
Aufgabe	36.19	39.78	10.74	24.47
Aufgang	51.33	68.83	16.78	23.95
Aufklärung	27.52	34.35	20.78	44.32
Auflage	40.18	47.61	-4.06	6.37
Aufprall	54.75	64.04	-44.06	-60
Aufstand	42.57	45.45	-12.47	-36.58
Auftakt	25.1	38.78	19.33	16.16
Auftrag	25.74	39.26	2	20.63
Aufwand	14.2	41.61	-20.11	-6.95
Auge	94.2	96.64	17.89	44.42
Augenarzt	64.57	84.74	-5.58	23
Augenblick	25.65	41.91	40.11	22.26
Augenlid	84.43	89.59	12.17	20.74
Aula	70.7	84.61	9.89	24
Ausbildung	31.76	43.82	15.61	58.37
Ausdruck	26.76	47.05	5.89	11.05
Ausflug	42.05	64.65	42.05	56.1
Ausgang	55.64	65.36	10.28	15.05
Ausland	46.62	56.48	40.89	26.63
Ausnahme	14.67	35.35	-3.89	2.68
Auspuff	86.05	89.74	-20.72	-10.68
Ausrottung	38.9	39.61	-92.27	-81.84
Ausschluss	19.1	25.78	-41.17	-27.79
Auster	83.26	86.52	16.33	14.89
Auswahl	21.91	41.55	12.21	19.47
Auswertung	26.57	38.23	-0.89	5.05
Auto	94.3	96.52	13	44.21
Autogramm	60.95	80.27	14.56	17.2
Automat	77.75	81.65	3.72	12.6
Axt	92.7	92.3	-33.44	-9.05
Baby	93.91	95.87	44.89	65.61
Bach	83.16	88.77	49.22	45.11
Backblech	83.38	88.09	24.61	30.89
Bäcker	74.24	88.91	35.16	41
Bäckerei	76.52	93.96	26.33	41.11
Backofen	86.67	87.87	27.11	35.21
Bad	81.25	90.91	43.94	55.53
Bagger	88.5	90	0.61	3.26
Bahnhof	78.8	93	19.74	32.26
Bahre	72	81.27	-30.61	-66.89
Balken	83.95	85.22	3.11	16.79
Balkon	88.37	93.91	36.56	48.42
Ball	92.1	94.61	36.21	39.89
Ballon	89	93.74	32.68	28.63
Bambus	86.29	84.43	35.11	30.95
Banane	95.19	96.43	44.56	46.47
Band	75.2	76.13	17.89	13.11
Bande	54.3	67.48	-18.63	-57
Bank	85.5	92.73	-2.17	28
Bankier	54.35	60.78	-21.72	6.68
Bär	94.45	93.83	33.73	15.38
Bar	76.68	86.52	29.67	20.58
Bargeld	72.26	92.48	41.67	58.47
Barkeeper	73.2	75.74	29.33	7.68
Baron	52.5	54.91	-1.83	-5.16
Barren	77.74	79.52	5.89	15.89
Barsch	73.37	81.74	17.44	31.6
Bart	87.89	89.83	14.58	1.74
Basketball	90.55	82.18	23.16	33.05
Bass	80.95	70.74	27.05	36.79
Batterie	89	85.3	7.17	16.26
Bauch	86.55	88	30.53	1.74
Bauer	70.74	85.68	28.61	41.5
Bauernhaus	78.67	92.78	39.33	47.32
Bauernhof	80.79	92	33.74	52.8
Bauklotz	78.45	75.09	13.28	20.21
Baum	91.8	96.61	52.06	61.45
Baumwipfel	84.6	90	34.72	45.74
Baumwolle	75.15	83.52	34.72	29.42
Beamter	54	65.18	-26.63	-9
Becher	87.37	90.59	10.42	22.47
Becken	77.5	81.41	18.32	6.58
Bedarf	13.11	35.61	-10.32	4.68
Bedeutung	9.38	35.05	22.39	9.05
Bedingung	12.75	32.39	-24.17	-7.68
Bedrohung	22.3	46.7	-73.88	-81.4
Bedürfnis	22.85	34.17	-4.89	7.84
Beere	83.42	91.13	41.06	54.06
Befehl	29.79	39.86	-56.26	-33.53
Begabung	32.95	36.83	44.21	48.16
Begegnung	38.14	51.23	37.56	31.21
Begriff	14.86	30.86	5.44	8.79
Begrüßung	43.95	59.32	37.28	36
Beil	87.95	95.04	-28	-17.58
Bein	90.95	93.13	7.72	38.37
Beispiel	10.5	39.78	5.17	23.84
Beitrag	29.1	42.04	7.63	3.95
Bekenntnis	15.38	36.39	-1.72	20.79
Belang	16	33	-1.61	5.11
Bengel	56.67	66.48	-5.63	-7.89
Benutzung	17.74	37.13	-2.94	4.58
Benzin	73.1	81.45	-11.32	4.95
Beratung	28.14	44.87	22.53	32.11
Bereich	26.52	36.48	1.83	4.42
Berg	90.9	93.13	37.11	30.05
Bericht	43.47	58.52	5.28	13.11
Beruf	34.65	53.35	17.47	55.21
Berührung	49.68	64	64.63	23.95
Bescheid	26.25	37.82	-13.39	-0.45
Beschluss	23.95	36.7	1.78	3.55
Besen	93.86	93.26	-0.84	12.37
Besitz	31.37	57.65	3.32	38.05
Bestand	20	43.57	7.5	13.21
Besteck	85.85	90.52	7.5	28.74
Bestie	62.39	62.73	-54.58	-74.63
Besuch	37.74	63.57	44.06	31.68
Beton	74.38	83.35	-24.67	0.79
Betrag	27.53	53.7	-14.56	11
Betrieb	48.42	60.7	-6.37	8.53
Betrug	21.43	37.22	-56.78	-73.35
Bett	96.36	94.39	67.89	64.28
Bettdecke	91.1	93.61	56.84	43.8
Bettler	70.95	82.61	-33.78	-34.53
Beule	83.29	87.13	-33.11	-42.95
Beutel	84.61	88.22	5.72	17.58
Bewegung	47.58	63.04	43.28	41.26
Beweis	18.8	40.61	-1.89	39.84
Bewertung	36.8	31.86	-13.44	17.37
Bewohner	41.53	64.09	10.11	15.47
Beziehung	41	35.14	52.47	33.89
Bezirk	40.52	57.43	0.33	7.53
Bibel	81.05	90.09	-7.72	36.32
Biber	90.9	90.61	40.83	31.42
Biene	93.67	94.13	24.33	33.89
Bier	91.45	86.86	14.67	14.85
Bikini	90.81	93.74	43.56	48.37
Bild	86.69	89.38	26.81	47.8
Billard	89.67	84.43	30.5	8.42
Bindfaden	78.19	92.3	0.74	11.05
Birke	85.26	94.57	35.16	48.79
Birne	94.4	94.55	25.42	51.16
Bischof	64.75	74.83	-14.39	11.74
Biskuit	73.05	87.61	18.67	47.95
Bison	81.43	83.45	21.89	30.79
Bissen	44.58	69.78	1.71	12.53
Blase	78.55	82.17	-16.33	-11.05
Blässe	55.05	60	-21.67	-10.89
Blatt	84.62	90.14	26.56	23.53
Blaubeere	87.7	92.78	39.67	64
Blech	77.4	85.41	3.83	9.84
Blei	65	65	-8.47	-3.68
Bleibe	42.68	54.52	18.89	44.42
Bleistift	93.35	92.35	15.56	23.42
Blesse	50.72	52.52	1.47	4.44
Blick	52.68	51.83	45.44	18.75
Blinddarm	61.85	71.74	-31.05	-29.42
Blitz	93.58	90.22	-2.61	-39.11
Block	69	67.41	-6.37	11.74
Blöße	28.11	54.83	-28	-25
Blume	89.8	94.52	58.11	71.68
Blumenkohl	88.48	95.48	16.05	45.79
Bluse	85.2	93.96	18.74	35.21
Blut	93.68	86.83	-40.39	-6.84
Blüte	87.21	92.26	68.68	73.3
Blutegel	86.95	80.26	-51	-34.16
Bock	72.7	75.61	7.05	6.21
Boden	74	70.7	4.61	11.22
Bogen	79.4	79.27	5.94	12.42
Bohne	84.05	91.55	16.22	32.68
Bohrer	83.75	91.91	-27.39	-3.63
Boje	77.05	90.09	20.89	25.84
Bombe	87.85	88.22	-68.11	-91.74
Bonbon	89.5	94.04	38.39	47.84
Boot	92.48	96.17	40	54.68
Börse	55.9	61.96	-15.11	-5.11
Boss	49.15	66.3	-33.44	-5.4
Bottich	65.95	87.35	4.39	-1.11
Bowle	73.05	79.35	13.89	26.89
Box	79.65	78.83	6.53	7.11
Boxer	88.81	87.27	-1.21	-23.26
Boykott	23.16	39.43	-20.28	-39.53
Branche	26	38.22	-0.5	8.95
Braten	84.65	86.04	41.11	42.47
Bratwurst	93	93	13.83	38.37
Brauch	28.71	44.61	16.56	29.16
Brause	82.26	85.61	10.61	42.8
Braut	84.45	90.13	56.22	62.58
Bräutigam	79.86	83.74	32.5	46.53
Brautkleid	90.35	90.74	38.33	46.37
Brei	73.05	87.52	15.72	22.74
Bremse	69.84	71.3	8.06	16.58
Brennholz	84.95	91.13	26.05	28.47
Brett	88.45	88.96	1.83	11.11
Brezel	92.65	91.82	29.94	34.26
Brief	90.21	91.14	31.21	29.21
Brille	93.29	96.78	-7.33	23
Brise	48.85	65.87	36.68	28.58
Brocken	74.25	78.35	-10.21	21.32
Brombeere	91.6	90.04	36.44	54.68
Brosche	82.3	89	15.47	37.63
Broschüre	61.9	84.87	1.11	19.89
Brot	92.1	94.55	31.83	69.3
Brücke	92.95	95.35	19.37	38.16
Bruder	59.19	69.7	33.74	56.11
Brühe	76.05	81.35	13.61	35.32
Brunnen	88	88.17	37.78	37.1
Brust	93	93.22	40.22	32.58
Buch	90.1	92.78	42.5	66.84
Buche	74.79	92.09	23.44	44.95
Bücherei	76.35	81.04	39.67	55.42
Buchstabe	66.3	81.39	12.78	21
Buckel	79.21	80.65	-34.78	-36.89
Buddha	84.52	76.91	31.83	17.11
Bude	62.68	80.24	14.89	-6.53
Büffel	88.1	89.7	21.06	21.58
Bügel	81.5	90.05	-2.47	11
Bühne	79.1	84.26	35.06	35.39
Bulette	87.16	91.83	23.67	49.58
Bulldozer	79.6	86.96	-30.79	-15.47
Bulle	79.45	89.17	-15.5	-22.21
Bumerang	90.86	84.17	37.28	-12.21
Bündel	64.26	75	-0.83	4.79
Bündnis	25.57	54.48	24.21	28
Bungalow	77.94	90.57	22.68	43.11
Bunker	76.05	83.74	-50.17	-47.79
Burg	90.22	90.61	41.11	32.05
Bürger	42	50.36	1.95	18.37
Bürgschaft	25	46.7	-14.78	-10.16
Bürste	85.79	89.91	11.42	19.16
Bus	89.32	94.64	6.5	20.89
Busch	86.85	84.39	21.22	28.79
Busen	92.38	91.09	46.11	41.85
Büste	77.55	89.3	9.78	29
Butter	88.8	92.48	14.44	46.79
Butterbrot	88.35	91.09	17.17	47.53
Cafe	80.14	91.35	37.05	58.63
Cello	82.52	90.3	38.72	37.05
Chaos	51.47	55.05	-23	-64.21
Charme	30.47	50.39	61.63	56.68
Chef	59.2	67.59	-29.37	2.06
Chinese	76.9	86.39	10.39	10.32
Chips	87.59	80.86	30.58	8.21
Chirurg	71.48	84.95	-15.68	4.74
Chor	73.25	78	32.95	43.21
Christ	37.9	53.55	3.58	35.79
Clown	87.63	89.39	8.89	40.74
Code	52.9	46.43	0.5	-2.74
Comic	72.9	63.22	35.78	19.79
Computer	93.5	90.22	28.33	25.89
Container	74.15	87	-10.22	6.53
Couch	85.65	93.87	39	47.37
Creme	76.33	86.22	28.37	38.21
Dach	85.35	92.7	22.05	32.74
Dachboden	77.15	90.87	34.33	7.44
Dachs	87.85	90.35	17.32	25.95
Dackel	89.25	91.91	9.47	38.37
Dahlie	61.72	89.17	31.59	60.21
Dame	64.26	87.05	34.33	55.79
Dämmerung	61.57	72.52	24.44	16.11
Dampf	81.5	75.65	10.61	2.55
Dampfer	84.35	91.35	30.37	43.53
Darbietung	35.48	52.5	15.11	31.74
Darm	78.65	82.83	-24.72	-13.37
Dattel	80.5	89.13	23.56	47.53
Dauer	16.21	24.74	-9.5	6.21
Daumen	90.25	94.04	8.06	31.89
Daune	75.55	78.91	32.37	47.11
Decke	86.29	92.39	32.44	31.63
Deckel	83.95	87.22	1.78	17.95
Degen	82.4	82	-7.16	-29.53
Deich	79.86	87.26	16.17	37.37
Deichsel	60.21	81.52	0.21	9.16
Delphin	94.8	92.35	59.11	49.16
Denkmal	74.58	83.09	5.5	16.53
Detektiv	63.45	69.73	7.94	-0.37
Deutung	20.45	22.48	9.33	4.05
Diadem	70.26	77.91	15.05	43.05
Diamant	87.45	88.74	39.28	53.47
Dichter	47.48	58.17	42.5	30.89
Dieb	53	67.82	-49	-80.05
Diebstahl	44.7	57.74	-50.33	-80.84
Diener	60.29	72.95	-21.37	2.26
Dienst	32.14	41.17	-15.44	21.37
Diktat	46.95	55	-23.06	-3.16
Dirigent	78.86	86.82	28.72	39.89
Diskothek	72.05	73.3	3.17	-0.47
Disziplin	28.05	33.57	-11.95	50.75
Diva	65.36	71.95	-10.37	4.74
Doktor	79	76.17	10.67	14.79
Dokument	57.95	73.05	-0.26	24.11
Dollar	81.86	87.3	-0.89	28.79
Dompteur	77.65	79.86	-1.17	10.89
Donner	62.6	55.57	9	-28.47
Doppelbett	84.44	94	48.63	44.68
Dorf	74.6	91.57	17.68	33.95
Dorn	83.53	83.39	-17.58	-44.79
Dorsch	58.65	82.7	6.5	40.21
Dose	85.43	88.09	5	17.32
Drache	92.74	80.52	17.16	-32.21
Draht	83.14	83.04	-0.83	0.42
Drama	39.42	47.35	-6	-5.47
Dramatik	21.95	38.7	-5.17	-13.74
Dreck	70.59	67.48	-35.5	-55.21
Dreieck	94.05	92.83	-1.22	10.37
Dromedar	81.33	87.52	22.79	32.26
Drossel	68.45	92.65	23.39	50.95
Druck	34.7	61.3	-41.06	-29.16
Dschungel	84.16	75.27	29.5	-21
Dudelsack	91.24	85.13	17.16	36.68
Duft	38.47	41.09	54.94	58.84
Dummheit	16.05	32.61	-56.22	-46.47
Dummkopf	25.63	53.65	-41.37	-51.6
Düne	84.57	89.52	41.79	46.05
Dünger	60.6	73.87	-3.33	-6.16
Dunkelheit	71.05	75	-7.44	-21.74
Dunst	56.9	68.65	-4.56	-14.53
Durchfall	75.38	70.27	-71.17	-66.85
Durst	33.05	56.17	-37.72	-30.68
Dusche	91.9	90.35	45.67	48.95
Ebbe	70.67	82.21	18.72	22.37
Eber	85.7	89.7	2	-3.37
Echo	42.24	41.59	30.67	19.63
Echse	84.75	86.09	12.11	9.79
Echtheit	16.62	36.86	34.22	45.84
Eckbank	77.05	95.18	10.5	24.63
Ecke	82.4	87	-3.58	7.8
Edelstein	74.4	87.36	20.5	53.53
Edelweiß	67.47	93.09	26.94	54.58
Efeu	84.6	91.48	27.06	22.42
Egge	60.73	85.22	9.47	14.25
Ehe	39.5	62.43	23.68	58.42
Ehre	23.19	32.91	18.06	51.26
Ehrfurcht	25.58	40.82	-2.89	36.47
Ehrgeiz	26.4	31.96	15.42	15.58
Ei	95.26	95.39	26.28	50.47
Eibe	61.32	77.87	18.71	33.74
Eiche	86.38	93.96	34.11	48.21
Eichel	93.05	95.43	32.72	30.47
Eidechse	84	89.48	22.44	27.05
Eifersucht	34.26	37.77	-68.32	-55.11
Eignung	16.8	26.17	-2.58	25.32
Eimer	93	93.82	1.72	14.58
Einbildung	22.52	25.91	-31.05	-29.68
Einblick	17.33	37.18	20.44	26.42
Einbrecher	65.14	72.05	-61.84	-85.3
Eindruck	22	37.14	20.11	13.45
Einfahrt	68.77	81.86	3.74	14.95
Einfluss	23.53	25.26	-6.22	9.37
Eingang	62.76	85.52	12.21	20.26
Eingebung	17.95	30.43	28.83	33.68
Einheit	35.71	39.39	30.5	41.79
Einhorn	89.65	79.39	28.42	3.85
Einsamkeit	28.25	50.57	-70.17	-48.05
Einsicht	12.43	31.91	29.61	41.68
Eintopf	87.74	85.55	26.17	48.26
Eintracht	21.76	37.64	21.47	39.95
Einwand	20.25	35.3	-17.06	-2.21
Einwirkung	14.15	25.68	-14.42	0.11
Einzelheit	15.42	39.29	5.44	16.95
Eis	90.33	90.27	22.89	32.26
Eisbahn	81.25	91.48	22.83	26.53
Eisbär	95.65	94.52	39.11	26.63
Eisbecher	88	94	28.79	54.53
Eisdiele	72.35	85.61	37	45.68
Eisen	68.15	81.83	4.22	5.37
Eisenbahn	90.45	94.65	28.33	52.32
Eisfach	80.62	82.65	12.74	16.32
Eiswürfel	92.33	90.5	24.56	15.63
Eiszeit	61.48	67.39	-4.61	-32.21
Elch	94.85	87.64	41.83	47.37
Elefant	96.05	96.04	40.17	51.21
Element	43.58	40.29	19.83	3.68
Elend	40.86	47.83	-68.84	-77.95
Elfe	76.55	69.61	48.83	23.95
Elfenbein	73.65	83.18	0.05	38.21
Elite	33.25	51.35	-18.17	30.84
Elster	80.35	93.83	11.79	14.11
Eltern	72.7	80.61	53.22	86.7
Empfindung	17.95	32.41	38.39	23.74
Ende	50.69	55	-22.33	3.95
Enge	48.33	59.35	-46.11	-39.74
Engel	89.25	88.05	56.44	48.58
Ente	93.05	93.7	37.78	48.32
Entführung	39.2	54.96	-65.74	-78
Enthüllung	36.15	40.39	-21.74	8.11
Entstehung	20.21	27.95	30.32	12.05
Epoche	22	38.09	15.33	8.74
Erbse	89.53	91.91	16.15	29.26
Erdbeben	67	74.61	-52.47	-76.42
Erdbeere	97.69	86.16	45.78	69
Erde	86.16	84.73	46.61	45.21
Ereignis	17.6	38.26	23.89	22.05
Erfahrung	23.57	40.09	46.83	56.42
Erfindung	28.14	49	43	57.58
Erfolg	30.7	44.22	52.28	63.3
Ergänzung	15.2	27.96	5.21	17.58
Ergebnis	33.95	38.96	15.05	17.89
Erholung	34.89	38.7	69.94	69.11
Erkenntnis	18.16	27.96	58.16	43.25
Erklärung	13.29	41.87	22.61	11.16
Erlösung	25.7	33.3	41.53	39.79
Ermittlung	27.9	39.05	-12.89	-4.53
Ermüdung	35.79	49	-25.28	-26.5
Ernst	20.59	31.17	-12.33	8.78
Ernte	56	76.09	38.33	64
Ersatz	17.38	32.23	-12.53	-1
Erwägung	12.43	31.39	-1.32	6
Esel	94.5	95.04	0.17	32.68
Eskimo	80.45	90	33.11	34
Essen	75.2	81.91	50.78	56.45
Essig	74.75	76.35	-7.39	10.11
Esstisch	78.6	90.61	20.21	33.95
Etui	77.35	85.86	4.79	12.39
Eule	94.7	93.65	33.39	44.47
Euter	86.14	87.7	15.26	6.95
Ewigkeit	22.8	25.87	11.33	21.95
Exil	25.79	49.09	-49.89	-38.05
Existenz	15.57	39.13	20.16	35
Fabrik	73.45	84.22	-18.53	6.79
Fabrikat	30.71	55.36	-1.17	10.26
Fackel	82.45	84.3	23.33	13.89
Faden	79.95	87.41	6.58	16.68
Fagott	75	83.65	20.95	39.55
Fähigkeit	19.45	35.26	39.42	48
Fahne	91.84	86.3	2	5.05
Fähre	78.79	88.83	26.11	40.79
Fahrkarte	86.55	90.48	0.21	35.16
Fahrrad	94.3	94.05	27.06	48.8
Fahrstuhl	87.95	92.71	11.33	13.74
Fahrt	51	63.35	27.94	41.32
Fahrzeug	78.35	85.17	17	37.26
Fakir	74.63	82.57	8.05	-12.37
Falke	85.26	92.78	22.47	35.26
Fall	43.4	45.5	-28.62	-19.6
Fallschirm	89.45	87.78	17.67	19.05
Falter	83.38	84.35	22.28	51.5
Fanfare	62.25	84.7	17.11	12.5
Farbband	62.5	82.26	9.68	15.85
Farbe	66.75	78.13	35.94	27.53
Farm	72.14	82.78	29.67	42.37
Farn	80.76	85.73	23.39	37.37
Fasching	64.6	75.17	8.24	23.47
Faser	62.7	73.22	6.72	10.32
Fass	85.1	90.48	5	23.68
Faultier	86.05	77.22	20.33	-0.53
Faust	92.32	90.91	-15.05	-4.6
Fax	80.81	71.61	2.37	15.32
Faxgerät	84.89	85.17	-0.05	17.11
Fechter	62.9	67.74	6.28	18.5
Feder	90.56	84.18	36	28.16
Fee	77	57	52	38.63
Feger	66.75	66.78	-5.17	3.11
Feier	51.25	66.04	43.72	57.11
Feigling	35.52	44.7	-45.32	-46.26
Feile	90.42	88.05	-0.56	14.89
Feld	78.45	84.78	20.83	26.79
Fell	77.85	91.23	36.78	36.5
Fels	88.47	88.96	31.94	13.39
Fenster	90.2	93.48	35.32	35.68
Ferien	45.11	57.13	70.72	73.22
Ferkel	88.55	94.3	26.44	26.53
Fernrohr	89.29	93.91	28.47	33.89
Fernseher	93.3	95.04	12.06	39.58
Ferse	73.85	88.17	-4.5	5.58
Fertigung	26.05	53.04	-2.84	18.53
Fessel	81.25	71.87	-33.83	-61.53
Fest	63.95	74.22	51.11	67
Festessen	72.05	76.17	54.94	63.74
Fetzen	68.5	73.57	-16.72	-21
Feuer	90.81	91.17	18.63	-25.74
Feuerwehr	81.58	92.22	12.94	21.24
Feuerzeug	92.5	92.87	9.06	1.53
Fichte	81.25	88.09	25.74	44.42
Fieber	44.05	63.87	-49.83	-54.58
Fiedel	73.48	78.14	13.42	18.79
Figur	52.32	76.45	12.95	27.47
Film	78.95	82.52	47.32	35.74
Filter	74.05	84.3	5.11	22.84
Filz	64.65	72.04	-3.95	-3.26
Findigkeit	11.27	26.96	20.33	34.58
Finger	93.29	95.91	19.67	32.26
Fink	71.9	88	18.83	50.68
Firma	37.5	55.7	-5.63	14.47
Firmament	58.84	71.57	32.84	42.79
Fisch	89.35	93.65	23.72	45.95
Fischer	80.75	80.09	19.17	36.84
Fläche	53.6	71.52	2.56	13.53
Flagge	87.15	90.5	3.56	17.21
Flamingo	90.52	90.3	41.56	54.21
Flamme	87.29	88.7	14.39	-4.95
Flanell	53.94	72.52	18.94	29.89
Flasche	90.26	92.57	9.94	25.68
Flaum	68	71.32	18.44	24.53
Fleck	79.65	87	-12.22	-31.95
Fledermaus	94.57	91.13	19.67	6.21
Fleisch	88.15	91.04	12.56	31.68
Fleischer	75.15	80.73	-16.47	14.45
Fleiß	29.89	49.91	22.94	52.85
Flieder	81.14	92.91	34.17	58.32
Fliege	93.95	91.95	-11.63	-20.37
Fließband	74.32	79.26	-34.39	-11.53
Flocke	80.57	86.71	29.39	27
Floh	82.6	82.91	-16.68	-65.53
Floß	84.21	91.26	28.47	29.16
Flöte	94.6	94.41	23.44	42.05
Flucht	43.32	54.74	-22.39	-61.58
Flug	61.4	69.17	35.06	34
Flugblatt	77.1	78.35	-1.5	-3.63
Flügel	84.2	87.43	41.67	37.74
Flugzeug	94.38	94.13	38.16	44.84
Flur	72.95	84.91	-0.17	21.16
Fluss	83.9	93.83	46.83	35
Flut	77.14	78.78	-19.67	-34.95
Fohlen	87.62	94.61	45.42	56.21
Folge	23.71	34.95	13.26	6.37
Folie	77.14	78.5	4	12.11
Forderung	17.58	28.09	-40.96	-21.6
Forelle	86.21	93.3	29.28	51.5
Form	49.55	46.55	8.39	18.25
Format	36.25	47.13	3.89	14.05
Forscher	51.5	69.83	30.72	38.53
Forschung	35.68	49.83	27.39	47.79
Förster	67.14	87.25	14.28	44.47
Fortdauer	10.79	32.09	12.5	10.37
Foto	85.72	89.68	39.94	45.32
Fotograf	70.94	87.27	31.67	24.47
Frack	82.37	86.35	5.11	23.16
Frage	46.93	45.63	2.15	25.76
Frau	81.45	90.04	54.28	67.32
Freiheit	36.63	51	77.47	84.21
Freund	51.33	66.77	77.69	82.68
Frevel	27.55	41.75	-28.61	-53.79
Frieden	26.1	50.3	67.37	87.53
Frikassee	77.89	81	19.32	23.25
Friseur	64.42	88.7	5.44	27.16
Frist	15.85	39.04	-32.83	-10.68
Frosch	97.21	94.19	23.44	21.53
Frottee	70.06	77.35	35.33	31.11
Frucht	79.24	91.7	39.11	54.47
Frühling	60.4	79.83	72.37	81.26
Frühstück	65.55	85.52	41.94	55.79
Fuchs	93.47	90.39	21.61	12.05
Funk	34.9	51.38	14.22	27
Funktion	30.5	36.61	0.56	8.68
Funkturm	88	94.43	16.22	40.74
Furcht	35.4	42.13	-45.5	-43.26
Fuß	91	94.96	6.67	22.58
Fußball	93.09	94.48	30.61	29.47
Fußboden	76	90	5	14.42
Futter	64.95	79.95	13.67	24.32
Gabel	93.26	94.09	7.05	19.74
Galeere	66.7	85	-28.82	-49.32
