word	valence	arousal	concreteness	imageability	context availability	familiarity
borracho	3.3	6.4	6.09	6.26	6.64	6.68
bota	5.0	4.0	5.41	6.91	5.85	6.15
bote	4.71	3.95	4.77	6.48	5.35	5.82
botella	5.65	4.05	6.09	7.0	6.45	6.75
botín	5.85	5.23	4.95	5.5	3.9	5.0
brazo	4.8	3.4	6.36	7.0	6.32	6.86
brevedad	4.55	3.55	3.78	2.61	4.35	5.33
brillante	7.15	6.15	2.9	4.3	4.55	5.68
brutalidad	2.79	8.05	4.22	3.61	3.35	4.48
bufanda	5.39	3.05	6.52	6.9	5.91	6.64
bulto	3.82	5.61	3.14	4.71	2.57	5.18
burro	4.85	4.67	5.64	6.7	5.7	5.7
butaca	5.91	2.95	6.4	6.76	5.75	6.0
buzón	4.77	3.75	5.52	6.85	5.45	6.32
cabello	6.15	4.1	6.32	6.59	6.35	6.15
cachondeo	5.64	7.45	3.71	3.85	5.63	6.18
cadáver	1.68	7.09	6.14	6.5	5.45	5.05
caer	3.0	6.27	4.91	5.14	5.91	6.33
caja	4.85	3.55	4.19	6.6	5.5	6.68
cálculo	4.35	4.86	3.19	4.18	4.55	5.33
calefacción	6.57	2.5	5.57	5.95	6.59	6.75
calidad	6.83	4.15	2.5	2.9	4.55	5.75
callado	4.05	3.8	5.91	5.09	5.36	6.38
calvario	2.13	6.27	2.73	2.5	3.59	4.14
cama	6.86	2.55	6.77	7.0	6.75	6.95
camarera	5.5	4.87	6.09	6.19	5.71	6.48
cambio	5.27	6.1	3.09	2.09	5.32	6.38
camión	5.05	5.05	6.38	6.86	6.09	6.24
camiseta	5.48	4.35	6.6	6.86	6.45	6.64
camisón	5.38	3.45	6.14	6.6	5.0	4.85
campamento	7.05	4.65	5.48	5.41	5.18	5.5
campaña	4.8	4.15	3.15	3.65	5.25	4.9
campeona	8.3	7.09	5.04	6.04	4.67	5.6
campeonato	5.67	6.9	4.5	5.35	6.1	5.55
campesino	5.05	3.75	6.19	6.75	4.83	4.65
canal	4.76	3.27	3.59	4.22	6.15	5.9
cáncer	1.09	7.6	5.23	3.09	5.15	5.81
canción	7.55	4.64	5.1	3.9	6.41	6.9
candado	3.86	4.3	6.67	6.77	4.96	5.5
candidata	5.64	4.43	3.64	2.76	3.67	5.45
candidato	5.0	4.75	3.19	3.68	4.55	5.59
cansancio	2.8	4.45	3.8	3.95	5.39	6.65
cantidad	5.38	4.73	2.05	2.8	3.59	6.55
caña	5.14	4.45	5.2	6.24	6.0	5.86
cañón	2.95	5.8	6.35	6.55	4.5	5.14
capa	5.19	3.95	5.85	6.41	5.05	5.45
capacidad	7.13	4.73	2.65	2.0	2.82	6.25
capilla	3.91	4.05	5.9	5.86	5.09	4.5
capital	5.33	4.5	4.0	4.96	5.1	6.39
capitán	5.22	3.95	5.71	5.57	4.82	5.65
capricho	5.48	5.55	2.95	2.14	4.05	5.6
carcajada	8.33	4.81	5.55	6.15	6.17	6.0
carcelero	3.39	5.3	5.0	4.05	4.0	4.19
cardenal	3.81	4.85	5.18	4.86	3.55	3.9
carga	3.8	4.91	3.74	4.35	4.09	5.19
caricia	8.1	4.15	4.55	5.35	6.2	6.5
caridad	6.5	4.32	3.91	3.13	4.83	5.24
cariño	8.58	4.86	3.5	4.19	5.55	6.82
cariñoso	7.35	4.48	4.3	4.15	5.65	6.68
carmín	5.67	4.25	5.65	5.14	3.55	4.55
carnicería	4.15	5.6	6.22	6.78	6.05	5.95
carpeta	5.17	3.9	6.05	6.77	6.64	6.62
cartel	5.25	3.65	4.41	6.38	4.67	6.1
carterista	2.23	6.65	5.81	4.5	5.0	5.04
casaca	5.08	3.85	5.48	4.7	2.09	2.38
casco	5.0	3.5	6.0	6.43	5.8	6.05
caseta	4.9	4.15	4.1	5.95	4.68	5.6
casino	4.95	5.14	6.05	5.95	5.0	4.76
castidad	2.41	4.45	5.45	2.85	2.83	3.8
castillo	6.09	4.15	6.15	6.81	5.36	6.0
casualidad	6.48	5.1	2.6	1.77	4.73	5.85
catálogo	5.59	4.1	4.82	5.45	5.0	5.41
cateto	3.86	4.65	4.27	3.0	3.55	4.73
caudal	4.81	4.18	4.68	4.43	3.65	4.45
cazadora	5.36	3.78	4.82	6.38	5.43	6.65
cebolla	3.61	3.59	6.75	6.95	6.18	6.87
celador	4.6	5.35	5.33	4.52	4.14	4.27
celadora	4.8	5.2	5.52	4.55	3.41	3.48
celda	2.65	5.75	5.71	6.23	5.23	4.82
celo	4.75	5.0	4.0	5.33	5.0	5.4
celos	2.55	7.15	4.87	4.13	5.27	6.0
célula	5.2	4.27	5.36	4.86	2.91	5.27
cementerio	2.08	5.52	6.35	6.78	6.45	5.81
cemento	5.0	4.0	6.81	6.17	5.6	5.5
cenicero	4.39	4.05	6.7	6.91	5.77	5.75
ceniza	3.5	4.71	6.57	6.32	4.36	5.38
centímetro	4.83	3.1	5.9	4.05	3.9	6.0
centuria	4.6	4.1	4.83	2.78	1.23	2.57
cepillo	5.24	3.91	5.91	6.65	6.0	6.35
cerdo	4.15	4.7	5.86	6.77	5.45	5.85
certeza	6.65	3.85	3.25	1.9	2.45	5.25
cerveza	6.05	4.86	6.57	6.95	5.91	6.33
cesta	5.18	3.3	5.9	6.59	5.64	5.9
chaleco	5.13	3.95	6.7	6.87	5.32	6.22
chalet	6.96	4.7	6.35	6.7	5.59	6.09
champán	6.45	5.3	6.59	6.82	6.04	5.71
champiñón	5.43	3.95	6.65	6.9	5.91	5.55
chándal	4.75	3.65	5.62	6.91	6.23	6.4
chantajista	2.0	6.65	5.48	2.96	2.68	5.18
charca	5.0	3.5	6.0	6.05	4.36	4.95
cheque	7.65	7.0	5.73	6.7	5.83	5.2
chico	5.5	4.25	5.0	6.77	5.55	6.62
chillido	3.0	7.25	5.38	3.64	5.59	5.05
china	5.32	4.1	6.14	5.95	5.35	5.9
chocolate	7.19	5.75	6.4	6.8	6.5	6.95
chófer	5.2	3.25	6.55	6.41	5.5	4.9
chorizo	4.55	4.45	5.8	6.77	6.15	6.18
ciclo	5.2	4.32	2.77	3.52	4.0	5.05
ciclón	3.14	6.29	5.5	5.2	4.45	4.05
ciempiés	4.43	4.77	6.65	6.68	3.85	5.43
científica	7.25	4.75	4.38	5.41	5.5	6.0
cigarrillo	3.36	4.55	6.95	6.9	6.09	6.24
cinturón	4.65	3.65	5.9	6.9	6.05	6.74
circulación	5.0	4.91	3.71	4.18	5.73	5.1
círculo	5.4	3.18	6.27	6.95	4.73	5.95
cirujano	5.71	6.62	6.41	6.65	5.9	5.27
cisne	6.95	2.45	6.59	6.68	5.57	4.9
civilización	6.25	4.05	5.09	4.78	5.04	5.25
claridad	6.7	2.95	2.77	2.65	3.32	5.62
clase	5.41	4.41	4.55	6.2	6.14	6.81
cliente	5.82	4.75	4.75	5.38	5.82	6.48
clima	5.9	3.4	2.9	4.15	5.35	6.17
cobarde	2.91	5.73	4.77	2.9	4.68	5.35
cocaína	2.25	5.33	6.82	5.86	5.9	5.09
coche	5.82	5.65	6.14	6.91	6.65	6.86
coco	5.73	3.59	5.9	6.71	5.5	5.73
cocodrilo	3.85	6.85	6.95	6.75	5.0	5.68
codicia	2.74	6.05	2.85	2.45	2.14	3.95
código	4.71	3.9	3.75	4.81	5.0	5.68
codo	4.64	3.62	6.45	6.96	4.77	6.62
coito	7.43	7.86	5.95	5.6	5.64	5.38
cojo	3.31	5.0	5.19	5.5	4.45	5.9
cola	4.07	4.7	3.0	5.62	4.76	6.09
colaboración	7.45	4.91	3.26	3.7	4.83	5.77
colapso	3.25	6.43	3.45	3.09	4.95	4.64
cólera	3.05	7.0	4.05	2.67	3.68	4.38
colonia	6.43	4.41	4.95	6.2	5.9	6.59
columna	4.91	3.6	5.1	6.77	5.15	6.29
coma	2.81	3.95	3.9	5.86	5.1	6.24
comadrona	7.0	5.45	6.74	5.87	4.64	3.1
combinación	5.45	3.7	3.09	1.77	3.68	4.68
comedor	5.73	4.45	5.81	6.05	5.8	6.59
comentario	5.21	4.86	3.8	3.4	4.9	6.45
comercio	5.4	4.77	3.73	5.5	6.1	5.86
cometa	6.26	3.3	5.4	6.19	6.18	5.15
comodidad	7.36	1.6	2.8	3.35	5.77	6.5
compasión	4.3	4.23	2.25	2.48	4.41	6.1
complacer	7.27	4.6	3.64	2.48	5.04	5.81
complejo	3.91	5.45	2.76	2.86	3.3	5.6
complicación	2.25	7.59	2.4	1.77	4.83	5.68
compositora	6.31	4.0	5.62	3.25	4.32	5.0
compromiso	6.39	6.14	3.52	3.38	5.64	5.76
comunicación	7.25	4.09	3.17	4.61	5.7	6.32
comunidad	6.59	4.0	3.67	3.27	5.32	5.14
concesionario	5.54	4.25	6.1	6.6	5.14	5.27
conciencia	6.65	4.8	3.05	1.62	3.55	6.14
concurso	5.95	6.0	3.38	4.95	5.27	5.75
condena	2.48	6.23	3.45	3.2	5.05	4.15
condenado	1.92	6.75	4.71	4.25	4.05	4.38
condesa	4.7	4.45	5.43	4.68	3.27	3.91
condición	4.79	5.43	2.27	1.45	3.05	5.95
condón	6.6	5.64	6.82	6.81	6.48	6.43
conducto	4.8	4.14	4.52	5.7	3.95	4.05
conductor	5.29	4.96	4.14	5.43	6.19	6.65
conferencia	5.3	3.59	4.8	5.2	5.55	5.3
conflicto	2.27	7.65	2.95	3.76	5.04	5.73
conjunto	5.32	4.65	2.15	2.55	3.33	5.65
conjuro	4.91	5.2	3.7	3.05	4.04	3.76
conquista	6.14	6.05	3.95	3.05	5.0	5.55
consejo	5.85	4.05	3.95	2.14	4.6	6.62
consolador	5.73	6.1	4.86	6.25	4.77	4.95
conspiración	3.41	5.65	3.5	2.65	2.5	4.23
contaminación	1.9	6.55	4.3	5.7	5.78	6.3
contenido	5.14	3.95	3.5	2.09	3.5	5.7
contexto	5.23	4.32	2.59	2.3	3.14	5.75
contrariedad	3.27	6.05	2.5	1.77	3.42	4.45
contrincante	3.95	6.7	5.61	2.45	3.86	4.76
convivir	6.95	5.05	4.39	4.65	5.52	6.19
copa	5.7	4.36	6.0	6.65	6.75	6.45
coral	5.71	3.95	5.09	5.82	5.15	4.8
corazón	7.05	5.5	5.41	6.55	6.25	6.75
corbata	4.96	4.4	6.68	6.91	6.55	5.91
corcho	5.05	3.73	6.3	6.14	5.23	5.67
cordero	5.24	4.05	6.41	6.55	5.14	5.95
corrección	4.86	5.14	3.29	2.77	4.68	5.87
corredor	4.82	4.91	4.86	6.14	4.1	4.9
corredora	5.46	4.48	4.32	5.1	4.1	5.48
corte	3.14	6.55	3.81	4.91	5.4	6.35
corteza	4.62	3.82	4.27	5.14	4.5	6.09
costo	4.48	4.59	3.19	2.68	3.45	4.78
costumbre	5.1	3.27	3.09	2.0	4.59	6.0
cráneo	4.95	5.25	6.6	5.95	5.41	5.77
creación	7.0	6.15	1.82	2.62	4.75	4.76
creatividad	8.14	5.95	3.0	2.1	5.5	5.52
crecimiento	7.26	5.55	3.45	3.13	5.41	6.55
creencia	5.5	4.15	3.05	2.2	4.0	5.25
crisis	1.76	7.43	3.45	3.95	5.4	6.45
cristal	5.0	4.04	4.05	6.48	4.9	6.1
criterio	6.39	4.73	1.9	1.41	3.0	6.3
crucero	7.38	5.05	5.65	5.91	6.6	5.91
crucifijo	3.5	5.14	6.41	6.19	4.7	5.05
crucifixión	2.18	6.95	3.9	5.5	3.55	3.14
crueldad	1.14	7.5	3.75	2.65	3.78	5.5
cruz	3.85	4.0	5.75	6.7	5.04	5.81
cuaderno	5.14	4.25	6.14	6.81	5.5	6.32
cuadrado	4.9	3.45	5.59	6.7	4.95	6.27
cuadro	5.45	3.68	5.55	6.8	5.4	6.32
cuarto	5.12	3.6	4.1	4.85	5.18	6.68
cubo	4.9	3.36	5.64	6.75	5.5	6.18
cuchillo	4.3	5.75	6.73	6.86	6.23	6.83
cuenco	4.78	3.65	5.73	6.74	5.27	5.27
cuervo	4.19	5.14	6.65	6.65	4.14	5.18
cuestión	5.0	5.0	2.3	2.73	3.33	6.55
cueva	4.78	5.4	6.41	6.68	5.32	5.43
culebra	3.57	6.6	6.3	6.2	3.87	4.4
culpabilidad	1.82	6.2	3.75	2.1	4.39	5.5
culto	6.64	3.6	2.23	3.67	4.6	5.19
cumpleaños	7.8	7.0	5.59	6.0	6.41	6.61
curación	7.55	3.05	3.41	3.25	4.35	5.05
curandera	4.65	5.05	4.71	4.55	4.23	3.59
curandero	5.15	4.4	5.38	3.75	4.05	3.82
curso	5.05	4.95	3.14	3.17	6.35	6.36
dama	5.36	4.29	4.76	5.9	3.95	4.05
década	5.0	4.82	5.65	2.7	3.41	5.9
decadencia	2.25	5.24	2.36	2.48	3.15	4.24
declive	3.67	4.76	2.91	1.83	2.55	3.68
decoro	5.27	3.45	3.78	2.87	3.45	2.76
dedo	4.9	4.27	6.64	6.8	5.91	6.87
defecto	3.43	5.64	3.29	2.36	4.45	6.05
degeneración	2.13	6.05	2.86	2.41	3.0	4.33
degradación	2.63	5.1	3.1	2.45	2.6	5.05
delantal	5.52	3.3	6.6	6.68	5.68	5.67
delirio	3.25	6.29	3.3	2.0	3.15	4.71
dependienta	5.2	4.6	4.38	6.41	6.45	5.86
deportista	6.27	5.75	4.95	5.95	5.86	6.62
depresión	2.2	5.81	2.5	3.68	5.15	6.18
derecha	4.95	4.38	5.14	3.82	4.95	6.73
desafío	5.77	6.95	3.25	2.2	3.83	5.6
desagrado	2.22	7.2	2.55	3.14	3.14	4.8
desahogo	6.23	3.45	3.9	2.33	4.13	4.95
desánimo	1.75	4.05	3.15	2.5	4.7	5.85
desaparecer	2.96	5.68	3.35	3.52	4.73	5.86
desaparición	1.86	7.5	3.35	2.45	5.05	4.81
descenso	3.09	4.95	3.55	3.52	3.79	5.75
desconfianza	2.4	7.27	2.41	1.91	4.0	5.87
desconsuelo	2.21	5.38	2.36	2.95	3.5	4.35
descontento	1.91	5.41	3.57	2.87	4.82	5.0
deseo	7.3	7.05	2.9	2.6	5.36	6.55
desesperado	2.25	6.86	4.78	4.39	5.18	5.73
desgaste	3.25	4.82	3.43	3.59	3.57	5.75
desierto	3.96	3.09	5.38	6.68	6.41	6.05
desigualdad	1.55	5.95	2.35	3.4	4.3	5.25
desolación	1.74	6.45	3.82	3.0	2.95	4.8
desorden	2.91	7.5	4.19	4.68	6.09	6.15
despacho	4.81	4.09	6.38	6.55	5.64	6.15
despilfarro	3.48	6.45	3.1	3.15	4.41	4.86
desprecio	1.55	6.3	3.25	2.9	3.95	5.64
despreocupado	5.55	3.65	3.95	2.67	3.55	5.74
destino	5.83	5.8	2.36	2.43	4.77	5.43
destreza	6.73	3.9	3.2	1.73	4.27	5.3
destrucción	1.55	7.5	3.7	4.55	4.52	5.14
desván	5.09	5.0	6.05	5.57	5.05	5.24
desviación	4.27	4.43	2.82	3.0	3.59	5.09
detergente	5.09	4.2	6.32	5.95	6.18	6.09
deterioro	2.18	5.45	2.7	3.35	4.0	4.27
diablo	3.45	6.18	4.76	6.43	5.25	5.91
diamante	7.25	4.7	5.95	6.64	5.18	5.76
diccionario	5.05	3.65	6.75	6.82	6.09	6.41
diente	5.09	4.0	6.1	6.91	6.2	6.76
dieta	5.5	4.5	4.95	3.65	6.05	6.09
diferencia	4.82	4.4	3.4	2.13	4.77	6.85
dificultad	3.48	6.85	3.2	2.65	4.27	6.32
difunto	2.07	5.57	5.77	5.19	6.15	4.52
difusión	5.27	5.3	2.45	1.59	3.05	4.14
dignidad	7.3	4.95	2.5	2.62	4.27	6.15
dinámica	6.46	5.24	2.32	2.14	4.3	5.32
dinero	6.95	5.27	5.36	6.86	6.3	6.86
diosa	6.58	4.9	3.67	4.2	3.91	4.95
diputada	3.75	5.17	5.82	4.81	5.24	5.15
directora	5.77	5.55	4.71	4.6	5.32	6.26
disco	6.14	6.64	5.27	6.73	6.05	6.36
discusión	2.05	8.2	4.35	4.75	5.77	6.3
diseñadora	5.85	4.4	5.33	3.35	4.91	5.82
diseño	6.09	3.67	1.9	3.41	4.8	5.57
disertación	4.38	5.05	4.43	1.96	1.91	2.4
disgusto	1.74	7.45	3.91	2.45	4.82	5.68
disminución	3.0	3.86	2.95	2.24	3.74	4.68
disminuido	3.32	4.45	2.76	3.62	4.42	4.19
disparate	4.68	5.8	2.75	1.95	3.5	4.77
distorsión	2.77	5.95	2.65	3.05	2.88	4.95
distrito	4.55	4.32	4.3	3.96	3.64	3.64
disturbio	3.05	6.5	4.43	4.0	4.27	4.71
diversión	8.43	7.41	2.75	4.3	5.95	6.1
divinidad	5.79	4.29	1.85	2.52	2.8	3.75
división	4.2	4.18	3.05	4.55	4.55	5.82
divorcio	2.68	6.4	5.19	3.65	4.95	5.71
doctora	5.89	5.39	5.68	6.57	6.05	6.59
documento	4.82	4.5	4.45	6.55	5.5	6.14
dorada	6.14	4.2	4.29	5.55	3.91	4.86
dormitorio	7.3	3.09	6.41	6.87	6.77	6.5
dramatismo	3.95	7.4	3.05	3.2	3.64	5.0
drogadicta	1.27	6.3	5.8	5.57	4.61	5.5
drogadicto	1.7	7.05	5.14	5.55	5.68	4.85
duda	3.1	6.36	3.15	2.43	5.52	6.25
dudar	3.35	5.14	3.91	3.4	4.41	6.33
duelo	2.8	6.41	3.62	4.67	5.2	4.25
dureza	4.17	6.68	2.9	3.3	3.82	6.1
echar	2.83	5.91	2.77	3.5	5.32	6.14
edificio	5.0	4.09	5.52	6.77	6.23	6.68
