word	happiness	disgust	anger	fear	sadness	valence	arousal
acumulación	1.4	1.85	2.05	2.3	1.8	4.15	5.35
acumular	2.1	1.75	1.9	1.65	1.74	4.7	5.2
acuñado	1.41	1.33	1.29	1.17	1.28	4.8	4.55
acuñar	1.79	1.33	1.68	1.17	1.25	5	5.11
acurrucado	3.7	1.1	1.15	1.2	1.21	7.85	2.58
acusación	1.2	2.25	2.7	2.65	3.25	2.4	6.7
acusador	1	3.1	3.7	2.85	2.84	2.7	6.4
acuse	1.4	2	3.05	2.58	2.35	4.45	6.11
acústica	2.5	1.25	1.15	1.25	1.3	6.05	4.15
adaptabilidad	2.75	1.15	1.35	1.2	1.25	6.5	5.05
adaptación	3.25	1.15	1.6	1.35	1.35	5.85	4.75
adaptar	2.35	1.35	1.35	1.45	1.45	6.35	5
adecuar	2.25	1.15	1.2	1.1	1.05	5.95	4.6
adelantar	2.8	1.3	1.9	1.95	1.1	6.3	6.25
adelante	2.55	1	1.05	1.15	1.1	6.95	5.65
adelanto	2.65	1.1	1.2	1.6	1.25	6.55	5.65
además	1.7	1.15	1.15	1.2	1.2	6	4.9
adentrar	2.06	1.35	1.33	2	1.25	5.9	5.3
adentro	1.7	1.2	1.3	1.6	1.35	5.45	4.4
adherencia	1.74	1.6	1.74	1.3	1.15	5.47	4.55
adherir	1.9	1.4	1.35	1.35	1.3	5.2	5.1
adhesión	1.75	1.4	1.5	1.2	1.21	5.21	5.45
adición	1.89	2.4	2.1	2.75	2	3.2	6.8
adicional	1.85	1.15	1.5	1.35	1.15	5.4	5.3
adiestramiento	2.45	1.85	1.65	1.35	2.15	5.35	5.8
aditivo	1.85	2.35	1.84	2.05	2.4	4.37	6
adivina	3.1	1.3	1.3	1.25	1.25	5.4	4.85
adivinación	2.1	1.65	1.5	1.75	1.3	5.2	5.65
adivinar	2.45	1.1	1.55	1.5	1.05	6.15	6
adivino	1.95	1.4	2	1.6	1.45	5.4	5.8
adjetivo	1.4	1.1	1.55	1	1.3	4.95	4.95
adjudicación	2.05	1.4	1.8	2	1.35	5.15	5.75
adjudicar	2.2	1.5	1.3	1.65	1.5	6.25	5.65
adjunta	1.8	1.2	1.1	1.1	1.1	5.1	4.6
adjunto	1.85	1.15	1.35	1.1	1.05	5.1	4.3
administración	1.55	1.35	1.55	1.1	1.2	4.6	5.5
administrador	2.25	1.5	1.2	1.25	1.7	5.65	4.9
administrar	2.25	1.25	1.5	1.2	1.15	5.05	5.1
administrativa	1.5	1.75	1.3	1.25	1.4	5.3	4.8
admirable	4	1.3	1	1.15	1.05	7.35	6.4
admirador	3.65	1.35	1.1	1.6	1.1	7.35	4.85
admisible	2.75	1.2	1.3	1.3	1.5	5.7	4.95
admisión	3.85	1.2	1.2	1.45	1.3	6.9	5.2
admitir	2.9	1.15	1.3	1.75	1.55	6.2	5.1
adobe	1.72	2	1.31	1.47	1.21	5.37	4.61
adolecer	1.13	1.87	2.07	2.15	3.42	3.58	5.35
adolescencia	3.45	1.5	2.1	2.05	1.8	6.05	6.25
adoptar	3.74	1.05	1	1.35	1.55	6.75	5.55
adoptivo	2.4	1.55	1.3	1.45	1.8	5.95	5.15
adorar	2.65	1.5	1.6	1.3	1.25	6.7	5.1
adornado	2.65	1.25	1.2	1.05	1.3	7.2	5.1
adornar	3.15	1	1	1	1.3	6.6	4.65
adorno	2.8	1	1.2	1.25	1.25	6.75	4.6
adosada	1.72	1.21	1.22	1.25	1.25	5.47	4.32
adosado	1.84	1.26	1.25	1.15	1.2	5.95	4.45
adquirir	2.85	1.05	1.4	1.5	1.15	6.95	4.7
adquisición	3.3	1.4	1.1	1.65	1.15	6.25	5.35
adquisitivo	2.5	1.5	1.37	1.45	1.15	5.7	5.68
adrenalina	3.5	1	1.95	1.9	1.4	6.85	7.3
adscripción	1.44	1.19	1.33	1.22	1.22	5.47	5.22
aduana	1.7	1.84	2.15	2	1.8	4.25	5.5
aduanera	1.32	1.89	1.71	2.3	2.05	4.78	5.21
aducir	1.4	1.64	1.71	1.33	1.4	5.43	5.08
adulación	1.6	1.71	1.94	1.73	1.67	5.25	5.25
advenimiento	1.53	1.07	1.18	1.47	1.43	5.06	5.36
adverbio	1.5	1.3	1.25	1.35	1.11	4.9	5.05
adversidad	1.6	1.63	2.45	2.56	2.2	2.85	6.55
adverso	1.35	1.8	1.89	2.05	2	3.85	5.85
advertencia	1.3	1.8	2.3	2.35	2	4.15	6.7
adyacente	2	1.21	1.17	1.33	1.65	5.25	4.75
aérea	1.95	1.15	1.2	1.4	1.21	5.55	5.6
aéreo	2.8	1	1.1	1.75	1.55	6.35	5.4
aeróbic	2.6	1.35	1.25	1.25	1.05	5.95	6.75
aeródromo	1.65	1.3	1.6	1.06	1.05	5.16	5.79
aeroespacial	2.65	1.05	1.2	1.45	1.05	5.25	6.35
aerolínea	2.5	1.2	1.45	1.7	1.35	5.8	5.9
aeronáutica	2.2	1	1.15	1.4	1.25	5.15	5.8
aeronave	2.05	1.11	1.3	1.45	1.2	5.35	5.75
aeroplano	1.65	1.2	1.15	1.7	1.1	5.45	5.75
afable	3.22	1.21	1.12	1	1.23	6.68	3
afán	2.65	1.45	1.84	1.58	1.35	5.75	6.35
afasia	1.13	1.54	1.81	3.19	3.86	2.79	5.5
afección	1.6	2.05	1.74	2.33	2.71	3.53	5.95
afecta	1.85	1.68	1.55	2.3	2.15	3.3	5.8
afectación	1.85	1.75	2.42	1.95	2.47	3.5	6.65
afectiva	3.5	1.05	1.55	1.1	1.4	6.9	4.4
afectuosa	3.35	1.15	1.1	1.3	1.4	6.9	4.75
afeitar	1.85	1.5	1.25	1.25	1.4	4.65	4.75
aferrar	1.85	1.65	1.8	1.65	1.6	4.8	5.25
afgano	1.94	1.25	1.71	2.33	2.11	4.69	5.89
aficionado	3.2	1.53	1.25	1.15	1.45	6	6.05
afiliación	2.35	1.11	1.4	1.42	1.35	5.5	5.5
afiliar	1.8	1.75	1.35	1.25	1.2	5.2	5.63
afín	2.45	1.25	1.25	1.3	1.16	7.47	5
afinación	1.82	1.05	1.1	1	1.2	6.25	5.3
afinar	2.6	1.15	1.3	1	1.05	5.95	4.35
afincado	1.53	1.31	1.21	1.21	1.26	5.16	3.75
afinidad	3.15	1.1	1.15	1.35	1.05	7.3	4.95
afirmación	2.6	1.35	1.35	1.15	1.15	6.75	4.8
afirmar	3.4	1.05	1.15	1.35	1.55	6.1	4.75
afirmativo	2.95	1	1.05	1.25	1.2	6.3	5
aflicción	1.42	1.93	2.17	2.27	3.35	4.25	5.89
aflojar	1.9	1.4	1.55	1.1	1.25	4.75	3.3
afluencia	2.2	1.37	1.42	1.63	1.26	5.21	5.35
afluente	2.15	1	1.05	1.25	1.16	5.2	3.95
aforo	1.75	1.4	1.55	1.65	1.2	5.05	5.58
áfrica	2.05	1.25	1.4	1.3	2.6	5.75	5.2
afroamericano	2.65	1.2	1.05	1.05	1.05	5.5	4.3
afrontar	3.4	1.2	1.8	2.05	1.8	6.75	7.25
afuera	2.1	1.25	1.15	1.45	1.35	5.25	5.3
agachar	1.55	1.05	1.2	1.1	1.2	4.75	4.5
agarrado	1.8	2.45	2.5	2.35	2	4.25	5.05
agarrar	2.1	1.55	1.7	2.2	1.3	5.15	6.05
agarre	1.3	1.2	1.65	1.7	1.42	4.8	5.45
ágata	2.13	1.18	1.13	1.15	1.19	5.59	4.57
agenda	1.9	1.35	1.4	1.35	1.15	5.15	5.55
ágil	3.4	1.05	1.1	1.1	1	7.4	4.85
agilizar	2.45	1.1	1.25	1.25	1.1	6.1	6.45
agitación	2.15	1.75	2.1	2.15	1.4	4.35	6.55
agitar	1.9	1.25	1.6	1.7	1.3	5	6.25
aglomerado	1.7	2.16	2	1.85	1.9	4.45	5.7
aglutinar	1.3	1.95	2.05	1.68	1.58	4.45	5.5
agonizante	1.05	2.6	2.4	3.7	4.15	2.25	7.2
agosto	3.35	1.2	1.3	1.2	1.2	7.55	4.05
agotamiento	1.05	2.3	2.15	2.1	2.65	2.95	4.2
agotar	1.4	1.55	2.25	1.65	2.25	3.8	5.9
agradable	4.4	1	1	1	1.1	8	2.8
agradecer	3.85	1	1.05	1.15	1.05	7.35	4.85
agradecimiento	4	1	1.1	1.1	1.25	7.85	4.95
agrado	4.45	1	1.05	1.15	1	7.15	4.45
agravamiento	1.26	1.5	2.75	2.84	2.53	3.1	6.35
agravar	1.1	1.84	3.11	2.67	2.2	3.45	6.65
agravio	1.06	2	2.5	2.13	1.69	4.06	5.89
agregación	2.15	1.3	1.1	1.05	1.1	5.7	5.2
agregado	2.25	1.11	1.3	1.15	1.05	5.2	5.55
agregar	2.65	1.35	1.05	1.4	1.2	6.75	5.35
agresor	1	3.6	4.5	3.9	3.95	2.15	7.5
agria	1	3.25	2.45	1.65	2	3.45	6
agrícola	1.65	1.5	1.2	1	1.2	6	4.5
agricultura	2.65	1.1	1.15	1.21	1.15	5.9	4.3
agropecuaria	1.38	1.54	1.28	1	1.29	5.27	4.86
agrupación	2.85	1.55	1.5	1.65	1.35	5.8	5.15
agrupar	2	1.15	1.35	1.2	1.25	5.05	5.35
aguacero	2.11	1.5	1.5	1.63	1.42	4.5	5.5
aguafuerte	1.56	2.82	1.68	2	1.21	4.32	6.26
aguamarina	3	1.05	1	1.1	1.05	6.8	4.15
aguantar	1.7	1.5	2.7	2	2.05	4.7	6.25
aguante	2	1.55	1.85	1.42	1.7	5.55	5.85
aguardar	1.5	1.6	1.35	1.3	1.55	5	4.75
agudeza	2.58	1.05	1.45	1.25	1.15	6.25	5.6
aguilucho	2.11	1.72	1.26	1.78	1.6	5.44	4.68
agujero	2.05	1.95	1.6	2.25	1.45	4.4	5.75
ahijada	2.78	1.1	1	1	1.1	6.05	5.21
ahijado	2.89	1.05	1.2	1	1.4	6.75	4.32
ahínco	2.4	1.15	1.88	1.21	1.4	5.53	6.13
ahogo	1.1	2.55	2.85	3.6	3.45	2	8.1
ahondar	1.82	1.2	1.69	1.71	1.56	4.58	5.61
ahora	2.4	1.25	1.25	1.4	1.35	6.7	4.7
ahorra	2.75	1.35	1.35	1.3	1.3	5.95	5
ahorro	3.6	1.35	1.3	1.5	1.75	6.3	4.85
ahuyentar	1.47	1.65	2.25	2	1.6	4.2	6.3
airoso	2.68	1.56	1.63	1.4	1.3	5.85	4.4
aislante	1.55	1.45	1.68	1.55	1.65	4.4	4.7
aislar	1.15	2.65	2.1	2.9	3.37	3.05	5.15
ajeno	1.65	1.45	1.8	1.8	1.4	4.95	4.65
ajo	1.75	1.95	1.75	1.15	1.45	5.1	5.7
ajuar	1.64	1.23	1.3	1.2	1.38	5.79	5.29
ajustar	1.8	1.25	1.3	1.35	1.25	5.1	5.55
ajuste	1.95	1.1	1.2	1.58	1.25	5.1	5.25
ala	2.58	1.05	1.15	1.25	1.1	5.7	4.9
alabado	1.95	1.68	1.68	1.3	1.22	5.63	5.25
alabanza	3.47	1.5	1.3	1.15	1.65	6.1	5.95
alacena	1.62	1.62	1.27	1.14	1	5.38	4.44
alado	2.53	1.27	1	1.14	1	6.46	4.94
alambrado	1.42	1.68	2.1	1.95	2.25	4.45	5.95
álamo	1.84	1.16	1.18	1.05	1.12	5.67	4.5
alar	1.55	1.25	1.14	1.15	1.33	5.23	5.33
alarde	1.63	1.64	2.5	1.71	1.5	4	5.74
alargar	2.55	1.3	1.55	1.3	1.4	5.2	5
alarido	1.41	2	1.93	2.76	2.47	3.65	5.93
alarmante	1.2	1.9	2.4	3.25	2.4	2.9	7.6
alas	2.75	1.25	1.05	1.2	1.05	7.45	4.7
albanesa	1.94	1.1	1.05	1.33	1.25	5.07	5.06
albaricoque	2.6	1.5	1.1	1.2	1	6.55	3.8
albedrío	2.28	1.16	1.33	1.68	1.33	5.45	4.63
albergar	1.95	1.15	1.32	1.45	1.6	5.58	5.25
albina	1.65	1.05	1.11	1.65	1.58	5.05	4.6
albornoz	2.15	1.1	1.1	1	1.15	6	3.95
alboroto	1.5	2.2	2.95	2.4	1.47	4.75	7.25
albufera	1.64	1.33	1.17	1.23	1.12	5.74	4.07
álbum	2.9	1	1	1.1	1.85	6.3	4.45
alcachofa	1.7	2.25	1.45	1.05	1.25	4.8	4.2
alcaide	1.43	1.47	1.71	1.44	1.82	4.5	5.19
alcalde	1.65	1.75	1.8	1.1	1.1	4.65	5.25
alcaldía	1.6	2.06	2	1.45	1.5	4.05	5.5
alcance	2.5	1.05	1.2	1.2	1.15	6	5.21
alcantarillado	1.35	3.45	1.7	1.63	1.4	4.6	5.55
alcanzar	3.2	1.2	1.3	1.05	1.1	6.8	5.85
alcayata	1.36	1.69	1.06	1.29	1.13	4.76	5.16
alcázar	2	1.6	1	1.35	1.06	5.61	4.94
alcoba	1.95	1.56	1.06	1.16	1.35	5.84	3.7
alcohol	3.1	2.75	1.8	2.35	2.25	4.85	6.75
alcohólica	1.35	2.8	2.45	2.85	3.65	3.3	6.85
alcoholismo	1.45	3.05	3.75	3.45	3.75	1.6	6.85
alcornoque	2.05	1.28	1.19	1.05	1.06	5.45	4.6
aldea	2.15	1.05	1.15	1.6	1.3	5.9	2.85
aleación	1.63	1.24	1.2	1.06	1	5.47	4.94
aleatorio	2.2	1.2	1.6	1.55	1.4	5.1	5.35
alegación	1.29	1.37	1.44	1.47	1.58	4.7	5.44
alegar	2.05	1.25	1.5	1.37	1.4	5.75	6
alegato	1.94	1.88	1.39	1.45	1.79	5.11	5.71
alegoría	1.78	1.11	1.18	1.32	1.33	5.73	5.05
alegórica	2.18	1.2	1.27	1	1.6	5.33	5.21
alegra	3.83	1	1	1.05	1.2	8.2	6
alegro	3.55	1.11	1.25	1.06	1.1	7.15	5.79
alejamiento	1.4	1.85	2.05	2.7	3.25	3.4	5.15
alejar	1.5	1.2	1.8	2.4	3.15	2.95	6.4
alelí	2.15	1.25	1.06	1	1.36	6	4.45
alemán	2.15	1	1.2	1.1	1.4	5.2	5.6
alentar	2.6	1.37	1.42	1.65	1.37	6.5	4.65
alero	1.43	1.5	1.07	1.5	1	5.13	4.93
alertar	1.3	1.25	1.8	2.3	2.1	4.4	6.9
aleta	1.8	1.45	1.1	1.65	1.1	5.4	5.2
aletas	1.95	1.53	1.21	1.05	1.05	5.45	5.35
aleteo	2.3	1.45	1.25	1.26	1.1	6	4.1
alfa	2.32	1.26	1.3	1.05	1.21	5.7	4.95
alfabético	1.75	1.21	1.2	1.05	1.2	4.85	5.15
alfabetización	3.15	1	1.35	1.2	1.45	6.95	3.8
alfabeto	2.15	1.15	1.2	1	1	6	4.75
alfalfa	2.14	1.86	1.37	1.11	1.11	5.61	4.4
alfarería	1.68	1.15	1.06	1.15	1.12	5.15	4.11
alfarero	1.47	1.18	1	1.06	1.13	5.55	4.5
alférez	1.31	1.36	2.13	1.3	1.46	5	5.38
alfil	1.76	1.05	1.33	1.28	1.69	5.25	4.25
alga	1.65	2.7	1.65	1.7	1.16	4.65	4.65
algarabía	1.91	1.7	1.75	1.54	1.75	4.88	6.27
algarrobo	1.58	1.64	1.19	1.15	1.58	5.28	4.83
álgebra	1.75	2.1	1.75	1.85	1.4	3.95	5.55
algebraica	1.45	1.53	2	1.4	1.45	4.2	5.8
álgido	1.41	1.54	1.45	1.53	1.69	5.31	5.38
algo	2.05	1.3	1.3	1.4	1.55	5.15	4.85
algodón	2.3	1.1	1	1.05	1	6.05	3.05
algoritmo	1.45	2.06	2.05	1.5	1.16	4.2	5.5
alguacil	1.47	1.72	1.44	1.89	1.33	4.44	5.1
alguna	1.8	1.15	1.25	1.15	1.2	5.15	4.75
alguno	1.55	1.25	1.3	1.25	1.25	5.5	4.1
alhambra	3.65	1.56	1.32	1.16	1.15	6.75	4.5
aliado	2.55	1.1	1.5	1.65	1.35	6.6	4.55
aliar	2.84	1.2	1.8	1.85	1.6	5.8	5.32
aliciente	2.35	1.15	1.2	1.26	1.11	6.79	4.65
alienación	1.55	1.47	2.21	1.89	1.63	5.06	5.11
alienígena	1.75	2.5	1.11	2.2	1.16	4.6	6.45
aligerar	2.65	1.35	1.3	1.25	1.05	5.5	5.7
alimentación	3.4	1.1	1.74	1.55	1.5	7.4	4.8
alimentaria	1.85	1.15	1.25	1.05	1.4	6	4.8
alimenticia	2.21	1.25	1.3	1.15	1.15	5.9	4.95
alimento	3.3	1.5	1.1	1.05	1.35	7.3	4.25
alineación	1.9	1.35	1.4	1.35	1.5	5.5	4.6
alineamiento	2.25	1.5	1.2	1.5	1.15	5.2	4.95
alinear	2.3	1.2	1.2	1	1.1	5.55	4.45
alioli	1.95	1.85	1.25	1	1	6.35	5.05
alistar	1.6	2.1	1.7	2.37	1.65	4.35	5.85
aliviar	3.9	1.1	1.15	1.15	1.1	7.35	2.95
aljibe	1.67	1.57	1	1.44	1	5.25	5
allá	1.7	1.15	1.11	1.25	1.4	4.85	5.3
allanamiento	1.35	2.15	3.05	3.25	2.55	3.95	6.75
allanar	1.35	1.58	2.06	1.84	1.65	4.74	5.1
allí	1.7	1.1	1.3	1.1	1.2	5.65	4.65
almacén	1.6	1.4	1.35	1.3	1.2	5.15	4.7
almacena	1.55	1.25	1.26	1.25	1.1	5.4	4.5
almacenaje	1.85	1.45	1.37	1.4	1.2	5.2	4.95
almacenamiento	1.8	1.65	1.7	1.3	1.55	5.15	4.95
almacenar	2.32	1.35	1.25	1.1	1.45	5.15	4.75
almanaque	1.5	1.92	1.08	1.06	1.43	5.9	4.39
almendra	2.9	1.2	1.1	1.2	1.1	6.05	4.9
almendro	2.25	1.11	1	1.16	1.11	6.45	3.55
almeriense	2.58	1.21	1.1	1	1.1	5.8	4.45
almíbar	2.1	1.58	1.05	1	1	6.5	4.55
