word	color vividness	visual motion	graspability	risk of pain	sound intensity	pleasant taste	smell intensity
camión	4.31	6.92	1.42	6.19	6.35	1.66	4.12
camisa	4.67	3.16	7.50	1.77	1.48	2.75	3.00
campana	5.28	4.72	5.00	3.77	6.45	2.09	2.16
candado	4.18	1.76	7.54	3.20	2.45	1.97	2.60
carne	5.03	2.24	6.58	2.42	1.84	7.13	5.72
carpeta	4.63	3.40	7.63	2.42	2.23	2.56	2.28
carro	3.50	6.08	3.83	4.27	4.90	2.00	2.68
carruaje	4.48	5.92	1.71	4.12	5.74	1.91	3.32
carta	2.53	3.04	7.67	2.23	1.45	2.75	2.32
cartel	5.33	2.00	6.42	2.27	1.65	2.59	1.64
casa	4.50	1.16	1.13	3.23	3.77	2.19	4.04
cebolla	3.09	2.04	7.75	2.62	1.45	5.81	6.64
cenicero	2.85	1.96	7.38	3.42	2.57	1.06	5.44
cera	3.28	1.76	5.96	3.46	1.29	2.50	4.40
cerdo	4.21	6.92	2.83	3.23	4.97	6.63	7.08
cesta	3.22	2.56	7.21	2.04	2.03	2.63	2.28
chaqueta	4.88	3.36	7.54	1.54	1.68	2.59	2.88
charco	2.52	2.20	1.50	1.88	2.42	2.16	2.80
cheque	2.64	2.32	7.46	1.73	1.26	2.75	1.92
chicle	4.45	4.36	7.63	2.08	2.10	6.81	5.04
chimenea	3.97	1.20	1.46	4.15	2.94	1.59	5.72
chocolate	5.76	2.60	7.54	1.58	1.48	7.78	5.72
choza	2.85	1.16	1.71	2.69	2.90	2.13	3.76
cicatriz	2.79	1.44	1.83	4.15	1.06	2.22	1.20
cigarro	2.78	3.88	7.83	5.31	1.48	2.69	7.36
cinturón	4.09	2.56	7.17	4.65	2.74	2.31	2.72
cocina	4.22	1.28	1.33	3.69	4.84	2.75	4.76
cohete	5.79	6.24	2.33	5.38	7.19	2.16	3.92
cojín	5.30	2.28	7.29	1.77	1.42	2.56	2.84
collar	6.00	2.64	7.38	2.62	2.32	3.06	1.96
cometa	6.64	6.68	4.42	2.31	2.26	2.72	1.76
cómoda	3.24	1.40	2.79	3.04	2.71	2.50	1.72
conejo	4.39	7.40	5.04	2.08	2.52	6.03	5.08
copa	3.33	3.16	7.67	3.00	3.10	3.63	2.80
cordón	2.42	2.84	7.54	2.54	1.35	2.31	1.52
corona	6.48	2.12	6.88	2.73	2.29	2.38	1.64
corteza	3.42	1.64	6.04	2.42	2.23	4.22	3.24
crema	2.78	2.16	7.08	1.65	1.55	4.34	5.84
cremallera	3.18	3.56	6.96	3.50	2.71	2.22	1.52
cristal	2.79	1.60	4.92	5.31	4.35	2.56	1.40
cubo	3.84	2.40	7.00	2.96	2.39	2.31	2.12
cuchillo	3.67	3.64	7.83	6.73	2.97	2.34	1.52
cuerda	2.67	3.44	7.38	4.00	1.90	2.28	2.20
culebra	5.59	7.52	4.33	5.35	2.81	2.75	2.88
dado	3.79	4.80	7.83	1.92	2.29	2.75	1.32
dinero	5.22	4.32	7.38	4.50	2.65	2.41	3.80
disco	4.67	3.80	7.67	2.38	4.58	2.53	1.88
diván	3.70	1.60	3.29	2.73	2.00	2.41	1.96
ducha	2.64	1.72	3.79	2.58	3.74	2.72	3.56
ensalada	6.12	2.16	5.83	1.23	1.58	7.16	4.56
ermita	2.94	1.24	1.17	3.08	3.23	1.97	3.44
escalera	2.78	1.72	3.67	4.58	2.90	2.19	1.56
escaparate	6.06	1.28	1.46	3.04	2.00	2.38	1.36
escopeta	4.03	3.40	5.29	7.65	7.03	1.58	2.28
escritorio	3.48	1.36	2.75	3.04	2.61	2.59	1.84
esmoquin	5.12	2.68	5.96	1.58	1.52	2.38	2.72
espada	4.82	4.08	6.50	6.81	4.55	2.13	1.80
espejo	3.66	1.28	5.96	3.77	2.10	2.31	1.20
espina	2.24	1.68	6.75	5.38	1.26	2.09	1.48
estantería	3.13	1.24	2.88	4.19	2.45	2.44	2.12
falda	5.19	3.68	7.21	1.35	1.32	2.71	2.00
ficha	4.38	3.52	7.50	1.81	1.68	2.53	1.48
flauta	3.69	2.92	7.38	2.46	5.29	2.69	1.80
flecha	3.27	5.56	6.50	6.38	3.10	2.25	1.36
flor	7.33	3.32	7.75	1.42	1.45	4.66	6.04
foco	5.81	2.20	4.21	3.19	2.16	2.22	1.68
folio	2.91	2.60	7.88	2.38	1.48	2.69	2.92
foto	6.61	1.56	7.63	2.15	1.39	2.94	2.12
fresa	7.13	2.28	7.71	1.31	1.23	7.72	5.52
fusil	3.88	3.56	4.58	7.88	6.68	1.56	2.80
gallo	5.72	7.04	4.42	3.23	5.00	5.28	5.36
garaje	2.53	1.32	1.08	2.73	4.29	1.78	4.00
globo	6.41	5.88	7.42	1.62	2.10	2.78	3.12
goma	3.41	3.08	7.75	2.46	1.81	2.72	4.16
guitarra	4.67	4.68	6.25	3.23	5.77	2.78	2.64
hamaca	4.00	4.48	4.25	2.15	2.00	2.53	2.28
hierba	6.56	3.29	6.54	1.27	1.52	4.09	5.56
hierro	4.19	1.72	5.79	5.50	4.06	2.03	3.72
hilo	3.44	2.80	7.63	1.88	1.10	3.16	1.16
hoja	3.73	3.68	7.67	2.15	1.48	3.25	2.96
horno	3.44	1.52	3.00	5.27	3.03	2.56	4.68
hueso	2.09	2.80	6.67	3.54	2.32	3.25	2.52
huevo	4.15	2.24	7.75	2.15	2.06	7.03	3.92
jabalí	4.16	7.20	2.25	5.73	5.32	5.59	5.92
jabón	3.50	3.00	7.71	2.31	1.55	2.66	6.12
jamón	5.33	1.96	5.96	3.00	1.61	7.47	6.24
jardín	7.24	1.80	1.46	2.04	2.42	3.47	5.72
jarra	2.56	2.92	7.54	2.69	2.81	2.66	1.76
joya	6.61	2.20	7.54	2.77	1.97	2.94	1.60
ladrillo	5.06	1.40	6.42	5.65	3.71	1.88	2.76
látigo	3.34	4.32	6.96	7.12	4.77	2.09	1.80
lavabo	3.52	1.16	2.63	2.73	3.29	1.56	3.40
lazo	5.24	2.72	7.38	1.85	1.16	3.00	1.48
liebre	3.52	7.44	4.38	2.54	2.87	5.78	4.44
lienzo	4.76	1.92	6.04	2.19	1.68	2.50	3.68
linterna	5.56	3.36	7.63	2.69	1.77	2.31	1.28
llave	3.70	3.48	7.92	2.77	3.00	2.16	2.48
loro	7.21	6.80	5.04	2.65	4.61	4.03	4.64
manga	3.52	2.88	6.67	1.42	1.26	2.55	1.88
mantel	4.56	2.40	7.13	1.69	1.61	2.94	2.44
manto	4.09	2.52	6.63	1.58	1.45	2.53	2.68
manzana	6.36	2.48	7.79	1.88	1.58	7.31	4.60
mapa	4.67	2.08	7.04	1.69	1.42	2.45	2.16
marco	4.28	1.44	6.17	3.08	2.06	2.38	1.44
mariposa	7.25	7.44	6.00	1.12	1.23	2.75	1.76
mechero	4.85	3.36	7.88	4.77	2.32	1.97	3.52
medalla	5.91	2.24	7.67	2.38	2.19	2.69	2.12
merienda	4.94	2.24	6.63	1.69	1.87	7.34	5.08
merluza	3.09	6.08	5.50	2.00	1.77	6.53	5.72
mermelada	6.58	2.32	6.46	1.46	1.45	7.56	5.32
metralleta	4.21	3.96	4.83	8.00	7.29	1.56	2.40
mora	6.52	2.12	7.50	1.42	1.29	7.16	4.80
mosca	3.83	7.52	5.79	1.46	2.71	1.53	1.40
mula	3.84	7.04	1.50	4.27	4.65	4.22	5.96
muñeca	5.52	3.04	7.33	2.27	2.26	3.00	2.44
muro	2.50	1.16	1.38	4.31	2.87	1.84	1.60
nevera	3.13	1.60	2.79	3.23	2.65	2.63	4.88
nido	3.43	1.80	5.33	1.62	2.35	2.09	3.52
novela	3.06	2.28	7.04	2.00	1.90	2.59	2.48
nudo	2.42	1.76	5.88	2.85	1.32	2.38	1.16
nuez	3.53	1.92	7.75	2.35	2.55	6.53	3.20
olla	3.58	2.32	6.13	4.27	4.45	2.56	2.80
órgano	5.24	3.88	3.63	3.35	4.35	2.44	4.16
oso	4.75	6.88	1.29	6.19	6.13	4.31	6.08
oveja	3.15	6.76	2.63	2.73	4.13	5.44	6.20
palma	3.24	4.08	5.13	3.27	3.45	2.94	2.92
palo	2.75	2.60	7.58	5.15	2.48	2.55	2.08
paloma	3.56	7.52	4.83	2.58	3.06	3.97	4.76
pantalla	6.13	1.88	4.71	3.42	2.77	2.44	1.48
pantalón	4.67	3.36	7.46	1.88	1.58	2.81	2.80
papel	2.42	2.72	7.83	2.12	1.58	3.00	2.64
parche	2.73	1.76	7.13	1.73	1.39	2.31	1.60
pared	3.06	1.08	1.25	4.12	2.48	2.09	1.92
pasaporte	3.30	2.96	7.54	1.46	1.23	2.72	1.92
pasta	2.94	2.00	6.83	1.62	1.65	7.50	4.64
pastel	5.79	2.08	7.04	1.54	1.71	7.97	5.36
peine	3.36	3.76	7.96	2.42	1.74	2.53	1.96
pelota	5.88	6.52	6.92	3.69	3.35	2.53	2.24
pera	5.18	2.36	7.67	1.54	1.35	6.78	4.52
percha	3.52	2.08	7.63	2.38	2.03	2.28	1.28
persiana	2.30	3.56	5.08	3.23	3.87	2.00	1.92
pez	5.00	7.20	4.71	2.31	1.74	5.28	4.80
piedra	2.44	1.84	7.25	5.77	3.68	1.75	2.24
pincel	3.53	4.64	7.58	2.00	1.52	2.31	2.96
pino	5.59	2.48	2.13	3.50	2.26	3.78	5.76
placa	4.00	1.60	6.25	3.27	2.71	2.13	1.64
puente	3.28	1.56	1.04	4.31	3.32	2.03	2.08
puerta	3.58	4.40	3.92	4.15	4.13	2.31	1.92
radio	3.13	1.76	6.71	2.46	5.23	2.22	1.48
raíz	3.06	1.48	5.58	1.96	1.06	3.66	3.36
rama	3.48	3.40	6.63	3.73	2.68	3.09	3.04
rana	6.15	7.04	5.58	1.77	3.00	3.63	4.12
ratón	3.61	7.52	5.71	2.77	2.77	2.75	4.44
red	2.30	3.48	5.71	3.42	1.74	2.28	1.56
reja	3.13	1.60	3.54	3.77	3.13	2.06	1.92
repisa	2.71	1.24	3.00	3.54	1.94	2.00	1.48
robot	4.36	5.36	3.79	4.00	4.65	1.81	2.00
rosario	3.41	2.44	7.13	2.31	1.77	2.25	1.88
rueda	3.58	6.68	4.63	3.92	3.23	1.44	3.28
sábana	3.53	2.84	6.92	1.46	1.68	2.97	3.48
sable	4.25	3.60	5.75	6.31	4.45	2.00	2.16
sartén	4.09	3.08	7.58	4.96	3.87	2.56	2.88
semilla	2.94	1.92	7.54	1.31	1.16	4.84	2.08
señal	6.25	1.96	4.46	3.15	2.42	1.91	1.40
serpiente	6.38	7.24	4.17	6.12	2.94	3.22	3.32
servilleta	2.58	3.04	7.71	1.23	1.39	2.75	2.08
sierra	3.64	4.04	6.42	6.42	5.42	1.97	2.80
silla	3.21	2.96	6.29	3.96	3.10	2.38	1.56
sotana	3.84	2.80	6.21	2.42	1.29	1.91	2.56
tabique	2.27	1.40	1.96	4.12	3.58	1.81	1.48
tablero	3.27	2.32	6.13	3.54	2.55	2.19	1.96
taburete	3.00	2.36	6.33	3.54	3.29	2.50	1.56
tambor	3.79	3.80	5.71	3.04	6.10	2.22	1.60
tanque	3.78	4.88	1.13	7.00	7.16	1.44	2.48
tapiz	4.97	1.44	4.29	2.08	1.77	2.19	2.72
tapón	3.00	2.88	7.88	2.04	2.10	2.38	1.76
taxi	5.38	6.68	1.79	4.23	4.74	2.00	3.52
taza	4.28	3.08	7.88	2.69	2.45	2.91	2.08
tele	5.52	2.16	3.88	4.12	5.13	2.09	1.56
tenedor	3.39	3.68	7.92	4.46	2.74	3.13	1.56
tigre	6.81	7.32	1.42	6.81	6.16	3.81	5.68
timbre	3.45	2.00	6.00	1.92	5.45	2.47	1.24
toalla	4.09	2.76	7.63	1.88	1.77	2.75	3.60
tomate	7.03	2.24	7.83	2.04	1.45	6.94	4.80
torre	3.52	1.08	1.71	3.62	3.19	2.03	1.72
tortuga	5.33	5.88	5.79	1.77	1.97	3.63	4.40
transistor	3.73	2.44	4.63	2.81	4.68	1.84	1.52
trapo	3.39	3.00	7.71	1.88	1.45	2.00	3.44
tren	4.78	7.00	1.46	5.69	6.90	1.66	4.08
trenza	2.88	3.16	7.04	1.69	1.23	2.59	2.12
trigo	5.56	3.48	6.46	1.65	1.58	5.84	3.88
trompeta	5.82	3.68	6.33	3.15	6.35	2.50	1.96
tubo	2.97	1.80	6.13	3.50	2.58	2.22	1.80
vaca	4.78	6.84	1.79	4.15	5.03	6.19	6.60
valla	3.25	1.64	3.96	4.08	2.68	2.07	1.56
vaso	2.97	2.64	7.96	3.15	2.84	3.06	1.56
ventana	2.97	2.04	3.33	3.81	2.68	2.16	1.60
verja	3.19	1.96	3.67	4.62	3.23	1.88	1.88
vidriera	5.78	1.28	2.54	4.27	3.74	2.47	1.40
yate	4.38	5.76	1.29	3.96	5.84	2.22	2.60
yegua	4.75	7.32	1.63	4.81	5.52	4.09	6.16
zanahoria	6.50	1.96	7.63	1.69	1.65	6.38	4.28
zapato	4.36	4.96	7.67	3.54	2.74	1.75	4.32
avión	3.71	7.00	1.38	4.04	7.25	2.13	2.71
caimán	5.71	6.88	2.23	6.58	3.67	2.88	3.71
ambulancia	5.54	6.77	1.58	2.88	6.25	1.88	2.88
hormiga	4.25	7.35	7.19	1.88	1.13	2.00	1.25
apartamento	3.42	1.62	1.35	1.50	2.83	2.25	3.67
delantal	4.08	3.08	7.54	1.33	1.17	2.04	2.13
armadura	4.50	2.54	4.15	3.29	4.13	2.04	2.83
espárrago	3.58	2.27	7.69	1.33	1.08	5.54	4.25
aguacate	5.79	2.35	7.81	1.38	1.13	6.83	3.75
hacha	3.50	4.15	6.81	7.54	3.71	1.83	1.79
bolsa	3.38	4.12	7.62	2.08	2.67	2.04	2.25
gaita	4.75	4.04	6.23	2.21	5.58	2.46	2.00
esfera	3.33	4.65	6.69	1.75	1.75	2.71	1.29
plátano	6.08	2.65	7.77	1.54	1.42	7.42	4.75
banjo	3.08	3.58	5.19	2.29	3.75	2.25	1.79
pancarta	4.71	3.62	6.46	1.71	1.75	2.29	1.54
granero	3.33	2.00	1.77	1.96	4.00	1.96	5.42
barril	3.17	3.00	4.42	2.58	3.04	2.63	3.42
sótano	2.25	1.19	1.19	2.08	2.13	1.71	3.71
balón	4.25	6.69	7.46	4.00	3.21	2.04	2.08
bañera	3.13	1.77	2.73	2.25	2.54	1.96	2.71
batuta	3.08	5.31	6.81	2.25	3.29	2.46	1.54
bayoneta	3.96	4.00	4.23	5.33	4.04	2.04	1.96
bazuca	3.50	3.50	4.27	5.75	4.00	2.25	2.25
alubias	3.58	2.42	7.62	1.46	1.38	5.71	5.50
castor	4.33	6.77	4.54	3.17	3.13	3.29	4.21
dormitorio	3.92	1.58	1.31	1.42	2.04	2.46	3.67
colmena	5.38	4.54	4.12	5.42	3.75	3.04	3.75
escarabajo	5.13	7.15	6.96	1.92	1.54	1.54	1.79
remolacha	6.21	2.15	7.31	1.29	1.21	5.88	4.50
banco	2.54	2.12	3.00	2.04	2.38	2.08	2.25
abedul	4.42	3.31	2.81	1.88	1.88	2.92	3.92
galleta	3.38	2.85	7.92	1.29	2.08	7.83	4.79
bisonte	4.58	6.42	2.31	5.33	4.04	3.71	5.04
mirlo	5.75	6.81	5.81	2.25	3.46	3.17	3.08
licuadora	2.71	4.54	6.46	3.88	5.17	2.71	2.33
arándano	6.83	2.31	7.46	1.29	1.21	6.92	4.46
arrendajo	3.83	3.85	3.81	2.75	2.21	2.54	1.96
barca	3.88	5.92	2.81	2.96	3.42	2.08	2.46
cerrojo	2.75	2.81	6.77	1.96	2.54	1.88	1.67
bomba	5.21	3.38	5.31	8.00	7.88	1.38	3.96
libro	4.50	3.12	7.62	2.33	1.88	2.67	3.71
botas	4.67	3.92	7.23	2.04	2.58	1.71	3.17
peña	3.54	2.69	1.96	3.00	4.38	2.21	2.88
ramo	6.63	2.77	7.58	1.58	1.42	2.88	5.17
cuenco	3.29	2.73	7.54	2.13	2.25	3.00	1.96
sujetador	4.46	2.88	7.81	2.58	1.25	2.33	2.25
pulsera	5.17	3.27	7.81	1.67	1.71	2.54	1.88
pan	3.29	2.31	7.81	1.46	1.63	7.67	4.71
brócoli	5.21	2.00	7.42	1.33	1.17	5.25	5.17
escoba	3.29	4.19	7.31	2.67	2.25	1.46	2.21
cepillo	3.58	3.73	7.69	2.00	2.08	2.25	2.21
hebilla	3.46	2.65	7.38	2.67	1.79	2.13	1.83
cotorra	5.25	6.77	5.27	2.50	4.79	2.67	2.83
cochecito	4.54	6.19	6.27	2.54	3.50	2.38	2.79
edificio	3.54	1.38	1.23	2.46	3.88	2.13	2.33
toro	5.58	7.15	2.12	6.54	4.58	4.42	5.25
bungaló	4.00	2.00	1.23	2.00	3.04	2.63	3.13
autobús	4.92	6.96	1.62	4.17	4.88	1.88	3.08
gavilán	4.83	7.12	4.19	4.04	3.63	3.00	3.92
repollo	3.96	2.35	6.92	1.46	1.42	6.04	4.96
armario	3.83	2.31	2.19	2.46	2.50	2.38	3.54
cactus	5.21	1.73	5.35	4.92	1.21	2.04	2.50
jaula	2.71	2.12	5.54	3.38	2.71	1.63	3.50
calculadora	2.96	2.77	7.54	1.83	2.04	2.08	1.46
ternero	3.67	7.04	4.00	3.04	3.50	6.00	4.88
camello	4.71	6.65	2.73	3.67	3.33	3.13	5.33
camiseta	5.50	3.62	7.65	1.33	1.33	2.38	3.04
canario	6.75	7.38	6.65	2.00	3.50	3.46	3.38
vela	4.00	3.12	7.81	2.67	1.42	2.21	5.04
caramelo	5.50	2.96	7.92	1.79	2.04	7.71	4.42
cañón	4.42	2.77	2.69	7.38	7.29	1.63	2.83
canoa	3.92	6.08	3.77	2.83	3.38	1.92	2.33
melón	5.21	2.54	7.04	2.33	1.50	7.63	4.83
capa	4.96	4.19	7.12	1.29	1.42	2.46	1.71
coche	5.67	6.92	2.00	4.42	5.38	2.21	3.96
caribú	4.54	5.19	3.88	2.75	2.71	3.25	3.08
alfombra	4.92	2.27	6.04	1.58	1.29	1.58	2.54
gato	5.00	7.31	6.77	3.38	3.21	2.92	4.83
catapulta	3.42	4.00	2.42	6.67	5.42	1.63	2.04
oruga	5.38	6.08	6.65	2.25	1.25	1.63	1.92
catedral	3.75	1.35	1.08	2.21	3.17	2.13	3.79
coliflor	3.42	2.27	7.35	1.33	1.29	5.25	5.75
cedro	4.04	2.77	2.69	2.25	2.29	2.92	3.71
apio	3.58	2.23	7.23	1.38	1.33	4.63	4.58
bodega	3.50	1.35	1.35	1.50	2.88	2.96	5.13
violonchelo	4.08	4.00	5.50	2.33	5.21	2.63	1.88
certificado	2.13	1.96	7.46	1.38	1.13	2.38	1.67
cadena	3.46	3.15	7.19	4.58	3.38	1.83	2.42
tiza	3.17	3.96	7.88	1.88	2.75	1.79	2.96
candelabro	4.21	2.69	7.19	3.21	2.00	2.00	3.00
capilla	3.46	1.62	1.19	2.00	2.88	2.04	3.54
queso	4.46	2.27	7.15	1.50	1.21	7.17	6.67
guepardo	6.04	7.46	2.27	6.96	5.21	3.21	5.00
cereza	7.08	2.38	7.73	1.42	1.04	7.58	4.17
pájaro	5.96	7.54	6.65	2.33	3.83	4.00	3.88
pollo	5.13	6.88	6.73	2.67	3.42	7.83	5.17
chimpancé	5.29	7.31	3.27	4.08	4.88	2.54	5.42
cincel	3.00	3.92	6.62	3.17	2.63	2.04	2.25
iglesia	3.29	1.42	1.08	2.38	3.29	1.88	3.46
puro	3.38	3.27	7.12	4.04	1.38	2.17	5.63
cigarrillo	2.92	3.77	7.77	5.04	1.33	2.46	6.75
almeja	3.67	3.42	7.58	1.79	1.33	5.96	5.42
abrazadera	3.00	2.31	4.88	2.58	2.58	2.29	1.92
clarinete	4.96	3.46	6.96	2.29	5.08	2.79	1.75
reloj	4.17	5.73	7.69	1.92	2.96	2.21	1.67
vestidor	4.21	1.62	1.62	1.54	2.04	2.63	3.17
cucaracha	4.58	6.73	6.88	2.42	1.46	1.33	1.83
coco	4.33	2.69	7.46	3.29	2.08	6.96	4.38
bacalao	3.38	6.19	6.38	1.71	1.50	6.25	5.63
moneda	5.29	4.15	7.96	1.67	2.33	1.92	3.21
escurridor	2.83	2.77	7.38	1.46	1.92	2.13	1.96
corcho	3.04	2.00	7.23	1.88	2.08	2.50	2.46
sacacorchos	3.33	3.27	7.77	4.00	2.33	2.17	1.75
maíz	5.92	2.27	7.65	1.46	1.71	6.88	4.00
chalet	3.83	1.27	1.15	1.58	2.96	2.58	3.33
puma	5.75	7.42	2.23	6.71	5.38	3.04	5.13
coyote	4.79	7.08	3.27	4.75	4.04	3.25	4.67
cangrejo	6.50	6.73	7.12	3.83	1.92	5.58	4.29
rotulador	6.54	3.69	7.85	1.79	1.92	1.88	4.33
cocodrilo	5.88	6.96	2.42	7.08	3.96	3.21	3.88
ballesta	3.33	3.77	6.04	6.88	4.96	1.75	1.96
cuervo	5.13	7.38	5.12	4.29	4.50	2.83	4.08
palanca	2.58	4.27	6.35	3.21	2.42	2.04	1.79
pepino	5.58	2.27	7.73	1.75	1.29	6.00	3.67
despensa	3.33	1.31	1.54	1.42	1.92	4.08	4.00
cortinas	4.42	4.04	6.23	1.54	1.88	2.17	2.21
daga	3.79	3.42	6.38	6.75	2.63	2.04	1.50
dálmata	5.13	7.23	5.00	3.04	3.96	3.00	4.63
ciervo	4.75	7.15	3.27	4.46	3.58	4.21	4.63
euro	4.58	3.69	7.42	1.83	2.08	2.00	2.92
plato	3.08	2.69	7.73	2.54	2.75	3.21	2.33
lavavajillas	2.42	2.85	2.19	1.96	3.96	1.75	3.83
perro	4.92	7.38	6.19	3.38	4.46	2.92	5.42
delfín	5.04	7.65	2.69	2.71	3.79	3.25	3.29
burro	3.79	6.73	2.96	3.83	4.29	3.08	5.63
pomo	3.33	3.38	7.73	2.04	2.42	2.04	1.96
desagüe	2.25	2.19	2.85	1.88	3.29	1.08	6.42
telón	5.54	4.00	4.42	1.63	2.29	1.92	2.25
vestido	5.67	3.58	7.38	1.42	1.13	2.33	2.67
taladro	3.21	5.04	7.04	6.04	6.21	1.75	2.29
pato	5.08	7.12	5.81	2.75	3.46	5.17	4.42
orejeras	3.96	2.27	6.88	1.33	1.21	2.46	1.67
anguila	4.13	6.69	4.50	4.63	2.42	3.83	3.29
berenjena	5.96	2.27	7.65	1.29	1.04	6.38	4.25
elefante	4.29	6.96	1.27	5.00	5.42	2.96	5.42
corzo	3.67	4.62	3.42	2.88	3.04	3.21	3.50
esmeralda	7.29	2.15	7.00	1.83	1.58	3.29	1.83
emú	3.96	5.96	2.73	3.88	2.88	3.13	3.21
sobre	2.63	3.15	7.73	1.42	1.63	2.21	2.08
halcón	4.83	7.58	4.54	5.04	4.13	3.21	4.33
cervatillo	4.96	7.00	3.77	3.21	3.21	4.13	4.67
pinzón	4.75	5.38	5.88	3.79	2.46	2.71	2.67
flamenco	6.21	6.88	3.46	2.67	3.88	3.58	3.92
pulga	2.50	7.19	6.23	3.13	1.13	1.29	1.58
zorro	5.92	7.35	3.54	4.42	3.42	3.42	4.50
congelador	2.88	1.85	2.54	2.96	2.54	2.33	3.25
portón	3.50	3.46	2.58	2.08	4.08	1.88	2.21
jirafa	6.25	7.19	2.42	3.67	3.13	3.04	4.46
glaciar	4.50	3.77	1.19	3.75	3.63	3.54	2.04
guantes	3.71	3.00	7.81	1.25	1.21	2.21	2.63
cabra	3.67	7.19	4.23	4.17	4.00	4.63	5.63
bola	3.67	5.62	7.46	3.13	2.75	2.54	1.63
ganso	4.29	6.96	4.85	2.92	3.83	4.42	4.25
gorila	5.67	7.19	2.19	5.46	5.38	3.00	5.21
bata	3.75	3.15	7.19	1.33	1.21	2.46	2.54
uva	5.46	2.50	7.88	1.21	1.13	7.08	3.79
pomelo	6.08	2.08	7.50	1.50	1.63	6.54	4.46
saltamontes	5.17	7.42	6.81	1.58	1.50	1.96	1.92
rallador	2.67	2.73	7.50	3.67	2.67	2.25	2.08
granada	6.25	3.15	7.19	7.04	5.71	5.46	3.13
marmota	4.46	5.31	4.73	2.50	1.83	2.88	4.33
martillo	3.04	4.62	7.62	6.25	5.04	1.96	1.71
hámster	3.79	7.12	7.54	2.29	2.67	2.33	5.21
pistola	4.38	3.69	7.27	7.96	6.08	1.54	2.42
armónica	4.42	4.00	7.65	1.88	4.67	2.75	1.67
arpa	4.13	3.92	4.42	2.38	4.29	2.50	2.00
arpón	3.71	4.12	5.35	6.58	4.42	1.92	1.83
clavicordio	3.42	3.19	4.19	3.00	3.50	2.33	1.88
cernícalo	4.67	6.85	4.69	3.88	3.67	3.17	3.58
helicóptero	4.25	7.19	1.35	3.71	6.75	1.92	2.58
casco	4.71	2.88	7.31	1.83	2.25	1.96	2.04
subrayador	7.33	3.88	7.77	1.58	2.08	2.04	3.88
