word	valence	arousal	dominance	concreteness	imageability	age of acquisition
bank	4.98	3.62	6.48	1.98	7.46	8.28
bankiet	6.40	3.98	5.80	2.56	7.04	10.78
bankrut	2.64	5.18	2.76	3.44	5.54	11.06
bar	5.80	3.80	5.30	2.10	7.74	9.08
baran	4.90	3.58	4.10	2.08	7.92	7.22
barbarzyńca	3.30	5.54	5.84	3.92	6.08	10.50
bardzo	6.16	4.44	6.64	6.37	3.44	6.02
barokowy	5.34	4.08	5.36	5.50	5.80	12.16
baron	5.40	3.92	6.78	2.92	6.02	11.42
bas	5.66	4.24	5.82	3.82	6.32	9.96
basen	6.22	3.54	5.36	1.86	8.16	6.56
bat	3.65	4.82	5.46	2.22	7.58	9.44
bawełna	5.72	2.60	5.02	2.04	7.08	9.70
bawół	4.98	3.36	5.04	2.06	7.22	8.82
bazar	5.38	4.22	5.26	2.10	7.68	7.98
bazooka	4.46	5.13	6.09	2.26	6.91	10.40
bażant	5.38	2.78	5.14	1.78	7.52	9.84
bąbel	4.52	3.52	4.00	2.08	7.46	7.56
beczeć	3.34	4.14	3.12	3.96	6.80	7.22
beczka	5.24	3.12	4.78	1.84	7.86	8.04
bejcowanie	5.03	3.15	5.06	3.68	6.29	12.45
Belgia	5.70	3.42	5.36	2.50	5.44	10.56
belgijski	5.82	3.22	5.34	4.52	4.64	10.14
belka	5.10	3.14	5.08	1.44	7.30	8.22
berło	5.78	3.82	7.08	2.22	7.74	8.78
bestia	3.46	5.22	6.38	4.14	6.94	7.54
beton	4.60	3.46	5.44	1.86	7.64	8.40
bez emocji	4.60	2.74	3.74	4.72	6.14	7.82
bez entuzjazmu	6.90	3.44	6.94	5.68	5.60	8.90
bez serca	6.59	4.24	7.04	6.26	4.72	9.52
bez śladu	6.74	3.04	5.78	5.80	4.78	9.22
bez życia	3.48	4.10	2.48	5.76	5.52	8.82
bezbarwny	3.50	3.58	3.22	6.46	3.82	10.38
bezbłędnie	3.24	5.88	5.46	6.44	4.64	10.00
bezbłędny	3.22	5.34	5.38	6.56	5.16	10.22
bezbolesny	3.88	2.44	4.70	6.78	4.78	10.74
bezbronny	3.48	2.98	3.00	6.64	5.14	11.04
bezcelowy	7.00	3.92	5.82	7.26	4.40	10.42
bezczelność	3.40	5.02	6.16	6.32	4.08	10.56
bezczelny	2.86	5.58	6.12	6.40	5.34	10.32
bezinteresowność	3.76	4.36	3.28	5.88	5.20	11.04
bezkarność	3.00	4.72	2.96	6.54	4.36	10.51
bezlitosny	2.49	4.76	2.56	6.98	4.18	10.32
bezład	2.40	4.82	2.62	6.10	4.30	8.80
bezmyślność	7.40	3.30	6.12	6.22	5.50	8.08
beznadziejność	4.34	3.94	3.70	5.71	3.74	10.10
beznadziejny	5.64	3.76	6.16	5.90	3.76	9.52
bezpieczny	3.58	4.54	3.68	6.26	3.96	10.36
bezplanowy	3.60	4.52	3.70	6.12	3.92	10.70
bezpośrednio	6.52	2.88	5.48	6.44	4.10	10.06
bezpowrotnie	2.88	4.50	2.36	6.64	5.04	10.36
bezpowrotny	3.26	4.64	2.32	6.20	5.18	9.84
bezproblemowy	2.92	4.20	3.06	5.40	4.72	10.98
bezradność	2.90	4.58	2.72	4.32	5.68	9.82
bezradny	2.50	5.00	4.88	7.08	4.52	9.84
bezrobocie	2.90	4.74	2.50	5.74	5.16	10.76
bezrobotny	3.86	4.02	3.86	5.60	4.06	9.08
bezsilny	6.00	3.52	5.34	6.50	5.42	9.80
beztroski	2.96	3.96	2.40	6.16	4.57	9.66
bezużyteczny	2.66	4.02	2.32	6.82	4.30	10.12
bezwartościowy	3.82	5.28	5.34	6.80	5.52	11.16
bezwstydność	3.62	5.24	5.46	6.34	5.38	11.14
bezwstydny	3.64	5.08	6.64	6.40	4.76	10.44
bezwzględny	2.68	4.06	2.42	5.72	4.82	9.42
beżowy	5.28	2.96	4.90	4.12	7.28	9.48
bęben	5.56	3.82	5.52	1.44	7.86	7.29
bękart	3.18	4.82	3.28	3.82	5.27	12.44
Białoruś	4.92	3.88	3.92	2.34	5.60	10.54
biały	5.56	2.46	5.02	4.12	8.32	5.88
Biblia	5.68	3.52	6.02	3.00	7.78	7.36
bić	2.70	5.96	5.52	3.90	7.18	6.24
bieda	2.98	5.24	2.56	5.50	6.40	8.38
biedak	3.48	4.16	2.76	3.22	6.68	8.76
biedny	3.36	3.88	3.08	5.00	6.34	7.16
bieg	5.80	4.30	5.76	3.10	7.58	7.96
biegacz	5.76	4.28	5.86	2.42	7.56	7.76
bieganie	5.94	4.66	6.02	3.24	7.54	6.76
biegły	5.60	3.50	6.60	4.80	4.58	11.84
bielec	4.85	3.15	4.43	3.83	5.00	13.59
bielizna	6.06	4.39	4.98	1.90	7.82	8.66
bilans	5.08	3.68	5.52	4.76	5.06	11.70
bilard	6.08	3.90	5.64	2.32	8.08	8.92
biodro	5.12	2.98	5.02	1.98	7.64	8.02
bitwa	4.04	5.04	6.10	3.22	7.48	7.44
biuro	5.18	3.68	5.42	2.34	7.42	8.34
biust	6.60	4.26	6.18	1.90	8.34	10.20
biżuteria	6.48	4.04	6.10	1.84	7.64	8.80
blady	3.98	3.70	3.38	4.40	7.06	8.90
blef	4.10	4.28	5.12	5.64	4.58	11.34
blisko	6.14	3.14	5.48	5.28	5.34	6.02
bliskość	7.20	4.20	5.86	5.84	6.20	8.70
blizna	3.84	4.78	4.26	2.18	7.98	8.24
blok	5.20	3.48	5.22	2.04	7.40	7.00
blondyn	5.70	3.62	5.18	2.38	7.56	7.88
blondynka	5.66	3.80	4.52	2.72	7.88	8.40
bluzka	5.64	3.46	5.10	1.82	8.00	7.12
bluźnierstwo	2.92	5.48	4.76	6.68	5.14	11.70
błagać	3.40	5.60	3.02	5.44	6.84	8.24
błaganie	3.28	5.44	2.84	5.44	6.18	9.44
błazen	4.64	4.28	4.22	3.26	7.50	8.94
błąd	3.38	4.34	3.30	5.68	5.16	7.28
błądzić	3.78	4.54	3.44	4.66	6.04	8.51
błogosławić	5.96	3.74	6.02	6.58	6.06	9.74
błogosławieństwo	6.44	3.62	5.92	7.40	5.64	9.70
błogosławiony	6.34	4.20	6.18	6.90	4.94	10.14
błogostan	7.27	3.52	5.94	7.40	5.42	11.76
błogość	7.39	3.26	6.00	7.30	5.80	11.08
błotnisty	4.04	3.36	4.04	3.72	7.14	9.48
błoto	4.40	3.36	3.76	2.00	7.74	6.74
błyskotliwość	7.14	4.82	6.96	6.68	4.90	10.92
błyskotliwy	6.86	4.86	6.48	5.94	4.62	10.26
błyszczeć	6.00	4.58	6.14	4.36	6.90	8.08
boa	3.90	4.18	5.60	1.44	7.62	10.08
boczek	5.50	3.84	4.90	1.82	7.34	8.22
bodziec	5.50	3.84	5.34	4.60	5.24	12.08
bogactwa	6.48	5.02	6.90	4.56	6.28	9.30
bogactwo	6.82	4.86	6.94	5.50	6.32	9.32
bogaty	6.82	5.06	6.88	5.04	6.28	7.92
bogobojny	4.84	4.22	4.06	7.14	5.24	11.14
bohater	7.56	4.94	7.40	4.82	6.22	7.56
boja	5.22	2.94	5.04	1.55	7.28	10.56
bojaźliwy	3.48	4.42	2.58	6.38	5.28	10.06
bojkot	4.12	5.12	5.40	5.00	5.47	11.96
bojler	5.14	3.48	4.94	1.70	7.26	11.22
bok	5.02	3.10	4.98	3.16	6.76	6.76
bokser	4.80	4.62	6.34	2.46	7.88	8.26
bolesny	2.54	5.92	3.44	5.24	6.22	8.16
bomba	3.14	5.52	5.98	2.10	8.00	8.80
bomba atomowa	2.68	6.72	6.38	2.42	7.36	10.54
bon	6.32	3.42	5.36	1.94	6.72	10.64
Bośnia	5.42	3.20	4.58	2.44	4.52	12.74
Boże Narodzenie	7.04	4.38	6.04	5.00	8.10	6.32
bóg	6.40	4.58	7.24	7.22	5.64	6.86
ból	2.36	6.14	2.98	5.32	6.66	7.10
ból brzucha	2.50	5.50	3.36	3.16	6.98	6.74
ból gardła	2.64	4.90	3.72	3.18	7.22	7.12
ból głowy	2.62	5.66	3.74	3.80	7.02	7.82
ból w krzyżu	2.66	5.84	3.24	3.42	7.12	12.00
ból zęba	2.14	6.04	3.34	3.62	7.24	7.36
brać prysznic	6.66	3.54	5.48	3.28	7.72	7.22
brak	3.82	3.28	3.10	6.34	4.46	6.88
brak pewności siebie	2.82	4.52	2.08	6.92	5.00	10.54
brama	5.40	3.22	5.64	2.08	7.94	7.74
brat	7.04	3.70	5.88	2.68	7.26	6.44
bratanek	6.28	3.06	4.98	2.80	5.14	9.74
braterstwo	7.10	3.92	6.52	6.50	5.12	10.70
brawa	6.72	4.96	6.18	3.92	7.44	6.90
brawo	6.68	4.80	6.14	4.40	6.68	6.52
brąz	5.04	3.82	5.08	3.18	7.18	8.94
brązowy	5.16	3.04	4.96	4.08	8.02	6.70
breja	3.49	4.10	3.71	3.11	6.33	11.06
broda	5.06	3.20	5.70	2.00	8.06	7.42
brodawka	4.08	4.08	4.14	2.02	7.44	10.98
broić	4.33	4.46	5.28	4.88	5.35	8.22
bronić	5.86	4.84	6.48	4.48	6.62	7.48
bronowanie	4.92	3.73	5.25	3.47	5.61	11.77
broń	4.18	5.02	6.68	2.18	7.70	8.24
broszka	5.48	3.12	4.98	2.10	7.58	10.40
broszura	5.08	3.64	5.06	2.24	6.72	10.24
brud	3.08	4.72	3.10	2.88	6.92	6.64
brudny	3.02	4.44	3.18	3.92	7.12	6.24
brutalność	2.28	6.02	5.30	5.72	6.40	9.74
brutalny	2.34	6.20	5.90	5.18	6.30	9.62
brutto	4.68	3.46	5.22	5.26	3.92	12.26
bryła	5.18	3.00	4.86	2.88	7.10	9.78
brytyjski	5.58	3.42	5.82	4.76	5.52	10.28
bryza	6.32	3.56	5.28	3.12	6.62	10.32
brzdąc	6.24	4.22	3.86	2.26	7.14	9.18
brzęczeć	4.16	4.46	4.62	4.04	6.18	7.92
brzęczenie	3.94	4.34	4.44	4.28	6.36	7.82
brzmieć	5.68	3.70	5.82	4.54	5.22	8.96
brzoskwinia	6.48	3.06	5.04	1.70	8.06	7.10
brzozowy	5.76	2.68	4.86	3.88	6.68	10.04
brzuch	5.00	3.34	4.86	1.86	8.12	5.64
brzuchal	4.24	4.29	4.23	2.77	6.78	9.65
brzydki	3.12	4.56	3.46	5.40	5.98	5.68
brzydzić	2.68	5.34	3.58	5.38	5.50	9.56
brzytwa	3.92	4.86	5.76	1.84	7.44	10.30
buczyna	5.22	3.32	5.08	2.61	5.22	12.00
Budda	5.30	3.08	6.28	5.84	7.36	11.70
budowa	5.32	3.58	5.84	2.66	7.20	7.98
budować	6.14	4.02	6.34	4.08	7.14	7.60
budynek	5.42	3.14	5.60	1.62	7.46	7.48
budzik	3.68	4.71	4.60	1.58	7.92	7.48
budżet	5.32	4.30	5.86	3.48	5.10	10.90
bufor	5.20	3.47	5.02	3.88	4.51	13.88
bujać	5.86	4.04	4.88	4.04	6.66	7.14
bujać się	6.04	3.88	5.00	4.30	6.90	7.04
buk	5.56	2.60	5.74	1.62	7.26	9.26
bukiet	6.40	3.60	5.64	2.10	7.84	7.02
bukowy	5.62	3.02	5.27	3.67	5.08	10.40
buldożer	4.26	4.66	6.34	1.72	7.10	9.82
bulion	5.56	2.90	5.18	2.04	6.80	10.36
bulwa	4.98	3.02	4.76	2.02	6.90	10.68
bułeczka	6.34	3.02	4.66	1.64	7.90	6.70
Bułgaria	5.54	3.72	4.80	2.54	5.68	11.50
bunkier	4.78	4.52	5.66	1.70	7.29	10.36
bunt	4.06	5.58	6.24	5.78	6.28	10.14
buntowniczy	4.78	5.24	6.10	5.96	5.66	9.90
buntownik	4.80	5.54	6.40	4.24	6.70	10.36
buraczany	4.80	3.54	4.36	3.70	6.52	9.78
burdel	3.46	5.56	3.86	2.98	7.26	13.02
burza	4.86	5.30	5.34	3.06	7.96	7.40
burzliwy	4.29	5.80	5.48	5.70	5.90	10.08
burzyć się	3.74	5.46	5.38	5.30	5.40	10.46
but	5.46	2.96	5.24	1.78	7.98	6.32
butelka	5.56	2.90	4.70	2.12	8.10	6.22
buzdygan	5.08	4.06	6.50	3.14	6.29	12.97
być karmionym	5.60	3.52	3.70	3.44	6.90	7.20
bydlę	3.66	3.98	4.52	2.44	6.82	9.30
bydło	4.38	3.92	3.98	2.44	7.46	8.80
byk	5.06	4.14	6.10	1.82	8.14	7.20
było	4.66	3.38	4.40	6.12	3.18	6.30
bystrość	6.94	4.72	6.76	6.30	4.86	9.92
bzyczeć	4.18	4.50	4.48	3.58	6.96	7.60
całkiem	5.42	3.28	5.44	6.02	3.06	8.60
całkowity	5.58	3.04	6.44	5.30	4.38	8.78
całować	7.84	5.66	6.34	3.92	7.90	7.04
cały	5.86	3.38	6.24	5.54	5.46	6.60
car	4.82	4.56	7.78	2.64	6.59	10.88
cebula	5.02	3.52	4.60	1.64	8.14	6.76
cel	6.54	3.92	6.90	5.60	5.72	8.72
cela	3.24	4.46	3.22	2.18	7.32	8.50
celny	5.90	3.86	6.60	5.04	5.80	9.06
celować	5.14	4.50	6.38	4.02	6.72	7.72
cement	4.96	3.02	5.76	1.62	7.00	9.54
cena	4.64	3.88	5.54	3.88	6.70	6.98
cenić	6.02	3.84	6.14	5.66	4.68	10.34
cent	5.46	3.08	4.54	2.10	6.96	10.94
centrum	5.58	4.14	6.30	4.00	6.76	8.28
cep	4.20	3.70	4.18	2.24	5.92	10.50
cera	5.20	3.58	5.14	2.52	7.12	10.08
cesarz	5.44	4.18	7.84	3.04	7.12	9.78
cham	2.50	5.48	4.70	4.56	5.50	9.50
chamski	2.72	5.76	4.82	6.26	5.38	9.86
chamstwo	2.54	5.62	4.32	6.12	5.28	10.42
chaos	3.60	5.39	4.18	6.42	5.94	10.28
charakter	5.82	4.36	6.32	6.72	4.58	9.80
chata	5.44	3.14	5.04	1.86	7.88	8.00
chcenie	5.60	4.70	5.68	6.46	4.04	8.26
chcieć	6.00	4.48	6.26	5.86	4.64	5.12
chciwość	2.82	5.66	5.16	7.00	5.56	10.02
chciwy	3.04	5.30	5.28	6.31	5.31	9.70
chełpliwy	3.80	4.21	5.02	6.43	3.93	12.28
chęć	6.34	4.36	6.06	6.14	4.16	7.52
chili	5.46	4.58	5.52	2.12	7.67	9.68
chirurgia	4.46	5.00	6.08	3.20	6.98	10.44
chleb	6.44	3.00	5.68	1.86	8.34	5.90
chlor	4.34	3.72	4.82	2.27	5.82	11.12
chłodny	4.14	3.92	4.48	4.82	6.22	7.22
chłopak	6.38	4.24	5.92	2.44	7.50	6.68
chłód	3.86	4.18	4.34	4.00	6.76	8.04
chmura	5.38	3.46	5.12	2.58	7.94	6.10
chmury	5.86	3.38	4.94	2.48	8.14	5.84
chodaki	5.25	3.34	4.76	1.67	7.18	10.90
chodzenie	5.88	3.36	5.44	3.64	7.18	6.42
chodzić	5.84	3.50	5.60	3.58	7.02	6.24
choleryczność	3.36	5.79	4.86	6.96	4.31	12.92
chomik	5.58	3.70	4.34	1.62	8.12	6.64
choroba	2.58	5.28	2.84	3.72	6.56	7.82
choroba morska	3.06	4.80	3.22	3.34	6.90	9.68
chorobliwy	3.04	4.94	3.08	5.22	5.22	9.02
chorowitość	2.94	5.20	2.78	5.28	5.42	10.00
chorowity	2.78	4.74	3.02	5.02	5.96	9.08
Chorwacja	6.30	3.56	5.22	2.36	6.24	11.22
chory	2.68	4.34	2.96	3.94	7.12	6.38
chór	5.71	3.54	5.48	2.78	7.68	8.26
chrapać	3.44	4.24	4.22	3.64	7.24	7.74
chrom	5.22	3.60	5.04	2.56	5.32	12.86
chronić	6.62	3.94	6.28	5.32	5.88	7.82
chroniony	6.08	3.52	5.44	5.50	5.54	8.72
chrupać	5.84	4.04	5.30	3.56	7.34	7.84
chrząszcz	4.18	3.51	4.04	1.62	7.76	8.56
chrzcić	5.76	3.66	5.54	5.00	7.34	8.54
chrzest	5.72	3.74	5.38	4.90	7.42	8.16
chuchać	5.22	3.26	4.94	4.02	6.92	7.30
chuderlawy	3.54	3.94	3.04	4.56	6.38	10.88
chudy	4.66	4.02	4.24	3.80	7.14	6.38
chuj	2.80	5.68	5.00	3.82	6.70	11.58
chusta	5.54	3.08	4.64	2.20	7.88	7.46
chwała	6.54	4.36	6.90	6.78	5.04	9.66
chwast	3.56	4.14	3.60	2.06	7.42	8.22
chwiejny	3.76	4.64	3.24	5.40	5.82	10.10
chwila	5.40	3.38	5.10	6.08	3.94	7.90
chwycić	5.20	3.90	6.00	4.38	6.88	7.54
chwytać	5.22	4.30	5.62	3.78	6.66	7.94
chwytać się	5.16	3.70	4.40	3.86	6.84	8.20
chytry	3.44	5.04	5.58	5.94	5.44	8.42
ciało	5.58	3.78	5.62	2.18	7.62	7.04
ciasny	4.16	3.72	3.82	4.32	6.34	7.38
ciasteczko	6.86	3.28	4.90	1.78	8.06	6.12
ciastko	6.92	3.48	5.34	1.96	8.20	5.86
ciasto	6.94	3.34	5.18	1.96	7.92	6.90
ciąć	4.14	4.58	5.26	3.98	6.98	6.92
ciągle	4.86	3.32	5.10	6.42	3.96	7.50
ciągnąć	4.84	3.94	5.28	4.24	6.76	8.18
cichy	5.16	2.58	3.74	4.80	5.66	6.70
ciekawy	6.86	3.90	6.52	6.08	5.18	7.06
cielę	4.86	3.10	3.92	1.80	7.30	8.26
ciemnota	3.16	4.34	2.98	5.41	5.08	10.22
ciemny	4.34	3.36	4.68	4.82	7.36	6.20
cienki	4.60	3.44	3.84	4.04	6.92	6.72
cień	5.00	3.64	4.02	3.36	7.34	7.54
ciepło	6.96	3.60	6.22	4.62	6.70	6.60
cierń	3.38	5.12	3.94	2.14	7.46	9.76
cierpieć	2.48	6.06	3.12	6.02	6.34	8.35
cierpienie	2.06	6.84	2.79	6.45	6.25	9.25
cierpliwość	6.50	3.56	6.14	7.16	4.92	9.30
cięcie	4.42	4.42	5.32	3.74	6.74	8.68
cięty	4.08	4.86	4.88	4.66	5.92	9.56
ciężarna	5.82	3.94	4.64	2.66	7.72	10.94
ciężarówka	4.74	3.82	5.72	1.62	8.04	6.58
ciężki	3.80	4.38	5.36	4.00	6.28	6.54
ciężki (stan)	2.30	5.26	3.38	5.72	6.06	10.32
ciężko	3.72	4.74	4.20	5.52	5.18	7.00
cios	3.88	5.36	5.30	3.10	6.98	7.94
ciotka	5.34	3.58	4.98	2.52	6.90	6.48
cipa	3.26	5.66	3.50	2.67	7.22	10.88
cisnąć	4.00	4.42	5.38	4.30	5.60	9.20
cisnąć się	3.62	4.68	4.72	4.52	5.16	10.18
ciśnienie	4.58	4.48	5.46	4.36	5.64	9.60
cmentarz	2.94	4.82	3.40	2.52	8.00	7.90
cnota	6.00	4.44	5.90	6.92	4.18	10.88
cnotliwy	5.42	4.06	4.84	6.74	4.68	11.54
codzienny	4.98	2.78	4.72	5.50	4.47	8.30
coś	5.04	3.62	4.60	6.04	3.22	6.32
córka	6.56	3.56	5.56	2.56	6.92	6.48
cud	7.24	5.20	6.10	6.48	5.08	8.36
cukier	6.32	3.22	5.10	1.92	8.12	5.12
cukierek	6.94	3.76	5.36	1.50	8.06	5.12
cukierki	7.02	3.72	5.18	1.84	8.18	5.84
curry	6.06	3.69	5.16	2.33	7.42	10.96
cwany	4.26	4.94	5.92	5.56	4.86	9.74
cycek	5.50	5.40	5.06	1.92	8.14	7.36
cygaro	5.18	3.42	5.54	1.92	7.90	9.64
cyklon	3.64	4.86	5.76	2.53	7.02	11.52
cymbał	3.62	4.66	3.72	3.26	6.14	9.68
cyna	5.22	2.98	4.92	2.12	5.45	12.14
cynamon	5.80	3.12	5.20	1.74	7.82	9.82
cyniczny	3.94	4.98	5.66	6.40	4.36	12.16
cynk	5.28	3.10	5.40	2.74	5.24	11.08
cyrk	5.10	4.76	4.82	2.70	7.90	6.04
cytryna	5.68	3.68	5.22	1.62	8.44	6.36
cywilizowany	6.00	3.54	6.30	6.38	4.72	10.54
cywilny	5.00	2.98	5.26	5.40	4.76	11.54
czajnik	5.30	3.18	4.92	1.80	8.10	7.54
czapka	5.46	3.08	5.34	1.60	8.10	5.90
czapla	5.40	3.08	4.94	1.56	7.32	8.50
czar	6.38	3.82	5.76	6.12	5.58	8.20
czara	5.48	3.68	5.46	2.65	6.53	11.46
Czarnogóra	5.48	3.32	4.76	2.61	4.72	12.36
czarny	5.36	4.04	5.48	4.32	8.30	5.76
czarownica	4.48	4.76	5.90	4.62	7.80	6.42
czas	5.04	3.52	5.48	6.38	4.78	6.66
czasopismo	5.66	3.22	5.18	2.50	7.86	8.54
czaszka	4.38	3.82	5.18	1.50	8.16	8.74
czcić	5.50	4.20	4.86	6.02	6.00	9.78
Czechy	6.14	3.52	4.98	2.64	6.14	9.30
czekać	4.16	3.94	3.98	4.66	6.50	6.88
czekanie	4.00	3.80	4.16	5.08	6.26	7.53
czekolada	7.48	4.66	5.46	1.72	8.18	5.20
czerep	4.52	3.33	4.81	2.29	5.47	12.29
czerstwy	3.78	3.58	3.78	3.22	6.60	10.38
czerwonawy	5.12	3.84	5.18	4.42	6.98	9.28
czerwony	5.66	4.30	5.64	4.32	8.28	5.46
część	5.16	3.56	4.98	3.92	5.22	7.40
czkawka	4.04	3.86	3.60	3.18	7.44	7.76
człek	5.18	3.40	4.86	2.96	5.96	11.08
członek	4.98	3.84	5.04	2.66	7.00	10.18
człowieczeństwo	6.38	4.20	6.48	7.02	4.24	11.26
człowiek	6.32	3.68	6.32	3.66	7.58	7.68
czołg	4.30	4.30	6.92	1.84	8.14	7.02
czołgać	4.32	3.84	3.92	3.82	7.28	7.10
czołobitny	4.51	4.14	3.97	5.68	3.76	12.26
czosnek	5.74	3.69	4.72	1.88	8.36	7.68
